"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"Amherstburg","42","-83","100","America/Toronto","5","71538","6130257"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","p","ta"
1842-02-12 13:00:00,NA,3.3
1842-02-12 17:00:00,NA,1.7
1842-02-12 23:00:00,NA,1.7
1842-02-13,NA,NA
1842-02-13 10:00:00,NA,23.3
1842-02-13 13:00:00,NA,3.9
1842-02-13 22:00:00,NA,1.7
1842-02-14,NA,NA
1842-02-14 07:00:00,NA,-5.6
1842-02-14 11:00:00,NA,-5
1842-02-14 14:00:00,NA,-5
1842-02-14 17:00:00,NA,-5.6
1842-02-14 20:00:00,NA,-6.7
1842-02-14 22:00:00,NA,-7.8
1842-02-15,NA,NA
1842-02-15 07:00:00,NA,-5.6
1842-02-15 10:00:00,NA,28.9
1842-02-15 17:00:00,NA,-1.7
1842-02-15 23:00:00,NA,-1.7
1842-02-16,NA,NA
1842-02-16 10:00:00,NA,20
1842-02-16 14:00:00,NA,-5.6
1842-02-16 20:00:00,NA,-8.3
1842-02-16 22:00:00,NA,-10
1842-02-17,NA,NA
1842-02-17 06:00:00,NA,-10
1842-02-17 07:00:00,NA,-10
1842-02-17 12:00:00,NA,-4.4
1842-02-17 20:00:00,NA,-5
1842-02-17 23:00:00,NA,-6.7
1842-02-18,NA,NA
1842-02-18 15:00:00,NA,1.7
1842-02-18 22:00:00,NA,0.6
1842-02-19,NA,NA
1842-02-19 10:00:00,NA,27.8
1842-02-19 11:00:00,NA,-3.9
1842-02-19 16:00:00,NA,-5.6
1842-02-19 22:00:00,NA,-9.4
1842-02-20,NA,-11.1
1842-02-20,NA,NA
1842-02-20 11:00:00,NA,-6.1
1842-02-20 22:00:00,NA,-8.9
1842-02-21,NA,NA
1842-02-21 15:00:00,NA,-0.6
1842-02-21 16:00:00,NA,-1.7
1842-02-22,NA,-2.8
1842-02-22,NA,NA
1842-02-22 07:00:00,NA,-5.6
1842-02-22 10:00:00,NA,21.1
1842-02-22 17:00:00,NA,-2.8
1842-02-22 23:00:00,NA,-6.1
1842-02-23,NA,NA
1842-02-23 07:00:00,NA,-1.7
1842-02-23 10:00:00,NA,16.7
1842-02-24,NA,-1.7
