"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"FortPeelRiver","67.43","-135",NA,"America/Inuvik","7","71052","2201601"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"cv","wind speed","atmospheric material",NA,"okta","sub-daily","historical","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"hd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","cv","dd","hd","pr","ptb","pte","sd","ta","w"
1863-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-01 07:00:00,NA,90,NA,NA,NA,NA,NA,-45.56,1
1863-02-01 14:00:00,NA,180,NA,NA,NA,NA,NA,-42.78,1
1863-02-01 21:00:00,NA,0,NA,NA,NA,NA,NA,-40,1
1863-02-02 07:00:00,NA,90,NA,NA,NA,NA,NA,-42.78,1
1863-02-02 14:00:00,NA,90,NA,NA,NA,NA,NA,-41.67,1
1863-02-02 21:00:00,NA,90,NA,NA,NA,NA,NA,-40,1
1863-02-03,NA,NA,NA,0.317,"4 pm","8 pm",3.17,NA,NA
1863-02-03 07:00:00,NA,90,NA,NA,NA,NA,NA,-34.44,1
1863-02-03 14:00:00,NA,270,NA,NA,NA,NA,NA,-28.89,1
1863-02-03 21:00:00,NA,270,NA,NA,NA,NA,NA,-31.67,1
1863-02-04 07:00:00,NA,90,NA,NA,NA,NA,NA,-34.44,1
1863-02-04 14:00:00,NA,180,NA,NA,NA,NA,NA,-28.89,1
1863-02-04 21:00:00,NA,180,NA,NA,NA,NA,NA,-31.67,1
1863-02-05 07:00:00,NA,90,NA,NA,NA,NA,NA,-37.22,1
1863-02-05 14:00:00,NA,90,NA,NA,NA,NA,NA,-34.44,1
1863-02-05 21:00:00,NA,90,NA,NA,NA,NA,NA,-37.22,1
1863-02-06 07:00:00,NA,90,NA,NA,NA,NA,NA,-34.44,1
1863-02-06 14:00:00,NA,90,NA,NA,NA,NA,NA,-31.67,1
1863-02-06 21:00:00,NA,90,NA,NA,NA,NA,NA,-39.44,1
1863-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-07 07:00:00,NA,90,NA,NA,NA,NA,NA,-37.22,2
1863-02-07 14:00:00,NA,90,NA,NA,NA,NA,NA,-31.67,2
1863-02-07 21:00:00,NA,90,NA,NA,NA,NA,NA,-36.11,2
1863-02-08 07:00:00,NA,90,NA,NA,NA,NA,NA,-34.44,1
1863-02-08 14:00:00,NA,90,NA,NA,NA,NA,NA,-28.33,1
1863-02-08 21:00:00,NA,NA,NA,NA,NA,NA,NA,-27.22,0
1863-02-09 07:00:00,NA,90,NA,NA,NA,NA,NA,-23.33,1
1863-02-09 14:00:00,NA,315,NA,NA,NA,NA,NA,-20.56,1
1863-02-09 21:00:00,NA,0,NA,NA,NA,NA,NA,-20,1
1863-02-10,NA,NA,NA,0.159,"9 pm",NA,1.59,NA,NA
1863-02-10 07:00:00,NA,0,NA,NA,NA,NA,NA,-20.56,1
1863-02-10 14:00:00,NA,0,NA,NA,NA,NA,NA,-19.44,1
1863-02-10 21:00:00,NA,0,NA,NA,NA,NA,NA,-21.11,2
1863-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-11 07:00:00,NA,0,NA,NA,NA,NA,NA,-26.11,1
1863-02-11 14:00:00,NA,0,NA,NA,NA,NA,NA,-25.56,1
1863-02-11 21:00:00,NA,90,NA,NA,NA,NA,NA,-26.67,2
1863-02-12 07:00:00,NA,0,NA,NA,NA,NA,NA,-26.11,2
1863-02-12 14:00:00,NA,0,NA,NA,NA,NA,NA,-25,2
1863-02-12 21:00:00,NA,90,NA,NA,NA,NA,NA,-25.56,NA
1863-02-13,NA,NA,NA,0.317,"8 am","4 pm",3.17,NA,NA
1863-02-13 07:00:00,NA,0,NA,NA,NA,NA,NA,-23.33,1
1863-02-13 14:00:00,NA,90,NA,NA,NA,NA,NA,-20.56,1
1863-02-13 21:00:00,NA,0,NA,NA,NA,NA,NA,-31.11,NA
1863-02-14 07:00:00,NA,90,NA,NA,NA,NA,NA,-37.22,1
1863-02-14 14:00:00,NA,90,NA,NA,NA,NA,NA,-31.67,1
1863-02-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,-40,NA
1863-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-15 07:00:00,NA,90,NA,NA,NA,NA,NA,-42.78,2
1863-02-15 14:00:00,NA,90,NA,NA,NA,NA,NA,-37.22,2
1863-02-15 21:00:00,NA,90,NA,NA,NA,NA,NA,-42.22,NA
1863-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-16 07:00:00,NA,90,NA,NA,NA,NA,NA,-44.44,1
1863-02-16 14:00:00,NA,180,NA,NA,NA,NA,NA,-37.78,1
1863-02-16 21:00:00,NA,90,NA,NA,NA,NA,NA,-43.89,1
1863-02-17 07:00:00,NA,90,NA,NA,NA,NA,NA,-43.33,2
1863-02-17 14:00:00,NA,90,NA,NA,NA,NA,NA,-37.78,2
1863-02-17 21:00:00,NA,90,NA,NA,NA,NA,NA,-37.78,1
1863-02-18 07:00:00,NA,90,NA,NA,NA,NA,NA,-43.89,1
1863-02-18 14:00:00,NA,90,NA,NA,NA,NA,NA,-33.33,1
1863-02-18 21:00:00,NA,90,NA,NA,NA,NA,NA,-37.78,1
1863-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-19 07:00:00,NA,0,NA,NA,NA,NA,NA,-32.78,1
1863-02-19 14:00:00,NA,0,NA,NA,NA,NA,NA,-28.33,1
1863-02-19 21:00:00,NA,90,NA,NA,NA,NA,NA,-30,1
1863-02-20 07:00:00,NA,0,NA,NA,NA,NA,NA,-32.78,1
1863-02-20 14:00:00,NA,0,NA,NA,NA,NA,NA,-28.89,1
1863-02-20 21:00:00,NA,0,NA,NA,NA,NA,NA,-31.11,1
1863-02-21 07:00:00,NA,NA,NA,NA,NA,NA,NA,-32.78,0
1863-02-21 14:00:00,NA,270,NA,NA,NA,NA,NA,-23.89,1
1863-02-21 21:00:00,NA,NA,NA,NA,NA,NA,NA,-23.33,0
1863-02-22 07:00:00,NA,NA,NA,NA,NA,NA,NA,-31.11,0
1863-02-22 14:00:00,NA,NA,NA,NA,NA,NA,NA,-28.89,0
1863-02-22 21:00:00,NA,NA,NA,NA,NA,NA,NA,-27.78,0
1863-02-23 07:00:00,NA,90,NA,NA,NA,NA,NA,-23.33,1
1863-02-23 14:00:00,NA,90,NA,NA,NA,NA,NA,-19.44,1
1863-02-23 21:00:00,NA,NA,NA,NA,NA,NA,NA,-23.33,0
1863-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-24 07:00:00,NA,90,NA,NA,NA,NA,NA,-25,1
1863-02-24 14:00:00,NA,90,NA,NA,NA,NA,NA,-19.44,2
1863-02-24 21:00:00,NA,90,NA,NA,NA,NA,NA,-23.33,1
1863-02-25 07:00:00,NA,90,NA,NA,NA,NA,NA,-28.89,1
1863-02-25 14:00:00,NA,90,NA,NA,NA,NA,NA,-19.44,1
1863-02-25 21:00:00,NA,90,NA,NA,NA,NA,NA,-25.56,1
1863-02-26 07:00:00,NA,270,NA,NA,NA,NA,NA,-31.67,1
