"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"FortPrinceWalesHB","58.8","-94.2","6","America/Winnipeg","6","71696","5060608"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","dd","ta"
1768-09-11,NA,NA
1768-09-11 09:00:00,NA,NA
1768-09-11 15:00:00,NA,5.28
1768-09-11 20:00:00,45,NA
1768-09-12,NA,NA
1768-09-12 09:00:00,NA,6.67
1768-09-12 15:00:00,NA,8.89
1768-09-12 20:00:00,0,NA
1768-09-13,NA,NA
1768-09-13 09:00:00,NA,6.67
1768-09-13 15:00:00,NA,8.06
1768-09-13 20:00:00,135,NA
1768-09-14,NA,NA
1768-09-14 09:00:00,NA,3.33
1768-09-14 15:00:00,NA,7.22
1768-09-14 20:00:00,0,NA
1768-09-15,NA,NA
1768-09-15 09:00:00,NA,3.33
1768-09-15 15:00:00,NA,5.83
1768-09-15 20:00:00,270,NA
1768-09-16,NA,NA
1768-09-16 09:00:00,NA,0
1768-09-16 15:00:00,NA,3.06
1768-09-16 20:00:00,315,NA
1768-09-17,NA,NA
1768-09-17 09:00:00,NA,1.11
1768-09-17 15:00:00,NA,2.22
1768-09-17 20:00:00,0,NA
1768-09-18,NA,NA
1768-09-18 09:00:00,NA,0
1768-09-18 15:00:00,NA,3.33
1768-09-18 20:00:00,45,NA
1768-09-19,NA,NA
1768-09-19 09:00:00,NA,0.56
1768-09-19 15:00:00,NA,3.33
1768-09-19 20:00:00,0,NA
1768-09-20,NA,NA
1768-09-20 09:00:00,NA,1.11
1768-09-20 15:00:00,NA,6.11
1768-09-20 20:00:00,225,NA
1768-09-21,NA,NA
1768-09-21 09:00:00,NA,3.33
1768-09-21 15:00:00,NA,8.89
1768-09-21 20:00:00,270,NA
1768-09-22,NA,NA
1768-09-22 09:00:00,NA,6.11
1768-09-22 15:00:00,NA,15.56
1768-09-22 20:00:00,180,NA
1768-09-23,NA,NA
1768-09-23 09:00:00,NA,8.33
1768-09-23 15:00:00,NA,13.33
1768-09-23 20:00:00,225,NA
1768-09-24,NA,NA
1768-09-24 09:00:00,NA,10
1768-09-24 15:00:00,NA,12.22
1768-09-24 20:00:00,135,NA
1768-09-25,NA,NA
1768-09-25 09:00:00,NA,7.78
1768-09-25 15:00:00,NA,7.22
1768-09-25 20:00:00,90,NA
1768-09-26,NA,NA
1768-09-26 09:00:00,NA,5.56
1768-09-26 15:00:00,NA,6.94
1768-09-26 20:00:00,45,NA
1768-09-27,NA,NA
1768-09-27 09:00:00,NA,4.72
1768-09-27 15:00:00,NA,8.89
1768-09-27 20:00:00,135,NA
1768-09-28,NA,NA
1768-09-28 09:00:00,NA,4.44
