"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"HalifaxCH","44.65","-63.6","53","America/Halifax","4","71327","8202220"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_range","air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"tb","humidity","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"tdb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"Tn","minimum surface temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"Tx","maximum air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"Txs","maximum air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","atb","dd","p","pr","ta","ta_range","tb","tdb","Tn","Tx","Txs","w","ww"
1854-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,",ra"
1854-01-01 06:00:00,NA,NA,1013.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854-01-01 09:00:00,NA,NA,NA,NA,12.78,NA,-1.89,-0.89,NA,NA,NA,NA,NA
1854-01-01 12:00:00,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,",fg"
1854-01-01 14:00:00,NA,NA,NA,NA,NA,NA,3.11,3.89,NA,NA,NA,NA,NA
1854-01-01 15:00:00,NA,NA,1000,NA,12.22,NA,NA,NA,NA,NA,NA,NA,NA
1854-01-01 21:00:00,NA,NA,NA,NA,NA,NA,5.22,5.78,NA,NA,NA,NA,NA
1854-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854-01-02 06:00:00,NA,NA,1003.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854-01-02 09:00:00,NA,NA,NA,NA,6.67,NA,1.11,2.22,NA,NA,NA,NA,NA
1854-01-02 12:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,",skc"
1854-01-02 14:00:00,NA,NA,NA,NA,NA,NA,-1.11,0.22,NA,NA,NA,NA,NA
1854-01-02 15:00:00,NA,NA,1005.76,NA,15.56,NA,NA,NA,NA,NA,NA,NA,NA
1854-01-02 21:00:00,NA,NA,NA,NA,NA,NA,-0.44,-0.33,NA,NA,NA,NA,NA
1854-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854-01-03 06:00:00,NA,NA,1015.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854-01-03 09:00:00,NA,NA,NA,NA,2.22,NA,-7.56,-6.33,NA,NA,NA,NA,NA
1854-01-03 12:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,",skc"
1854-01-03 14:00:00,NA,NA,NA,NA,NA,NA,-3.22,-2,NA,NA,NA,NA,NA
1854-01-03 15:00:00,NA,NA,1019.98,NA,16.67,NA,NA,NA,NA,NA,NA,NA,NA
1854-01-03 21:00:00,NA,NA,NA,NA,NA,NA,-4.44,-3.11,NA,NA,NA,NA,NA
1854-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854-01-04 06:00:00,NA,NA,1015.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854-01-04 09:00:00,NA,NA,NA,NA,6.11,NA,0.67,1.44,NA,NA,NA,NA,NA
1854-01-04 12:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,",skc"
1854-01-04 14:00:00,NA,NA,NA,NA,NA,NA,4.56,5.89,NA,NA,NA,NA,NA
1854-01-04 15:00:00,NA,NA,1010.84,NA,18.33,NA,NA,NA,NA,NA,NA,NA,NA
1854-01-04 21:00:00,NA,NA,NA,NA,NA,NA,2.44,3.67,NA,NA,NA,NA,NA
1854-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854-01-05 06:00:00,NA,NA,1007.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854-01-05 09:00:00,NA,NA,NA,NA,8.89,NA,3.33,4.44,NA,NA,NA,NA,NA
1854-01-05 12:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,",hz"
1854-01-05 14:00:00,NA,NA,NA,NA,NA,NA,2.56,6.44,NA,NA,NA,NA,NA
1854-01-05 15:00:00,NA,NA,1013.55,NA,14.44,NA,NA,NA,NA,NA,NA,NA,NA
1854-01-05 21:00:00,NA,NA,NA,NA,NA,NA,0.78,6.22,NA,NA,NA,NA,NA
1854-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854-01-06 06:00:00,NA,NA,1012.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854-01-06 09:00:00,NA,NA,NA,NA,3.89,NA,-0.33,0.56,NA,NA,NA,NA,NA
1854-01-06 12:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,",fg"
