"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"HalifaxDY","44.65","-63.58","2","America/Halifax","4","71328","8202220"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","atb","dd","p","ta","w","ww"
1854-10-19 07:00:00,6.67,NA,NA,NA,NA,NA
1854-10-19 07:00:00,NA,292.5,NA,NA,NA,NA
1854-10-19 07:00:00,NA,NA,1024.04,NA,NA,NA
1854-10-19 07:00:00,NA,NA,NA,4.44,NA,NA
1854-10-19 07:00:00,NA,NA,NA,NA,1,NA
1854-10-19 07:00:00,NA,NA,NA,NA,NA,NA
1854-10-19 12:00:00,NA,22.5,NA,NA,NA,NA
1854-10-19 14:00:00,6.67,NA,NA,NA,NA,NA
1854-10-19 14:00:00,NA,NA,1024.04,NA,NA,NA
1854-10-19 14:00:00,NA,NA,NA,7.22,NA,NA
1854-10-19 14:00:00,NA,NA,NA,NA,2,NA
1854-10-19 14:00:00,NA,NA,NA,NA,NA,NA
1854-10-19 21:00:00,7.22,NA,NA,NA,NA,NA
1854-10-19 21:00:00,NA,0,NA,NA,NA,NA
1854-10-19 21:00:00,NA,NA,1023.71,NA,NA,NA
1854-10-19 21:00:00,NA,NA,NA,3.89,NA,NA
1854-10-19 21:00:00,NA,NA,NA,NA,11,NA
1854-10-19 21:00:00,NA,NA,NA,NA,NA,",RA NA"
1854-10-20 07:00:00,4.44,NA,NA,NA,NA,NA
1854-10-20 07:00:00,NA,337.5,NA,NA,NA,NA
1854-10-20 07:00:00,NA,NA,1031.83,NA,NA,NA
1854-10-20 07:00:00,NA,NA,NA,1.11,NA,NA
1854-10-20 07:00:00,NA,NA,NA,NA,2,NA
1854-10-20 07:00:00,NA,NA,NA,NA,NA,",SKC NA"
1854-10-20 12:00:00,NA,0,NA,NA,NA,NA
1854-10-20 14:00:00,8.33,NA,NA,NA,NA,NA
1854-10-20 14:00:00,NA,NA,1033.19,NA,NA,NA
1854-10-20 14:00:00,NA,NA,NA,7.78,NA,NA
1854-10-20 14:00:00,NA,NA,NA,NA,2,NA
1854-10-20 14:00:00,NA,NA,NA,NA,NA,",SKC NA"
1854-10-20 21:00:00,10,NA,NA,NA,NA,NA
1854-10-20 21:00:00,NA,337.5,NA,NA,NA,NA
1854-10-20 21:00:00,NA,NA,1033.86,NA,NA,NA
1854-10-20 21:00:00,NA,NA,NA,8.33,NA,NA
1854-10-20 21:00:00,NA,NA,NA,NA,1,NA
1854-10-20 21:00:00,NA,NA,NA,NA,NA,NA
1854-10-21 07:00:00,6.67,NA,NA,NA,NA,NA
1854-10-21 07:00:00,NA,337.5,NA,NA,NA,NA
1854-10-21 07:00:00,NA,NA,1035.56,NA,NA,NA
1854-10-21 07:00:00,NA,NA,NA,1.11,NA,NA
1854-10-21 07:00:00,NA,NA,NA,NA,1,NA
1854-10-21 07:00:00,NA,NA,NA,NA,NA,",SKC NA"
1854-10-21 12:00:00,NA,0,NA,NA,NA,NA
1854-10-21 14:00:00,9.44,NA,NA,NA,NA,NA
1854-10-21 14:00:00,NA,NA,1036.57,NA,NA,NA
