"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"Hamilton","43.3","-79.8","90","America/Toronto","5","71297","6151053"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","atb","p"
1857-01-01,NA,NA
1857-01-01 09:00:00,NA,1013.55
1857-01-01 09:00:00,-2.22,NA
1857-01-01 21:00:00,NA,1012.87
1857-01-01 21:00:00,-2.78,NA
1857-01-02,NA,NA
1857-01-02 09:00:00,NA,1007.79
1857-01-02 09:00:00,-2.22,NA
1857-01-02 21:00:00,NA,996.95
1857-01-02 21:00:00,0.56,NA
1857-01-03,NA,NA
1857-01-03 09:00:00,NA,990.18
1857-01-03 09:00:00,-1.11,NA
1857-01-03 21:00:00,NA,1000.68
1857-01-03 21:00:00,-1.67,NA
1857-01-04,NA,NA
1857-01-04 09:00:00,NA,1009.14
1857-01-04 09:00:00,-2.78,NA
1857-01-04 21:00:00,NA,1011.51
1857-01-04 21:00:00,-4.44,NA
1857-01-05,NA,NA
1857-01-05 09:00:00,NA,1010.84
1857-01-05 09:00:00,-5.56,NA
1857-01-05 21:00:00,NA,1012.53
1857-01-05 21:00:00,-11.11,NA
1857-01-06,NA,NA
1857-01-06 09:00:00,NA,1016.59
1857-01-06 09:00:00,-17.78,NA
1857-01-06 21:00:00,NA,1015.92
1857-01-06 21:00:00,-12.22,NA
1857-01-07,NA,NA
1857-01-07 09:00:00,NA,1010.84
1857-01-07 09:00:00,-9.44,NA
1857-01-07 21:00:00,NA,1015.92
1857-01-07 21:00:00,-20.56,NA
1857-01-08,NA,NA
1857-01-08 09:00:00,NA,1019.3
1857-01-08 09:00:00,-19.44,NA
1857-01-08 21:00:00,NA,1014.22
1857-01-08 21:00:00,-12.22,NA
1857-01-09,NA,NA
1857-01-09 09:00:00,NA,1004.74
1857-01-09 09:00:00,-10.56,NA
1857-01-09 21:00:00,NA,997.97
1857-01-09 21:00:00,-9.44,NA
1857-01-10,NA,NA
1857-01-10 09:00:00,NA,991.2
1857-01-10 09:00:00,-7.78,NA
1857-01-10 21:00:00,NA,991.2
1857-01-10 21:00:00,-5,NA
1857-01-11,NA,NA
1857-01-11 09:00:00,NA,1003.39
1857-01-11 09:00:00,-11.67,NA
1857-01-11 21:00:00,NA,1010.16
1857-01-11 21:00:00,-13.33,NA
1857-01-12,NA,NA
1857-01-12 09:00:00,NA,1010.16
1857-01-12 09:00:00,-13.33,NA
1857-01-12 21:00:00,NA,1006.77
1857-01-12 21:00:00,-8.89,NA
1857-01-13,NA,NA
1857-01-13 09:00:00,NA,1001.02
1857-01-13 09:00:00,-10.56,NA
1857-01-13 21:00:00,NA,998.98
1857-01-13 21:00:00,-5.56,NA
1857-01-14,NA,NA
1857-01-14 09:00:00,NA,997.63
1857-01-14 09:00:00,-5.56,NA
1857-01-14 21:00:00,NA,1002.37
