"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"Montreal","45.5","-73.6","17.4","America/Montreal","5","71612","7025280"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"cd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"cv","wind speed","atmospheric material",NA,"okta","sub-daily","historical","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"e","specific humidity","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"hd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"rh","relative humidity","atmospheric material",NA,"%","sub-daily","instrumental","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"tb","humidity","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"tdb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","atb","cd","cv","dd","e","hd","p","pr","ptb","pte","rh","sd","ta","ta_mean","tb","tdb","w"
1855-09-01,NA,NA,NA,NA,NA,NA,NA,4.32,"11:30am","empty",NA,NA,NA,20,NA,NA,NA
1855-09-01 07:00:00,17.78,225,1,157.5,11.85,NA,1014.9,NA,NA,NA,70.2,NA,15.56,NA,12.22,15.56,1
1855-09-01 14:00:00,19.44,225,2,135,13.88,NA,1008.81,NA,NA,NA,66,NA,22.22,NA,18.89,22.22,1
1855-09-01 21:00:00,22.78,225,2,225,20.22,NA,1008.13,NA,NA,NA,75.8,NA,22.41,NA,19.44,22.78,5
1855-09-02,NA,NA,NA,NA,NA,NA,NA,0.51,"empty","empty",NA,NA,NA,17.78,NA,NA,NA
1855-09-02 07:00:00,22.22,225,2,337.5,14.66,NA,1010.5,NA,NA,NA,65.2,NA,19.86,NA,15.56,20,2
1855-09-02 14:00:00,20.56,315,3,315,8.57,NA,1013.88,NA,NA,NA,40,NA,19.44,NA,14.44,19.44,11
1855-09-02 21:00:00,18.33,315,2,315,7.62,NA,1018.96,NA,NA,NA,47.9,NA,14.31,NA,8.89,13.89,2
1855-09-03,NA,NA,NA,NA,NA,NA,NA,0,"empty","empty",NA,NA,NA,13.33,NA,NA,NA
1855-09-03 07:00:00,18.89,315,2,315,7.45,NA,1020.32,NA,NA,NA,59.2,NA,10.56,NA,7.22,10.56,2
1855-09-03 14:00:00,17.78,315,3,22.5,8.43,NA,1018.63,NA,NA,NA,46.7,NA,16.53,NA,10.56,16.67,2
1855-09-03 21:00:00,17.78,NA,0,22.5,8.97,NA,1018.96,NA,NA,NA,58,NA,14.17,NA,10,14.44,1
1855-09-04,NA,NA,NA,NA,NA,NA,NA,0,"empty","empty",NA,NA,NA,16.11,NA,NA,NA
1855-09-04 07:00:00,17.78,NA,0,0,13.51,NA,1022.01,NA,NA,NA,88,NA,13.33,NA,12.22,13.33,5
1855-09-04 14:00:00,17.78,NA,0,0,11.78,NA,1019.98,NA,NA,NA,53,NA,20,NA,13.89,20,5
1855-09-04 21:00:00,18.33,NA,0,0,11.85,NA,1024.38,NA,NA,NA,68.4,NA,16.25,NA,12.22,15.56,0
1855-09-05,NA,NA,NA,NA,NA,NA,NA,0,"empty","empty",NA,NA,NA,16.67,NA,NA,NA
1855-09-05 07:00:00,18.33,NA,0,0,13.51,NA,1026.75,NA,NA,NA,88,NA,13.33,NA,12.22,13.33,1
1855-09-05 14:00:00,18.89,NA,0,180,10.33,NA,1024.72,NA,NA,NA,53.9,NA,21.67,NA,15.56,21.67,0
1855-09-05 21:00:00,19.44,NA,0,0,10.33,NA,1024.72,NA,NA,NA,78.6,NA,15.56,NA,13.33,15.56,0
1855-09-06,NA,NA,NA,NA,NA,NA,NA,0,"empty","empty",NA,NA,NA,18.89,NA,NA,NA
1855-09-06 07:00:00,19.44,NA,0,0,12.12,NA,1025.06,NA,NA,NA,78.4,NA,13.89,NA,11.67,13.89,0
1855-09-06 14:00:00,20.56,NA,0,247.5,16.39,NA,1024.04,NA,NA,NA,58.6,NA,23.89,NA,17.78,23.89,0
1855-09-06 21:00:00,21.11,NA,0,247.5,15.27,NA,1023.71,NA,NA,NA,72.4,NA,18.89,NA,15.56,18.89,0
1855-09-07,NA,NA,NA,NA,NA,NA,NA,0,"2.35pm","empty",NA,NA,NA,20,NA,NA,NA
1855-09-07 07:00:00,20.56,NA,0,247.5,13.61,NA,1023.03,NA,NA,NA,83.1,NA,14.72,NA,12.78,14.44,0
1855-09-07 14:00:00,21.11,315,1,247.5,15.14,NA,1018.96,NA,NA,NA,32.1,NA,23.33,NA,12.78,23.33,11
1855-09-07 21:00:00,21.67,315,2,247.5,9.41,NA,1016.59,NA,NA,NA,40.5,NA,20.97,NA,12.78,21.11,5
1855-09-08,NA,NA,NA,NA,NA,NA,NA,0.51,"2am","[mid day]",NA,NA,NA,21.67,NA,NA,NA
1855-09-08 07:00:00,21.67,315,2,292.5,20.49,NA,1016.59,NA,NA,NA,95.1,NA,18.89,NA,18.33,18.89,1
1855-09-08 14:00:00,22.22,315,0,292.5,22.82,NA,1015.58,NA,NA,NA,81,NA,24.17,NA,21.11,23.89,1
1855-09-08 21:00:00,23.33,NA,0,292.5,22.32,NA,1010.5,NA,NA,NA,91,NA,21.39,NA,20,21.11,1
1855-09-09,NA,NA,NA,NA,NA,NA,NA,2.54,"empty","empty",NA,NA,NA,23.61,NA,NA,NA
1855-09-09 07:00:00,23.33,NA,0,315,20.49,NA,1009.14,NA,NA,NA,83.8,NA,23.33,NA,21.11,23.33,5
1855-09-09 14:00:00,23.89,270,1,337.5,18.12,NA,1008.13,NA,NA,NA,55.3,NA,26.67,NA,19.44,26.67,5
1855-09-09 21:00:00,23.89,NA,0,337.5,14.05,NA,1012.87,NA,NA,NA,58.8,NA,20.83,NA,15.56,21.11,0
1855-09-10,NA,NA,NA,NA,NA,NA,NA,0,"empty","empty",NA,NA,NA,19.44,NA,NA,NA
1855-09-10 07:00:00,22.78,NA,0,337.5,9.99,NA,1015.58,NA,NA,NA,58.4,NA,15.56,NA,11.11,15.56,5
1855-09-10 14:00:00,21.67,315,2,337.5,14.05,NA,1014.56,NA,NA,NA,53.8,NA,22.61,NA,16.11,22.78,1
1855-09-10 21:00:00,22.22,315,2,337.5,13.07,NA,1013.88,NA,NA,NA,55.1,NA,21.11,NA,15,21.11,1
1855-09-11,NA,NA,NA,NA,NA,NA,NA,0,"empty","empty",NA,NA,NA,22.22,NA,NA,NA
1855-09-11 07:00:00,22.22,315,0,337.5,13.31,NA,1014.56,NA,NA,NA,63.4,NA,19.06,NA,16.11,18.89,1
