"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"Niagara","43.15","-79.3","82","America/Toronto","5","71171","6136626"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"au","phenomemon","atmospheric material",NA,"text","daily","historical","original_observation","field method","c",NA
"ch","cloud type","atmospheric material",NA,"cloudatlas","sub-daily","historical","original_observation","field method","c",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"e","specific humidity","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"e_mean","specific humidity","atmospheric material",NA,"hPa","daily","instrumental","mean","computational method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"rh","relative humidity","atmospheric material",NA,"%","sub-daily","instrumental","original_observation","field method","n",NA
"rh_mean","relative humidity","atmospheric material",NA,"%","daily","instrumental","mean","computational method","n",NA
"rr","precipitation","atmospheric material",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"ta_range","air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"Tn","minimum surface temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"Tx","maximum air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","au","ch","dd","e","e_mean","pr","ptb","pte","rh","rh_mean","rr","sd","ta","ta_mean","ta_range","Tn","Tx","w"
1861-02-01,NA,NA,NA,NA,4.29,0,"empty,empty","empty,empty",NA,100,NA,0,NA,-5.06,-6.78,-11.17,-0.17,NA
1861-02-01 07:00:00,NA,NA,NA,2.68,NA,NA,NA,NA,100,NA,NA,NA,-10.11,NA,NA,NA,NA,0
1861-02-01 14:00:00,NA,NA,90,4.4,NA,NA,NA,NA,100,NA,NA,NA,-4.39,NA,NA,NA,NA,1
1861-02-01 21:00:00,NA,NA,90,5.79,NA,NA,NA,NA,100,NA,NA,NA,-0.67,NA,NA,NA,NA,1
1861-02-02,NA,NA,NA,NA,5.42,0,"empty,empty","empty,empty",NA,94.66,0,0,NA,-0.86,-12.56,-4.17,1.06,NA
1861-02-02 07:00:00,NA,NA,90,6.06,NA,NA,NA,NA,98,NA,NA,NA,0.33,NA,NA,NA,NA,0
1861-02-02 14:00:00,NA,NA,NA,6.2,NA,NA,NA,NA,100,NA,NA,NA,0.56,NA,NA,NA,NA,0
1861-02-02 21:00:00,NA,NA,270,4,NA,NA,NA,NA,86,NA,NA,NA,-3.44,NA,NA,NA,NA,5
1861-02-03,NA,NA,NA,NA,NA,0,"empty,empty","empty,empty",NA,NA,0,0,NA,NA,NA,NA,NA,NA
1861-02-03 07:00:00,NA,"Ch0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1861-02-03 14:00:00,NA,"Ch0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1861-02-03 21:00:00,NA,"Ch0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1861-02-04,NA,NA,NA,NA,4.42,0,"empty,empty","empty,empty",NA,84,0,0,NA,-0.65,-7.67,-8.78,1.33,NA
1861-02-04 07:00:00,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,NA,NA,NA,NA,0
1861-02-04 14:00:00,NA,"Ch6",NA,3.79,NA,NA,NA,NA,68,NA,NA,NA,-0.39,NA,NA,NA,NA,1
1861-02-04 21:00:00,NA,NA,225,5.05,NA,NA,NA,NA,100,NA,NA,NA,-2.22,NA,NA,NA,NA,0
