"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"SevernHouseHB","56.1","-89","14","America/Winnipeg","6","71099","6012501"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","dd","ta"
1773-01-01 09:00:00,NA,NA
1773-01-01 12:00:00,315,NA
1773-01-01 15:00:00,NA,-16.39
1773-01-02 09:00:00,NA,-27.78
1773-01-02 12:00:00,270,NA
1773-01-02 15:00:00,NA,-19.17
1773-01-03 09:00:00,NA,NA
1773-01-03 12:00:00,225,NA
1773-01-03 15:00:00,NA,-17.78
1773-01-04 09:00:00,NA,-19.44
1773-01-04 12:00:00,315,NA
1773-01-04 15:00:00,NA,-20
1773-01-05 09:00:00,NA,-30.56
1773-01-05 12:00:00,315,NA
1773-01-05 15:00:00,NA,-27.22
1773-01-06 09:00:00,NA,-34.44
1773-01-06 12:00:00,270,NA
1773-01-06 15:00:00,NA,-28.33
1773-01-07 09:00:00,NA,-33.89
1773-01-07 12:00:00,NA,NA
1773-01-07 15:00:00,NA,-21.67
1773-01-08 09:00:00,NA,-26.67
1773-01-08 12:00:00,270,NA
1773-01-08 15:00:00,NA,-24.44
1773-01-09 09:00:00,NA,-23.33
1773-01-09 12:00:00,315,NA
1773-01-09 15:00:00,NA,-25
1773-01-10 09:00:00,NA,-32.22
1773-01-10 12:00:00,315,NA
1773-01-10 15:00:00,NA,-30
1773-01-11 09:00:00,NA,-36.67
1773-01-11 12:00:00,315,NA
1773-01-11 15:00:00,NA,-31.11
1773-01-12 09:00:00,NA,-41.11
1773-01-12 12:00:00,270,NA
1773-01-12 15:00:00,NA,-34.44
1773-01-13 09:00:00,NA,-52.78
1773-01-13 12:00:00,270,NA
1773-01-13 15:00:00,NA,NA
1773-01-14 09:00:00,NA,NA
1773-01-14 12:00:00,315,NA
1773-01-14 15:00:00,NA,NA
1773-01-15 09:00:00,NA,NA
1773-01-15 12:00:00,315,NA
1773-01-15 15:00:00,NA,-35.56
1773-01-16 09:00:00,NA,-50.56
1773-01-16 12:00:00,270,NA
1773-01-16 15:00:00,NA,-33.89
1773-01-17 09:00:00,NA,-38.33
1773-01-17 12:00:00,315,NA
1773-01-17 15:00:00,NA,-31.67
1773-01-18 09:00:00,NA,-37.78
1773-01-18 12:00:00,270,NA
1773-01-18 15:00:00,NA,-31.11
1773-01-19 09:00:00,NA,-22.22
1773-01-19 12:00:00,225,NA
1773-01-19 15:00:00,NA,-16.67
1773-01-20 09:00:00,NA,-14.44
1773-01-20 12:00:00,270,NA
1773-01-20 15:00:00,NA,-11.11
1773-01-21 09:00:00,NA,-32.22
1773-01-21 12:00:00,315,NA
1773-01-21 15:00:00,NA,-27.22
1773-01-22 09:00:00,NA,-32.78
1773-01-22 12:00:00,270,NA
1773-01-22 15:00:00,NA,-27.22
1773-01-23 09:00:00,NA,-39.44
1773-01-23 12:00:00,270,NA
1773-01-23 15:00:00,NA,-32.78
1773-01-24 09:00:00,NA,-37.22
1773-01-24 12:00:00,270,NA
1773-01-24 15:00:00,NA,-28.89
1773-01-25 09:00:00,NA,-39.17
1773-01-25 12:00:00,270,NA
1773-01-25 15:00:00,NA,-34.44
1773-01-26 09:00:00,NA,-36.67
1773-01-26 12:00:00,225,NA
1773-01-26 15:00:00,NA,-28.89
1773-01-27 09:00:00,NA,-26.11
1773-01-27 12:00:00,90,NA
1773-01-27 15:00:00,NA,-22.78
1773-01-28 09:00:00,NA,-27.22
1773-01-28 12:00:00,270,NA
1773-01-28 15:00:00,NA,-22.22
1773-01-29 09:00:00,NA,-32.78
1773-01-29 12:00:00,315,NA
1773-01-29 15:00:00,NA,-30.56
1773-01-30 09:00:00,NA,-40.83
1773-01-30 12:00:00,315,NA
1773-01-30 15:00:00,NA,-33.33
1773-01-31 09:00:00,NA,-42.22
1773-01-31 12:00:00,315,NA
1773-01-31 15:00:00,NA,-37.22
1773-02-01 09:00:00,NA,-51.67
1773-02-01 12:00:00,270,NA
1773-02-01 15:00:00,NA,-35.56
1773-02-02 09:00:00,NA,-43.61
1773-02-02 12:00:00,270,NA
1773-02-02 15:00:00,NA,-34.44
1773-02-03 09:00:00,NA,-52.22
1773-02-03 12:00:00,270,NA
1773-02-03 15:00:00,NA,-33.89
1773-02-04 09:00:00,NA,-42.22
1773-02-04 12:00:00,270,NA
1773-02-04 15:00:00,NA,-31.67
1773-02-05 09:00:00,NA,-37.22
1773-02-05 12:00:00,225,NA
1773-02-05 15:00:00,NA,-28.33
1773-02-06 09:00:00,NA,-36.67
1773-02-06 12:00:00,270,NA
1773-02-06 15:00:00,NA,-32.78
1773-02-07 09:00:00,NA,-40.56
1773-02-07 12:00:00,270,NA
1773-02-07 15:00:00,NA,-32.78
1773-02-08 09:00:00,NA,-36.11
1773-02-08 12:00:00,0,NA
1773-02-08 15:00:00,NA,-30
1773-02-09 09:00:00,NA,-27.78
1773-02-09 12:00:00,135,NA
1773-02-09 15:00:00,NA,-23.33
1773-02-10 09:00:00,NA,-26.11
1773-02-10 12:00:00,0,NA
1773-02-10 15:00:00,NA,-24.44
1773-02-11 09:00:00,NA,-36.39
1773-02-11 12:00:00,270,NA
1773-02-11 15:00:00,NA,-26.67
1773-02-12 09:00:00,NA,-39.44
1773-02-12 12:00:00,270,NA
1773-02-12 15:00:00,NA,-28.89
1773-02-13 09:00:00,NA,-40
1773-02-13 12:00:00,0,NA
1773-02-13 15:00:00,NA,-30
1773-02-14 09:00:00,NA,-31.67
1773-02-14 12:00:00,270,NA
1773-02-14 15:00:00,NA,-17.78
1773-02-15 09:00:00,NA,-24.17
1773-02-15 12:00:00,315,NA
1773-02-15 15:00:00,NA,-25
1773-02-16 09:00:00,NA,-28.89
1773-02-16 12:00:00,225,NA
1773-02-16 15:00:00,NA,-20.56
1773-02-17 09:00:00,NA,-37.22
1773-02-17 12:00:00,315,NA
1773-02-17 15:00:00,NA,-31.67
1773-02-18 09:00:00,NA,-33.33
1773-02-18 12:00:00,270,NA
1773-02-18 15:00:00,NA,-28.33
1773-02-19 09:00:00,NA,-35.56
1773-02-19 12:00:00,270,NA
1773-02-19 15:00:00,NA,-28.89
1773-02-20 09:00:00,NA,-34.44
1773-02-20 12:00:00,270,NA
1773-02-20 15:00:00,NA,-28.33
1773-02-21 09:00:00,NA,-41.11
1773-02-21 12:00:00,270,NA
1773-02-21 15:00:00,NA,-28.33
1773-02-22 09:00:00,NA,-30
1773-02-22 12:00:00,270,NA
1773-02-22 15:00:00,NA,-16.67
1773-02-23 09:00:00,NA,-26.11
1773-02-23 12:00:00,315,NA
1773-02-23 15:00:00,NA,-13.33
1773-02-24 09:00:00,NA,-14.44
1773-02-24 12:00:00,270,NA
1773-02-24 15:00:00,NA,-5.56
1773-02-25 09:00:00,NA,-17.78
1773-02-25 12:00:00,270,NA
1773-02-25 15:00:00,NA,-10.28
1773-02-26 09:00:00,NA,-15.83
1773-02-26 12:00:00,135,NA
1773-02-26 15:00:00,NA,-6.11
1773-02-27 09:00:00,NA,-5.56
1773-02-27 12:00:00,180,NA
1773-02-27 15:00:00,NA,-3.33
1773-02-28 09:00:00,NA,-20.56
1773-02-28 12:00:00,315,NA
1773-02-28 15:00:00,NA,-19.17
1773-03-01 09:00:00,NA,-26.67
1773-03-01 12:00:00,180,NA
1773-03-01 15:00:00,NA,-24.44
1773-03-02 09:00:00,NA,-27.22
1773-03-02 12:00:00,225,NA
1773-03-02 15:00:00,NA,-22.78
1773-03-03 09:00:00,NA,-36.11
1773-03-03 12:00:00,225,NA
1773-03-03 15:00:00,NA,-19.44
1773-03-04 09:00:00,NA,-39.44
1773-03-04 12:00:00,270,NA
1773-03-04 15:00:00,NA,-31.11
1773-03-05 09:00:00,NA,-31.67
1773-03-05 12:00:00,225,NA
1773-03-05 15:00:00,NA,-24.44
1773-03-06 09:00:00,NA,-39.44
1773-03-06 12:00:00,315,NA
1773-03-06 15:00:00,NA,-26.11
1773-03-07 09:00:00,NA,-31.67
1773-03-07 12:00:00,270,NA
1773-03-07 15:00:00,NA,-26.39
1773-03-08 09:00:00,NA,-26.11
1773-03-08 12:00:00,270,NA
1773-03-08 15:00:00,NA,-20
1773-03-09 09:00:00,NA,-21.11
1773-03-09 12:00:00,225,NA
1773-03-09 15:00:00,NA,-9.44
1773-03-10 09:00:00,NA,-20
1773-03-10 12:00:00,270,NA
1773-03-10 15:00:00,NA,-20
1773-03-11 09:00:00,NA,-28.33
1773-03-11 12:00:00,315,NA
1773-03-11 15:00:00,NA,-16.11
1773-03-12 09:00:00,NA,-2.78
1773-03-12 12:00:00,315,NA
1773-03-12 15:00:00,NA,-23.33
1773-03-13 09:00:00,NA,-31.67
1773-03-13 12:00:00,270,NA
1773-03-13 15:00:00,NA,-17.78
1773-03-14 09:00:00,NA,-28.89
1773-03-14 12:00:00,315,NA
1773-03-14 15:00:00,NA,-22.22
1773-03-15 09:00:00,NA,-25.56
1773-03-15 12:00:00,270,NA
1773-03-15 15:00:00,NA,-18.89
1773-03-16 09:00:00,NA,-27.78
1773-03-16 12:00:00,270,NA
1773-03-16 15:00:00,NA,-15.56
1773-03-17 09:00:00,NA,-21.11
1773-03-17 12:00:00,315,NA
1773-03-17 15:00:00,NA,-10.56
1773-03-18 09:00:00,NA,-11.11
1773-03-18 12:00:00,315,NA
1773-03-18 15:00:00,NA,-3.89
1773-03-19 09:00:00,NA,-15.56
1773-03-19 12:00:00,0,NA
1773-03-19 15:00:00,NA,-11.11
1773-03-20 09:00:00,NA,-18.33
1773-03-20 12:00:00,0,NA
1773-03-20 15:00:00,NA,-6.11
1773-03-21 09:00:00,NA,-14.44
1773-03-21 12:00:00,225,NA
1773-03-21 15:00:00,NA,0.28
1773-03-22 09:00:00,NA,-15.56
1773-03-22 12:00:00,0,NA
1773-03-22 15:00:00,NA,-12.22
1773-03-23 09:00:00,NA,-26.67
1773-03-23 12:00:00,225,NA
1773-03-23 15:00:00,NA,-6.67
1773-03-24 09:00:00,NA,-24.44
1773-03-24 12:00:00,270,NA
1773-03-24 15:00:00,NA,-12.78
1773-03-25 09:00:00,NA,-27.78
1773-03-25 12:00:00,0,NA
1773-03-25 15:00:00,NA,-13.89
1773-03-26 09:00:00,NA,-18.89
1773-03-26 12:00:00,NA,NA
1773-03-26 15:00:00,NA,-6.67
1773-03-27 09:00:00,NA,-14.44
1773-03-27 12:00:00,45,NA
1773-03-27 15:00:00,NA,-3.33
1773-03-28 09:00:00,NA,NA
1773-03-28 12:00:00,225,NA
1773-03-28 15:00:00,NA,6.67
1773-03-29 09:00:00,NA,-8.33
1773-03-29 12:00:00,180,NA
1773-03-29 15:00:00,NA,-3.89
1773-03-30 09:00:00,NA,-15.56
1773-03-30 12:00:00,315,NA
1773-03-30 15:00:00,NA,-5.56
1773-03-31 09:00:00,NA,-14.44
1773-03-31 12:00:00,315,NA
1773-03-31 15:00:00,NA,-8.89
1773-04-01 09:00:00,NA,-20
1773-04-01 12:00:00,NA,NA
1773-04-01 15:00:00,NA,-2.78
1773-04-02 09:00:00,NA,-9.72
1773-04-02 12:00:00,NA,NA
1773-04-02 15:00:00,NA,10
1773-04-03 09:00:00,NA,1.11
1773-04-03 12:00:00,180,NA
1773-04-03 15:00:00,NA,12.22
1773-04-04 09:00:00,NA,-14.44
1773-04-04 12:00:00,270,NA
1773-04-04 15:00:00,NA,-5.56
1773-04-05 09:00:00,NA,-4.44
1773-04-05 12:00:00,225,NA
1773-04-05 15:00:00,NA,2.22
1773-04-06 09:00:00,NA,-8.89
1773-04-06 12:00:00,45,NA
