"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"StJohnsNFLDDel","45.57","-52.61","44.2","America/St_Johns","3.5","71250","8403669"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"cd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"cv","wind speed","atmospheric material",NA,"okta","sub-daily","historical","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"hd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"tb","humidity","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"tdb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","atb","cd","cv","dd","hd","p","pr","ptb","pte","sd","ta","ta_mean","tb","tdb","w","ww"
1856-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SKC NA"
1856-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SKC NA"
1856-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-01 07:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-01 07:00:00,NA,NA,NA,NA,NA,980.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.78,NA,NA,NA,NA,NA
1856-12-01 14:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-01 14:00:00,NA,NA,NA,NA,NA,976.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA,NA,NA
1856-12-01 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.22,NA,NA,NA,NA,NA
1856-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SKC NA"
1856-12-02 07:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-02 07:00:00,NA,NA,NA,NA,NA,976.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.78,NA,NA,NA,NA,NA
1856-12-02 14:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-02 14:00:00,NA,NA,NA,NA,NA,976.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.78,NA,NA,NA,NA,NA
1856-12-02 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-02 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.78,NA,NA,NA,NA,NA
1856-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SN NA"
1856-12-03 07:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-03 07:00:00,NA,NA,NA,NA,NA,976.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-03 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.22,NA,NA,NA,NA,NA
1856-12-03 14:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-03 14:00:00,NA,NA,NA,NA,NA,978.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-03 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA,NA,NA
1856-12-03 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-03 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.67,NA,NA,NA,NA,NA
1856-12-04,NA,NA,NA,NA,NA,NA,29.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SN NA"
1856-12-04 07:00:00,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-04 07:00:00,NA,NA,NA,NA,NA,977.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-04 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA
