"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"ThunderBay","48.38","-89.25","190","America/Thunder_Bay","5","71072","6048260"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","dd","pr","ta","ww"
1870-07-01 09:00:00,NA,NA,NA,NA
1870-07-01 09:00:00,315,NA,NA,NA
1870-07-01 09:00:00,NA,NA,NA,NA
1870-07-01 09:00:00,NA,0,NA,NA
1870-07-01 09:00:00,NA,NA,15.56,NA
1870-07-01 09:00:00,NA,NA,NA,NA
1870-07-01 12:00:00,NA,NA,NA,NA
1870-07-01 12:00:00,225,NA,NA,NA
1870-07-01 12:00:00,NA,NA,NA,NA
1870-07-01 12:00:00,NA,5.08,NA,NA
1870-07-01 12:00:00,NA,NA,16.67,NA
1870-07-01 12:00:00,NA,NA,NA,",SH NA"
1870-07-01 15:00:00,NA,NA,NA,NA
1870-07-01 15:00:00,45,NA,NA,NA
1870-07-01 15:00:00,NA,NA,NA,NA
1870-07-01 15:00:00,NA,0,NA,NA
1870-07-01 15:00:00,NA,NA,14.44,NA
1870-07-01 15:00:00,NA,NA,NA,",DZ NA"
1870-07-02 09:00:00,NA,NA,NA,NA
1870-07-02 09:00:00,270,NA,NA,NA
1870-07-02 09:00:00,NA,NA,NA,NA
1870-07-02 09:00:00,NA,0,NA,NA
1870-07-02 09:00:00,NA,NA,12.22,NA
1870-07-02 09:00:00,NA,NA,NA,NA
1870-07-02 12:00:00,NA,NA,NA,NA
1870-07-02 12:00:00,270,NA,NA,NA
1870-07-02 12:00:00,NA,NA,NA,NA
1870-07-02 12:00:00,NA,0,NA,NA
1870-07-02 12:00:00,NA,NA,15.56,NA
1870-07-02 12:00:00,NA,NA,NA,NA
1870-07-02 15:00:00,NA,NA,NA,NA
1870-07-02 15:00:00,90,NA,NA,NA
1870-07-02 15:00:00,NA,NA,NA,NA
1870-07-02 15:00:00,NA,0,NA,NA
1870-07-02 15:00:00,NA,NA,17.78,NA
1870-07-02 15:00:00,NA,NA,NA,NA
1870-07-03 09:00:00,NA,NA,NA,NA
1870-07-03 09:00:00,225,NA,NA,NA
1870-07-03 09:00:00,NA,NA,NA,NA
1870-07-03 09:00:00,NA,0,NA,NA
1870-07-03 09:00:00,NA,NA,15.56,NA
1870-07-03 09:00:00,NA,NA,NA,NA
1870-07-03 12:00:00,NA,NA,NA,NA
1870-07-03 12:00:00,225,NA,NA,NA
1870-07-03 12:00:00,NA,NA,NA,NA
1870-07-03 12:00:00,NA,0,NA,NA
1870-07-03 12:00:00,NA,NA,23.33,NA
1870-07-03 12:00:00,NA,NA,NA,NA
1870-07-03 15:00:00,NA,NA,NA,NA
1870-07-03 15:00:00,225,NA,NA,NA
1870-07-03 15:00:00,NA,NA,NA,NA
1870-07-03 15:00:00,NA,0,NA,NA
1870-07-03 15:00:00,NA,NA,26.67,NA
1870-07-03 15:00:00,NA,NA,NA,NA
1870-07-04 09:00:00,NA,NA,NA,NA
1870-07-04 09:00:00,270,NA,NA,NA
1870-07-04 09:00:00,NA,NA,NA,NA
1870-07-04 09:00:00,NA,0,NA,NA
1870-07-04 09:00:00,NA,NA,15.56,NA
1870-07-04 09:00:00,NA,NA,NA,NA
1870-07-04 12:00:00,NA,NA,NA,NA
1870-07-04 12:00:00,270,NA,NA,NA
1870-07-04 12:00:00,NA,NA,NA,NA
1870-07-04 12:00:00,NA,0,NA,NA
1870-07-04 12:00:00,NA,NA,21.11,NA
1870-07-04 12:00:00,NA,NA,NA,NA
1870-07-04 15:00:00,NA,NA,NA,NA
1870-07-04 15:00:00,270,NA,NA,NA
1870-07-04 15:00:00,NA,NA,NA,NA
1870-07-04 15:00:00,NA,0,NA,NA
1870-07-04 15:00:00,NA,NA,17.78,NA
1870-07-04 15:00:00,NA,NA,NA,NA
1870-07-05 09:00:00,NA,NA,NA,NA
1870-07-05 09:00:00,270,NA,NA,NA
1870-07-05 09:00:00,NA,NA,NA,NA
1870-07-05 09:00:00,NA,0,NA,NA
1870-07-05 09:00:00,NA,NA,21.11,NA
1870-07-05 09:00:00,NA,NA,NA,NA
1870-07-05 12:00:00,NA,NA,NA,NA
1870-07-05 12:00:00,270,NA,NA,NA
1870-07-05 12:00:00,NA,NA,NA,NA
1870-07-05 12:00:00,NA,0,NA,NA
1870-07-05 12:00:00,NA,NA,22.22,NA
1870-07-05 12:00:00,NA,NA,NA,NA
1870-07-05 15:00:00,NA,NA,NA,NA
1870-07-05 15:00:00,45,NA,NA,NA
1870-07-05 15:00:00,NA,NA,NA,NA
1870-07-05 15:00:00,NA,0,NA,NA
1870-07-05 15:00:00,NA,NA,21.11,NA
1870-07-05 15:00:00,NA,NA,NA,NA
1870-07-06 09:00:00,NA,NA,NA,NA
1870-07-06 09:00:00,180,NA,NA,NA
1870-07-06 09:00:00,NA,NA,NA,NA
1870-07-06 09:00:00,NA,0,NA,NA
1870-07-06 09:00:00,NA,NA,20,NA
1870-07-06 09:00:00,NA,NA,NA,NA
1870-07-06 12:00:00,NA,NA,NA,NA
1870-07-06 12:00:00,45,NA,NA,NA
1870-07-06 12:00:00,NA,NA,NA,NA
1870-07-06 12:00:00,NA,0,NA,NA
1870-07-06 12:00:00,NA,NA,21.11,NA
1870-07-06 12:00:00,NA,NA,NA,NA
1870-07-06 15:00:00,NA,NA,NA,NA
1870-07-06 15:00:00,45,NA,NA,NA
1870-07-06 15:00:00,NA,NA,NA,NA
1870-07-06 15:00:00,NA,0,NA,NA
1870-07-06 15:00:00,NA,NA,17.78,NA
1870-07-06 15:00:00,NA,NA,NA,NA
1870-07-07 09:00:00,NA,NA,NA,NA
1870-07-07 09:00:00,225,NA,NA,NA
1870-07-07 09:00:00,NA,NA,NA,NA
1870-07-07 09:00:00,NA,0,NA,NA
1870-07-07 09:00:00,NA,NA,17.78,NA
1870-07-07 09:00:00,NA,NA,NA,NA
1870-07-07 12:00:00,NA,NA,NA,NA
1870-07-07 12:00:00,0,NA,NA,NA
1870-07-07 12:00:00,NA,NA,NA,NA
1870-07-07 12:00:00,NA,0,NA,NA
1870-07-07 12:00:00,NA,NA,21.11,NA
1870-07-07 12:00:00,NA,NA,NA,NA
1870-07-07 15:00:00,NA,NA,NA,NA
1870-07-07 15:00:00,45,NA,NA,NA
1870-07-07 15:00:00,NA,NA,NA,NA
1870-07-07 15:00:00,NA,0,NA,NA
1870-07-07 15:00:00,NA,NA,21.11,NA
1870-07-07 15:00:00,NA,NA,NA,NA
1870-07-08 09:00:00,NA,NA,NA,NA
1870-07-08 09:00:00,225,NA,NA,NA
1870-07-08 09:00:00,NA,NA,NA,NA
1870-07-08 09:00:00,NA,0,NA,NA
1870-07-08 09:00:00,NA,NA,15.56,NA
1870-07-08 09:00:00,NA,NA,NA,NA
1870-07-08 12:00:00,NA,NA,NA,NA
1870-07-08 12:00:00,225,NA,NA,NA
1870-07-08 12:00:00,NA,NA,NA,NA
1870-07-08 12:00:00,NA,0,NA,NA
1870-07-08 12:00:00,NA,NA,17.78,NA
1870-07-08 12:00:00,NA,NA,NA,",SH NA"
1870-07-08 15:00:00,NA,NA,NA,NA
1870-07-08 15:00:00,225,NA,NA,NA
1870-07-08 15:00:00,NA,NA,NA,NA
1870-07-08 15:00:00,NA,25.4,NA,NA
1870-07-08 15:00:00,NA,NA,22.22,NA
1870-07-08 15:00:00,NA,NA,NA,",RA NA"
1870-07-09 09:00:00,NA,NA,NA,NA
1870-07-09 09:00:00,225,NA,NA,NA
1870-07-09 09:00:00,NA,NA,NA,NA
1870-07-09 09:00:00,NA,0,NA,NA
1870-07-09 09:00:00,NA,NA,17.78,NA
1870-07-09 09:00:00,NA,NA,NA,NA
1870-07-09 12:00:00,NA,NA,NA,NA
1870-07-09 12:00:00,225,NA,NA,NA
1870-07-09 12:00:00,NA,NA,NA,NA
1870-07-09 12:00:00,NA,0,NA,NA
1870-07-09 12:00:00,NA,NA,21.11,NA
1870-07-09 12:00:00,NA,NA,NA,NA
1870-07-09 15:00:00,NA,NA,NA,NA
1870-07-09 15:00:00,225,NA,NA,NA
1870-07-09 15:00:00,NA,NA,NA,NA
1870-07-09 15:00:00,NA,0,NA,NA
1870-07-09 15:00:00,NA,NA,23.33,NA
1870-07-09 15:00:00,NA,NA,NA,NA
1870-07-10 09:00:00,NA,NA,NA,NA
1870-07-10 09:00:00,0,NA,NA,NA
1870-07-10 09:00:00,NA,NA,NA,NA
1870-07-10 09:00:00,NA,10.16,NA,NA
1870-07-10 09:00:00,NA,NA,16.67,NA
1870-07-10 09:00:00,NA,NA,NA,",RA NA"
1870-07-10 12:00:00,NA,NA,NA,NA
1870-07-10 12:00:00,0,NA,NA,NA
1870-07-10 12:00:00,NA,NA,NA,NA
1870-07-10 12:00:00,NA,2.54,NA,NA
1870-07-10 12:00:00,NA,NA,16.67,NA
1870-07-10 12:00:00,NA,NA,NA,",RA NA"
1870-07-10 15:00:00,NA,NA,NA,NA
1870-07-10 15:00:00,0,NA,NA,NA
1870-07-10 15:00:00,NA,NA,NA,NA
