"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"Winowhupa","53.16","-62.75","112","America/Goose_Bay","4",NA,NA
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"cv","wind speed","atmospheric material",NA,"okta","sub-daily","historical","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","atb","cv","dd","p","ptb","pte","ta","w","ww"
1865-10-01,NA,NA,NA,NA,NA,NA,NA,NA,"AU NA"
1865-10-01 07:00:00,21.11,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-01 07:00:00,NA,NA,90,NA,NA,NA,NA,NA,NA
1865-10-01 07:00:00,NA,NA,NA,982.05,NA,NA,NA,NA,NA
1865-10-01 07:00:00,NA,NA,NA,NA,NA,NA,1.67,NA,NA
1865-10-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,0,NA
1865-10-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",SKC NA"
1865-10-01 14:00:00,24.44,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-01 14:00:00,NA,NA,180,NA,NA,NA,NA,NA,NA
1865-10-01 14:00:00,NA,NA,NA,980.7,NA,NA,NA,NA,NA
1865-10-01 14:00:00,NA,NA,NA,NA,NA,NA,13.33,NA,NA
1865-10-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,2,NA
1865-10-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",BKN NA"
1865-10-01 21:00:00,21.11,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-01 21:00:00,NA,NA,270,NA,NA,NA,NA,NA,NA
1865-10-01 21:00:00,NA,NA,NA,982.05,NA,NA,NA,NA,NA
1865-10-01 21:00:00,NA,NA,NA,NA,NA,NA,4.44,NA,NA
1865-10-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,0,NA
1865-10-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",SKC NA"
1865-10-02,NA,NA,NA,NA,"6 am",NA,NA,NA,NA
1865-10-02,NA,NA,NA,NA,NA,NA,NA,NA,"NA drizzle"
1865-10-02 07:00:00,15.56,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-02 07:00:00,NA,NA,270,NA,NA,NA,NA,NA,NA
1865-10-02 07:00:00,NA,NA,NA,984.08,NA,NA,NA,NA,NA
1865-10-02 07:00:00,NA,NA,NA,NA,NA,NA,-1.67,NA,NA
1865-10-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,0,NA
1865-10-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",BKN NA"
1865-10-02 14:00:00,21.11,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-02 14:00:00,NA,NA,180,NA,NA,NA,NA,NA,NA
1865-10-02 14:00:00,NA,NA,NA,987.47,NA,NA,NA,NA,NA
1865-10-02 14:00:00,NA,NA,NA,NA,NA,NA,10,NA,NA
1865-10-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,0,NA
1865-10-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",BKN NA"
1865-10-02 21:00:00,21.11,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-02 21:00:00,NA,NA,270,NA,NA,NA,NA,NA,NA
1865-10-02 21:00:00,NA,NA,NA,988.83,NA,NA,NA,NA,NA
1865-10-02 21:00:00,NA,NA,NA,NA,NA,NA,7.22,NA,NA
1865-10-02 21:00:00,NA,NA,NA,NA,NA,NA,NA,0,NA
1865-10-02 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",SKC NA"
1865-10-03 07:00:00,17.78,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-03 07:00:00,NA,NA,45,NA,NA,NA,NA,NA,NA
1865-10-03 07:00:00,NA,NA,NA,987.47,NA,NA,NA,NA,NA
1865-10-03 07:00:00,NA,NA,NA,NA,NA,NA,1.67,NA,NA
1865-10-03 07:00:00,NA,NA,NA,NA,NA,NA,NA,0,NA
1865-10-03 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",RA NA"
1865-10-03 14:00:00,22.22,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-03 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-03 14:00:00,NA,NA,45,NA,NA,NA,NA,NA,NA
1865-10-03 14:00:00,NA,NA,NA,987.47,NA,NA,NA,NA,NA
1865-10-03 14:00:00,NA,NA,NA,NA,NA,NA,7.22,NA,NA
1865-10-03 14:00:00,NA,NA,NA,NA,NA,NA,NA,0,NA
1865-10-03 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",BKN NA"
1865-10-03 21:00:00,15.56,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-03 21:00:00,NA,NA,45,NA,NA,NA,NA,NA,NA
1865-10-03 21:00:00,NA,NA,NA,989.5,NA,NA,NA,NA,NA
1865-10-03 21:00:00,NA,NA,NA,NA,NA,NA,4.44,NA,NA
1865-10-03 21:00:00,NA,NA,NA,NA,NA,NA,NA,0,NA
1865-10-03 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",RA NA"
1865-10-04 07:00:00,21.11,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-04 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-04 07:00:00,NA,NA,0,NA,NA,NA,NA,NA,NA
1865-10-04 07:00:00,NA,NA,NA,993.57,NA,NA,NA,NA,NA
1865-10-04 07:00:00,NA,NA,NA,NA,NA,NA,1.67,NA,NA
1865-10-04 07:00:00,NA,NA,NA,NA,NA,NA,NA,0,NA
1865-10-04 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",BKN NA"
1865-10-04 14:00:00,23.33,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-04 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-04 14:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-04 14:00:00,NA,NA,NA,996.95,NA,NA,NA,NA,NA
1865-10-04 14:00:00,NA,NA,NA,NA,NA,NA,4.44,NA,NA
1865-10-04 14:00:00,NA,NA,NA,NA,NA,NA,NA,0,NA
1865-10-04 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",BKN NA"
1865-10-04 21:00:00,24.44,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-04 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-04 21:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-04 21:00:00,NA,NA,NA,995.6,NA,NA,NA,NA,NA
1865-10-04 21:00:00,NA,NA,NA,NA,NA,NA,1.67,NA,NA
1865-10-04 21:00:00,NA,NA,NA,NA,NA,NA,NA,0,NA
1865-10-04 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",BKN NA"
1865-10-05,NA,NA,NA,NA,"6 am",NA,NA,NA,NA
1865-10-05,NA,NA,NA,NA,NA,NA,NA,NA,"NA snow"
1865-10-05,NA,NA,NA,NA,NA,NA,NA,NA,"AU NA"
1865-10-05 07:00:00,21.11,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-05 07:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-05 07:00:00,NA,NA,NA,995.6,NA,NA,NA,NA,NA
1865-10-05 07:00:00,NA,NA,NA,NA,NA,NA,0,NA,NA
1865-10-05 07:00:00,NA,NA,NA,NA,NA,NA,NA,0,NA
1865-10-05 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",SN NA"
1865-10-05 14:00:00,22.22,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-05 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-05 14:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-05 14:00:00,NA,NA,NA,994.24,NA,NA,NA,NA,NA
1865-10-05 14:00:00,NA,NA,NA,NA,NA,NA,1.67,NA,NA
1865-10-05 14:00:00,NA,NA,NA,NA,NA,NA,NA,0,NA
1865-10-05 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",BKN NA"
1865-10-05 21:00:00,23.33,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-05 21:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-05 21:00:00,NA,NA,NA,992.21,NA,NA,NA,NA,NA
1865-10-05 21:00:00,NA,NA,NA,NA,NA,NA,-1.67,NA,NA
1865-10-05 21:00:00,NA,NA,NA,NA,NA,NA,NA,0,NA
1865-10-05 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",SKC NA"
1865-10-06,NA,NA,NA,NA,NA,NA,NA,NA,"RA NA"
1865-10-06 07:00:00,20,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-06 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-06 07:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-06 07:00:00,NA,NA,NA,990.18,NA,NA,NA,NA,NA
1865-10-06 07:00:00,NA,NA,NA,NA,NA,NA,-3.33,NA,NA
1865-10-06 07:00:00,NA,NA,NA,NA,NA,NA,NA,0,NA
1865-10-06 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",BKN NA"
1865-10-06 14:00:00,22.22,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-06 14:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-06 14:00:00,NA,NA,NA,989.5,NA,NA,NA,NA,NA
1865-10-06 14:00:00,NA,NA,NA,NA,NA,NA,6.67,NA,NA
1865-10-06 14:00:00,NA,NA,NA,NA,NA,NA,NA,5,NA
1865-10-06 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",SKC NA"
1865-10-06 21:00:00,23.33,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-06 21:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-06 21:00:00,NA,NA,NA,982.05,NA,NA,NA,NA,NA
1865-10-06 21:00:00,NA,NA,NA,NA,NA,NA,-1.11,NA,NA
1865-10-06 21:00:00,NA,NA,NA,NA,NA,NA,NA,0,NA
1865-10-06 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",SKC NA"
1865-10-07,NA,NA,NA,NA,NA,NA,NA,NA,"AU NA"
1865-10-07 07:00:00,21.11,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-07 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-07 07:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-07 07:00:00,NA,NA,NA,979.34,NA,NA,NA,NA,NA
1865-10-07 07:00:00,NA,NA,NA,NA,NA,NA,4.44,NA,NA
1865-10-07 07:00:00,NA,NA,NA,NA,NA,NA,NA,11,NA
1865-10-07 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",BKN NA"
1865-10-07 14:00:00,21.11,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-07 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-07 14:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-07 14:00:00,NA,NA,NA,982.05,NA,NA,NA,NA,NA
1865-10-07 14:00:00,NA,NA,NA,NA,NA,NA,6.11,NA,NA
1865-10-07 14:00:00,NA,NA,NA,NA,NA,NA,NA,20,NA
1865-10-07 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",BKN NA"
1865-10-07 21:00:00,22.22,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-07 21:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-07 21:00:00,NA,NA,NA,984.76,NA,NA,NA,NA,NA
1865-10-07 21:00:00,NA,NA,NA,NA,NA,NA,0.56,NA,NA
1865-10-07 21:00:00,NA,NA,NA,NA,NA,NA,NA,0,NA
1865-10-07 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",SKC NA"
1865-10-08,NA,NA,NA,NA,"8 am",NA,NA,NA,NA
1865-10-08,NA,NA,NA,NA,NA,NA,NA,NA,"NA showers of snow"
1865-10-08,NA,NA,NA,NA,NA,NA,NA,NA,"SN NA"
1865-10-08 07:00:00,22.22,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-08 07:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-08 07:00:00,NA,NA,NA,984.76,NA,NA,NA,NA,NA
1865-10-08 07:00:00,NA,NA,NA,NA,NA,NA,0,NA,NA
1865-10-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,16,NA
1865-10-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",BKN NA"
1865-10-08 14:00:00,23.33,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-08 14:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-08 14:00:00,NA,NA,NA,982.05,NA,NA,NA,NA,NA
1865-10-08 14:00:00,NA,NA,NA,NA,NA,NA,2.22,NA,NA
