File Name,Year,Month,Day,5,6,7,8,9,10,11,12,Weather,13,14,15,16,17,18,19,20,21,22,23,0,1,Weather,Transcriber Comments
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1839,December,18,,,20,,,,,,Retracted,,,,,,,,,18,,,,,,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1839,December,19,,,28,,,,,,,,,,,,,,,12,,,12,,,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1839,December,20,,,7,7,,,,7,[Clor] snow lying,,,,,,,,,,,,,,Moon clouded,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1839,December,21,,,18,,,,,28,[Cloudy] ,,,,,,,,,29,,,,,Moon clouded,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1839,December,22,,,26,,,26,,30,[Cloudy] ,,,,,,,,,30,,,,,Moon clouded,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1839,December,23,,,28,,,,,30,[Cloudy] ,,,,,30,,,,Retracted,,,,,[Snowing] [a little],
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1839,December,24,,,,28,,,,,,,,,,,,,,28,,,,,,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1839,December,25,,,26,26,,26,,26,,,,,,,,,,28,,,,,,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1839,December,26,,,30,,,,,,,,,,,,,,,30,,,,,,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1839,December,27,,,30,,,,,,,,,,,,,,,32,,,,,,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1839,December,28,,,30,,,,,,,,,,,,,,,24,,,,,Cloudy + [illegible] in wind from West,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1839,December,29,,,28,,,,,,,,,,,,,,,26,,,,,,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1839,December,30,,,,10,,,,23,,,,,,18,,10,,9,,,,,Clear,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1839,December,31,,,,6,,,,25,,,,22,,22,,,,18,,,,,Snowing slightly,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,1,,,4,,,,,,Clear,,,,,,,,,10,,,,,A little Foggy,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,2,,,4,,,,,,,,,,,,,,,10,,,,,Cloudy,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,3,,,,,,,,,,,,,,,,,,,,,,,,Observations for Jan.3rd missing 
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,4,,,,12,,,,,Clear,,,12,,12,,6,,6,,,,,Cloudy,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,5,,,,20,,,,,,,,,,,,,,26,,,,,,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,6,,,,26,,,,,,,,,,,,,,20,,,,,,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,7,,,,28,,,,,Cloudy,,,,,,,,,30,,,,,,"Observations begin with ditto "" "" mark"
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,8,,,,29,,,,,,,,,,,,,,32,,,,,,"Observations begin with ditto "" "" mark"
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,9,,,,30,,,,,,,,,,,,,,31,,,,,,"Observations begin with ditto "" "" mark"
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,10,,,,32,,,,,Cloudy,,,,,36,,,,37,,,,,Cloudy & Raining Heavy,"Observations begin with ditto "" "" mark"
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,11,,,,32,,32,,32,Cloudy [illegible main] all,,,28,,,,,,24,,,22,,Cloudy High NE wind,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,12,,,,18,,,,,very [illegible] never clear [illegible] ,,,,,,,,,22,,,,,Cloudy all day,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,13,,,,21,,,,,,,,28,,,,,,22,,,,,Cloudy all day [off] the snow,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,14,,,,20,,,,30,Cloudy,,,,,24,,22,,16,,,,,[Whishe] 9 clear + at 10 cloudy,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,15,,,,12,,12,,,Clear,,,12,,8,,7,,5,,,9,,Clear Stormy night ,"Observations begin with ditto "" "" mark"
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,16,,,-7,,,10,,30,Clear all ,,,,,8,,,,-1,,,-2,,Clear,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,17,,,-7,4,,,,16,Cloudy,,,,,10,,4,,,,,1,,Clear,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,18,,,-1,,,,,12,Clear,,,19,,,,,,12,,,10,,Clear + mild [for the degree],
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,19,,,,,,,,28,Clear,,,,,,,,,26,,,,,Cloudy,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,20,,,,24,,,,38,,,,41,,,,34,,37,,,36,,Cloudy,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,21,,,,32,,,,,Cloudy,,,,,33,,,,32,,,,,Cloudy,
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,22,,,,32,,,,,Cloudy,,,,,32,,,,,,,26,,"Cloudy, high wind from West",
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,23,,,,13,,,,10,[tough] wind,,,,,4,,,,,,,2,,"Cloudy, high wind from West",
Amherstburg_UKN-500_Forts_1839-12-1840-01_OBS-F,1840,January ,24,,,-1,3,,,,14,Cloudy,,,41,,2,,4,,,,,6,,Cloudy,
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,January ,25,,,6,6,6,12,,,,,,,12,,12,,12,,8,,7,,Clear,
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,January ,26,,,,,16,18,18,18,,,,,,,,,,,18,,,,,
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,January ,27,,,,18,,,,30,Cloudy,,,,,,24,,20,,21,,,,Snowing all night ,
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,January ,28,,,,28,30,,,40,Cloudy,,34,,27,,,,,,26,,,,Cloudy & Rain,
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,January ,29,,,,24,24,24,24,28,Cloudy,,,,,,,,31,,32,,32,,High wind & rain,"Observations begin with ditto "" "" mark"
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,January ,30,,,,30,,,24,22,"Cloudy, high [illegible] ",,18,,15,,14,,13,,12,,12,,high wind all day for [illegible],"Observations begin with ditto "" "" mark"
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,January ,31,,,4,4,,10,,12,Cloudy,,,,14,,10,,10,,10,,,,Cloudy & Wind,
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,1,,,,10,18,,18,20,Clear,,21,,19,,,,10,,6,,6,,Cloudy & Wind,"Observations begin with ditto "" "" mark"
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,2,,,,10,,,,18,Cloudy,,,,14,,14,,14,,12,,,,Cloudy & Wind,"Observations begin with ditto "" "" mark"
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,3,,,,12,,,,23,Cloudy,,,,19,,,,13,,13,,,,Cloudy,
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,4,,,,12,,20,,22,,,,,,,,,,,18,,,,Cloudy,
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,5,,,,28,,,,34,"Cloud, [illegible] wind",,,,,,,,,,37,,,,"Cloudy, South Wind",
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,6,,,,26,,,,40,Cloudy,,,,,,38,,38,,32,,,,Cloudy & Windy,
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,7,,,,26,,,34,,,,,,,,,,,,,,,,Cloudy & Windy,
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,8,,,,,,,,,,,,,,,,,,,30,,,,"Clear, [not any] wind",
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,9,,,,,,,,,,,,,,,,,,,36,,,,Raining,
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,10,,,,,,,,,,,,,,,,,,,,,,,,
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,11,,,16,1,,,,,,,,,,,,,,,30,,,,,
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,12,,,,30,38,,,,,,,,40,,,,36,,32,,,,,"Observations begin with ditto "" "" mark"
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,13,,,,,,,,30,Cloudy,,,,,,27,,,,26,,,,"Cloudy, 1 [in] [illegible]",
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,14,,,,36,,,,,High wind very high,,,,27,,26,,24,,24,,,,,"Observations begin with ditto "" "" mark"
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,15,,,,,24,,,,[not windy],,,,,,,,,,22,,,,not windy,
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,16,,,,,,30,,,,,,,,,,,,,34,,,,,
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,17,,,,18,,,,,Cloudy,,,,,,,,34,,32,,,,Raining,
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,18,,,,34,,,,,,,,,,,,,,,34,,34,,,"Observations begin with ditto "" "" mark"
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,19,,,,44,,,,,,,,,,,,,,,54,,,,South Wind & Clear,"Observations begin with ditto "" "" mark"
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,20,,,,40,,,,,Cloudy,,,,,,,,,,32,,,,Cloudy,"Observations begin with ditto "" "" mark"
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,21,,,,28,,,,,,,,,,,,,,,32,,,,Clear,"Observations begin with ditto "" "" mark"
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,22,,,,32,,,,,,,,,29,,,,,,38,,,,,
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,23,,,,35,,,,,Cloudy,,,,,,,,,,29,,,,Cloudy,
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,24,,,,22,,,,,Clear,,,,29,,29,,22,,22,,,,Clear [illegible],
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,25,,,,17,,,,,Clear,,,,,,,,,,30,,,,Cloudy,
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,26,,,,32,32,,,,Clear,,,,,,,,,,30,,,,Cloudy,
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,27,,,,30,,,,,Cloudy,,,,,,,,,,31,,,,Clear ,
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,28,,,,31,,,,,Clear,,,,,,46,,46,,38,,,,"Clear, no wind",
Amherstburg_UKN-500_Forts_1840-01-02_OBS-F,1840,February,29,,,,29,,,,,Cloud,,,,,,,,,,46,,,,Cloudy & lightning ,
Amherstburg_UKN-500_Forts_1840-03-04_OBS-F.jpg,1840,March,1,,,,,,,,,,,70,,,,,,,,50,,,,[illegible] Foggy,
Amherstburg_UKN-500_Forts_1840-03-04_OBS-F.jpg,1840,March,2,,,,,,,,,,,,,,,,,,,38,,,,,
Amherstburg_UKN-500_Forts_1840-03-04_OBS-F.jpg,1840,March,3,,46,,,,,,,Clear,,,,,,,,,,45,,,,Clear- Fog [illegible],
Amherstburg_UKN-500_Forts_1840-03-04_OBS-F.jpg,1840,March,4,,44,,,,,,,Clear,,,,,,,,,,38,,,,Clear,
Amherstburg_UKN-500_Forts_1840-03-04_OBS-F.jpg,1840,March,5,,43,,,,,,,Clear,,,,,,,,,,36,,,,"Clear, not any wind",
Amherstburg_UKN-500_Forts_1840-03-04_OBS-F.jpg,1840,March,6,,24,,,,32,,,Clear,,,,,,,,,,42,,,,"Clear, [little breeze[",
Amherstburg_UKN-500_Forts_1840-03-04_OBS-F.jpg,1840,March,7,,,,32,,,,,Clear,,,,,,32,,,,22,,,,"Clear, not any wind",
Amherstburg_UKN-500_Forts_1840-03-04_OBS-F.jpg,1840,March,8,,,,,28,,,40,Clear,,,,,,,,,,36,,,,"Clear,Clear",
Amherstburg_UKN-500_Forts_1840-03-04_OBS-F.jpg,1840,March,9,,,,30,,,,40,Clear,,,,,,,,,,40,,,,"Clear, high wind",
Amherstburg_UKN-500_Forts_1840-03-04_OBS-F.jpg,1840,March,10,,,,22,,,,25,Clear,,,,,,,,16,,14,,,,"Clear, no wind",
Amherstburg_UKN-500_Forts_1840-03-04_OBS-F.jpg,1840,March,11,,12,,,,,,,Clear,,,,,,,,,,28,,,,"Clear, no wind",
Amherstburg_UKN-500_Forts_1840-03-04_OBS-F.jpg,1840,March,12,,,,32,,,,40,,,,,,,,,,,31,,,,"Clear, no wind",
Amherstburg_UKN-500_Forts_1840-03-04_OBS-F.jpg,1840,March,13,,,,,,,,,,,,,,,,,,,31,,,,"Clear, no wind",
Amherstburg_UKN-500_Forts_1840-03-04_OBS-F.jpg,1840,March,14,,,,,,,,,Cloudy,,,,,,,,,,32,,,,"Cloudy, some snow",
Amherstburg_UKN-500_Forts_1840-03-04_OBS-F.jpg,1840,March,15,,,,,,,,,Cloudy,,,,,,,,,,33,,,,cloudy,
Amherstburg_UKN-500_Forts_1840-03-04_OBS-F.jpg,1840,March,16,,32,,,,,,,,,,,,,,,,,34,,,,cloudy,
Amherstburg_UKN-500_Forts_1840-03-04_OBS-F.jpg,1840,March,17,,34,,,,,,,Clear,,,,,,,,,,36,,,,cloudy,
Amherstburg_UKN-500_Forts_1840-03-04_OBS-F.jpg,1840,March,18,,34,,,,,,,,,,,,,,,,,,,,,,
Amherstburg_UKN-500_Forts_1840-03-04_OBS-F.jpg,1840,March,19,,36,,,,,,,,,,,,,30,,,,,,,,"cloudy + lightning, [snowy]",
