Observation date,barometer_observed_height_7am,barometer_observed_height_2pm,barometer_observed_height_9pm,attached_thermometer_7am,attached_thermometer_2pm,attached_thermometer_9pm_0,barometer_height_reduced_to_freezing_7am,barometer_height_reduced_to_freezing_2pm,barometer_height_reduced_to_freezing_9pm,barometer_reduced_to_freezing_mean,open_air_thermometer_7am,open_air_thermometer_2pm,open_air_thermometer_9pm,open_air_thermometer_mean,dry_bulb_7am,dry_bulb_2pm,dry_bulb_9pm,wet_bulb_7am,wet_bulb_2pm,wet_bulb_9pm,type_precipitation,rain_and_melted_snow_hour_began,rain_and_melted_snow_hour_ended,rain_and_melted_snow_amount,depth_of_snow,daily_weather_remarks,remarks_7am,remarks_2pm,remarks_9pm,cloud_amount_7am,course_higher_clouds_7am,cloud_velocity_7am,kind_of_cloud_7am,cloud_amount_2pm,course_higher_clouds_2pm,cloud_velocity_2pm,kind_of_cloud_2pm,cloud_amount_9pm,course_higher_clouds_9pm,cloud_velocity_9pm,kind_cloud_9pm,wind_direction_7am,wind_force_7am,wind_direction_2pm,wind_force_2pm,wind_direction_9pm,wind_force_9pm,force_of_vapor_7am,force_of_vapor_2pm,force_of_vapor_9pm,relative_humidity_7am,relative_humidity_2pm,relative_humidity_9pm,max_thermometer_obs,max_thermometer_cor,min_thermometer_obs,min_thermometer_cor,casual_phenomena,casual_phenomena_line_2,casual_phenomena_line_3,casual_phenomena_line_4,casual_phenomena_line_5,,,,,,,,
1859-09-01,,,,NA,NA,NA,NA,NA,NA,NA,52,62,50,Empty,NA,NA,NA,NA,NA,NA,Empty,Empty,Empty,Empty,Empty,NA,NA,NA,NA,10,NA,,Nimbus,9,East,2,Cumulo-stratus,2,NA,NA,Stratus,East,1,East,1,West,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Auroral haze of a bright rose colour, inactive, apparent from dark until the time (11 PM) in the S",NA,NA,NA,NA,,,,,,,,
1859-09-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,Retracted,1,NA,NA,Stratus,1,NA,NA,Stratus,North,4,West,4,West,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Auroral Arch complete at 10 PM altitude about 40 degrees. Colour faint yellow. active. dark haze in N below arch -,Enter from SE to NE south of Zenith - Auroral rays and patches from dark onwards,NA,NA,NA,,,,,,,,
1859-09-03,,,,NA,NA,NA,NA,NA,NA,NA,45,70,52,Empty,NA,NA,NA,NA,NA,NA,Empty,Empty,Empty,Empty,Empty,NA,NA,NA,NA,4,East,1,Cirro-stratus,1,NA,NA,Cumulo-stratus,2,NA,NA,Cumulo-stratus,South-East,1,South-South-East,1,South-East,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Auroral patches and streamers and rays from dark onwards. brightest in the north,NA,NA,NA,NA,,,,,,,,
1859-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,68,67,Empty,NA,NA,NA,NA,NA,NA,Empty,Empty,Empty,Empty,Empty,NA,NA,NA,NA,1,NA,NA,Stratus,1,NA,NA,Cumulo-stratus,3,NA,NA,Cumulo-stratus,South-East,1,South-South-East,1,South-East,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Faint auroral streamers in S all night,NA,NA,NA,NA,,,,,,,,
1859-09-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,58,52,Empty,NA,NA,NA,NA,NA,NA,Empty,Empty,Empty,Empty,Empty,NA,NA,NA,NA,5,NA,NA,Cumulo-stratus,1,NA,NA,Cumulus,8,None,,Nimbus,North-East,1,North-East,2,South,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bright display of Aurora from dark onwards. Incomplete arch in South and bright beams and bands in the north at 10 1/2 PM,Bright and complete passthing this Ursa major at midnight. colours pain and various shades of yellow u=markably active very vivid,NA,NA,NA,,,,,,,,
1859-09-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,58,50,Empty,NA,NA,NA,NA,NA,NA,Empty,Empty,Empty,Empty,Empty,NA,NA,NA,NA,9,South North,2,Cumulo-stratus,8,East,3,Cumulo-stratus,10,Empty,Empty,Nimbus,North,3,North-West,4,North-West,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
1859-09-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,50,45,Empty,NA,NA,NA,NA,NA,NA,Rain /illegible,11 am /1pm,12 noon | 6 pm,light | ditto,Empty,light rain,NA,NA,NA,10,NA,NA,Nimbus,10,NA,NA,Nimbus,0,NA,NA,Retracted,North-West,1,East,2,North-West,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
1859-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,51,31,Empty,NA,NA,NA,NA,NA,NA,rain?,7:00 AM,11 1/2 am,heavy,Empty,heavy rain,NA,NA,NA,10,NA,NA,Nimbus,9,South-East,3,Cumulo-stratus,4,NA,NA,Cumulus,North-West,4,North-West,5,West,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
1859-09-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,59,49,Empty,NA,NA,NA,NA,NA,NA,Empty,Empty,Empty,Empty,Empty,NA,NA,NA,NA,2,East-North-East,3,Cumulo-stratus,3,NA,NA,Cumulus,6,NA,NA,Cumulo-stratus,South-East,3,South-East,2,South-East,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Faint aurora at 10 PM (moonlight),NA,NA,NA,NA,,,,,,,,
1859-09-10,Empty,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,72,68,62.67,NA,NA,NA,NA,NA,NA,Empty,Empty,Empty,Empty,Empty,NA,NA,NA,NA,6,NA,NA,Cirro-cumulus,8,North,3,Cirro-cumulus,7,NA,NA,Cumulus,South-East,2,South,5,South,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
1859-09-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,68,40,Empty,NA,NA,NA,NA,NA,NA,Empty,Empty,Empty,Empty,Empty,NA,NA,NA,NA,3,South-East North-West,2,Cirro-cumulus,5,NA,NA,Cirro-cumulus,1,NA,NA,Cirro-stratus,North-West,1,South-East,1,South,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Faint aurora in S from star set onwards (s0),NA,NA,NA,NA,,,,,,,,
