,StationName,Timezone,UTCoffset,ObservationDate,UTCDate,value,unit,field_key,fieldID,annotationID,transcriptionID,pageID
0,Fort Norman,America/Fort_Norman,0,1862-01-01 07:00:00,1862-01-01 07:00:00,stratus,lct,kind_of_cloud_7am,139,480591,3510,3055
1,Fort Norman,America/Fort_Norman,0,1862-01-02 07:00:00,1862-01-02 07:00:00,cumulo-stratus,lct,kind_of_cloud_7am,139,480598,3510,3055
2,Fort Norman,America/Fort_Norman,0,1862-01-03 07:00:00,1862-01-03 07:00:00,cirro-stratus,lct,kind_of_cloud_7am,139,480605,3510,3055
3,Fort Norman,America/Fort_Norman,0,1862-01-04 07:00:00,1862-01-04 07:00:00,cumulo-stratus,lct,kind_of_cloud_7am,139,480612,3510,3055
4,Fort Norman,America/Fort_Norman,0,1862-01-05 07:00:00,1862-01-05 07:00:00,cumulus,lct,kind_of_cloud_7am,139,480618,3510,3055
5,Fort Norman,America/Fort_Norman,0,1862-01-06 07:00:00,1862-01-06 07:00:00,cumulonimbus,lct,kind_of_cloud_7am,139,480624,3510,3055
6,Fort Norman,America/Fort_Norman,0,1862-01-07 07:00:00,1862-01-07 07:00:00,stratus,lct,kind_of_cloud_7am,139,480630,3510,3055
7,Fort Norman,America/Fort_Norman,0,1862-01-08 07:00:00,1862-01-08 07:00:00,cumulonimbus,lct,kind_of_cloud_7am,139,480636,3510,3055
8,Fort Norman,America/Fort_Norman,0,1862-01-09 07:00:00,1862-01-09 07:00:00,cirrus,lct,kind_of_cloud_7am,139,480643,3510,3055
9,Fort Norman,America/Fort_Norman,0,1862-01-10 07:00:00,1862-01-10 07:00:00,cirro-cumulus,lct,kind_of_cloud_7am,139,480650,3510,3055
10,Fort Norman,America/Fort_Norman,0,1862-01-11 07:00:00,1862-01-11 07:00:00,cirro-cumulus,lct,kind_of_cloud_7am,139,480656,3510,3055
11,Fort Norman,America/Fort_Norman,0,1862-01-12 07:00:00,1862-01-12 07:00:00,cirro-cumulus,lct,kind_of_cloud_7am,139,480663,3510,3055
12,Fort Norman,America/Fort_Norman,0,1862-01-13 07:00:00,1862-01-13 07:00:00,cirro-cumulus,lct,kind_of_cloud_7am,139,480670,3510,3055
13,Fort Norman,America/Fort_Norman,0,1862-01-14 07:00:00,1862-01-14 07:00:00,cirro-cumulus,lct,kind_of_cloud_7am,139,483397,3510,3055
14,Fort Norman,America/Fort_Norman,0,1862-01-15 07:00:00,1862-01-15 07:00:00,nimbus,lct,kind_of_cloud_7am,139,483405,3510,3055
15,Fort Norman,America/Fort_Norman,0,1862-01-16 07:00:00,1862-01-16 07:00:00,cumulo-stratus,lct,kind_of_cloud_7am,139,483412,3510,3055
16,Fort Norman,America/Fort_Norman,0,1862-01-17 07:00:00,1862-01-17 07:00:00,nimbus,lct,kind_of_cloud_7am,139,483418,3510,3055
