,StationName,Timezone,UTCoffset,ObservationDate,UTCDate,value,unit,field_key,fieldID,annotationID,transcriptionID,pageID
1,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-09-11,1768-09-11,rainy,mno,daily_weather_remarks,129,386606,3036,2918
2,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-09-12,1768-09-12,cloudy & hazy,mno,daily_weather_remarks,129,386608,3036,2918
3,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-09-13,1768-09-13,very rainy with high winds,mno,daily_weather_remarks,129,386610,3036,2918
4,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-09-14,1768-09-14,very rainy forenoon. cloudy and high winds in afternoon.,mno,daily_weather_remarks,129,386612,3036,2918
5,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-09-15,1768-09-15,high winds with thin clouds,mno,daily_weather_remarks,129,386614,3036,2918
6,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-09-16,1768-09-16,"ice morning. sleet at intervals, winds very high.",mno,daily_weather_remarks,129,386616,3036,2918
7,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-09-17,1768-09-17,cloudy,mno,daily_weather_remarks,129,386618,3036,2918
8,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-09-18,1768-09-18,cloudy,mno,daily_weather_remarks,129,386620,3036,2918
9,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-09-19,1768-09-19,cloudy with sleet in forenoon. clear afternoon. aurora borealis.,mno,daily_weather_remarks,129,386622,3036,2918
10,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-09-20,1768-09-20,clear,mno,daily_weather_remarks,129,386624,3036,2918
11,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-09-21,1768-09-21,clear. high winds in afternoon.,mno,daily_weather_remarks,129,386626,3036,2918
12,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-09-22,1768-09-22,clear forenoon. cloudy afternoon. thunder and lightning in night.,mno,daily_weather_remarks,129,386628,3036,2918
13,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-09-23,1768-09-23,morning showers. clear [rest of] day,mno,daily_weather_remarks,129,386630,3036,2918
14,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-09-24,1768-09-24,cloudy,mno,daily_weather_remarks,129,386632,3036,2918
15,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-09-25,1768-09-25,cloudy forenoon. fog afternoon.,mno,daily_weather_remarks,129,386634,3036,2918
16,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-09-26,1768-09-26,cloudy. squalls of wind afternoon.,mno,daily_weather_remarks,129,386636,3036,2918
17,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-09-27,1768-09-27,cloudy,mno,daily_weather_remarks,129,386637,3036,2918
18,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-09-28,1768-09-28,cloudy.,mno,daily_weather_remarks,129,386640,3036,2918
19,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-09-29,1768-09-29,hazy forenoon. clear afternoon.,mno,daily_weather_remarks,129,386642,3036,2918
20,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-09-30,1768-09-30,cloudy forenoon. clear afternoon.,mno,daily_weather_remarks,129,386644,3036,2918
21,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-01,1768-10-01,clear forenoon. flying clouds afternoon.,mno,daily_weather_remarks,129,386928,3039,2916
22,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-02,1768-10-02,clear forenoon. hazy afternoon.,mno,daily_weather_remarks,129,386931,3039,2916
23,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-03,1768-10-03,"cloudy, snow, and rain afternoon.",mno,daily_weather_remarks,129,386934,3039,2916
24,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-04,1768-10-04,cloudy,mno,daily_weather_remarks,129,386937,3039,2916
25,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-05,1768-10-05,"cloudy at noon, rest clear. aurora borealis.",mno,daily_weather_remarks,129,386940,3039,2916
26,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-06,1768-10-06,"cloudy, high winds.",mno,daily_weather_remarks,129,386943,3039,2916
27,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-07,1768-10-07,cloudy with sleet in morning. high winds all day.,mno,daily_weather_remarks,129,386946,3039,2916
28,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-08,1768-10-08,"cloudy, small hail.",mno,daily_weather_remarks,129,386949,3039,2916
29,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-09,1768-10-09,high winds and cloudy,mno,daily_weather_remarks,129,386952,3039,2916
30,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-10,1768-10-10,high winds. snow & sleet.,mno,daily_weather_remarks,129,386953,3039,2916
31,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-11,1768-10-11,high winds,mno,daily_weather_remarks,129,387019,3039,2916
32,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-12,1768-10-12,cloudy with wind,mno,daily_weather_remarks,129,387016,3039,2916
33,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-13,1768-10-13,cloudy with snow throughout the day. clear night.,mno,daily_weather_remarks,129,387013,3039,2916
34,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-14,1768-10-14,clear,mno,daily_weather_remarks,129,387010,3039,2916
35,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-15,1768-10-15,foggy,mno,daily_weather_remarks,129,387007,3039,2916
36,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-16,1768-10-16,snow in morning. clear day.,mno,daily_weather_remarks,129,387004,3039,2916
37,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-17,1768-10-17,clear,mno,daily_weather_remarks,129,387001,3039,2916
38,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-18,1768-10-18,cloudy,mno,daily_weather_remarks,129,386998,3039,2916
39,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-19,1768-10-19,cloudy with sleet,mno,daily_weather_remarks,129,386995,3039,2916
40,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-20,1768-10-20,cloudy with snow in morning,mno,daily_weather_remarks,129,386992,3039,2916
41,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-21,1768-10-21,cloudy,mno,daily_weather_remarks,129,386989,3039,2916
42,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-22,1768-10-22,snowy morning. cloudy day.,mno,daily_weather_remarks,129,386986,3039,2916
43,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-23,1768-10-23,windy very high with much snow,mno,daily_weather_remarks,129,386983,3039,2916
44,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-24,1768-10-24,windy very high with much snow,mno,daily_weather_remarks,129,386979,3039,2916
45,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-25,1768-10-25,windy very high with much snow,mno,daily_weather_remarks,129,386976,3039,2916
46,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-26,1768-10-26,hazy,mno,daily_weather_remarks,129,386973,3039,2916
47,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-27,1768-10-27,"cloudy, with sleet in afternoon",mno,daily_weather_remarks,129,386970,3039,2916
48,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-28,1768-10-28,cloudy. very high winds.,mno,daily_weather_remarks,129,386967,3039,2916
49,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-29,1768-10-29,cloudy,mno,daily_weather_remarks,129,386964,3039,2916
50,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-30,1768-10-30,cloudy. mostly calm.,mno,daily_weather_remarks,129,386961,3039,2916
51,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-10-31,1768-10-31,cloudy,mno,daily_weather_remarks,129,386958,3039,2916
52,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-01,1768-11-01,clear forenoon. snow afternoon.,mno,daily_weather_remarks,129,387024,3040,2915
53,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-02,1768-11-02,snow,mno,daily_weather_remarks,129,387027,3040,2915
54,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-03,1768-11-03,snow. cloudy afternoon.,mno,daily_weather_remarks,129,387030,3040,2915
55,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-04,1768-11-04,high winds & drift,mno,daily_weather_remarks,129,387033,3040,2915
56,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-05,1768-11-05,high winds & drift,mno,daily_weather_remarks,129,387036,3040,2915
57,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-06,1768-11-06,high winds & drift,mno,daily_weather_remarks,129,387039,3040,2915
58,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-07,1768-11-07,clear forenoon. cloudy afternoon.,mno,daily_weather_remarks,129,387043,3040,2915
59,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-08,1768-11-08,"snow, with drift in afternoon.",mno,daily_weather_remarks,129,387047,3040,2915
60,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-09,1768-11-09,clear,mno,daily_weather_remarks,129,387050,3040,2915
61,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-10,1768-11-10,"cloudy, some snow in afternoon",mno,daily_weather_remarks,129,387053,3040,2915
62,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-11,1768-11-11,cloudy,mno,daily_weather_remarks,129,387056,3040,2915
63,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-12,1768-11-12,"cloudy, with sleet",mno,daily_weather_remarks,129,387059,3040,2915
64,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-13,1768-11-13,high winds & snow,mno,daily_weather_remarks,129,387062,3040,2915
65,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-14,1768-11-14,hazy & cloudy,mno,daily_weather_remarks,129,387065,3040,2915
66,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-15,1768-11-15,hazy & cloudy. clear night.,mno,daily_weather_remarks,129,387068,3040,2915
67,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-16,1768-11-16,"cloudy with sleet at noon, rest clear",mno,daily_weather_remarks,129,387071,3040,2915
68,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-17,1768-11-17,cloudy,mno,daily_weather_remarks,129,387074,3040,2915
69,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-18,1768-11-18,cloudy,mno,daily_weather_remarks,129,387077,3040,2915
70,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-19,1768-11-19,"fog about noon, rest clear",mno,daily_weather_remarks,129,387080,3040,2915
71,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-20,1768-11-20,cloudy. winds & snow in afternoon,mno,daily_weather_remarks,129,387083,3040,2915
72,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-21,1768-11-21,cloudy,mno,daily_weather_remarks,129,387086,3040,2915
73,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-22,1768-11-22,"cloudy. winds very high, with drift.",mno,daily_weather_remarks,129,387089,3040,2915
74,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-23,1768-11-23,cloudy. winds very high with drift,mno,daily_weather_remarks,129,387092,3040,2915
75,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-24,1768-11-24,foggy with sleet in forenoon. cloudy afternoon.,mno,daily_weather_remarks,129,387095,3040,2915
76,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-25,1768-11-25,cloudy and hazy.,mno,daily_weather_remarks,129,387098,3040,2915
77,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-26,1768-11-26,cloudy & hazy,mno,daily_weather_remarks,129,387101,3040,2915
78,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-27,1768-11-27,high winds & cloudy.,mno,daily_weather_remarks,129,387104,3040,2915
79,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-28,1768-11-28,cloudy and hazy,mno,daily_weather_remarks,129,387108,3040,2915
80,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-29,1768-11-29,cloudy & hazy,mno,daily_weather_remarks,129,387111,3040,2915
81,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-11-30,1768-11-30,cloudy & hazy,mno,daily_weather_remarks,129,387114,3040,2915
82,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-01,1768-12-01,"cloudy forenoon, clear afternoon",mno,daily_weather_remarks,129,387118,3041,2917
83,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-02,1768-12-02,cloudy,mno,daily_weather_remarks,129,387121,3041,2917
84,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-03,1768-12-03,clear,mno,daily_weather_remarks,129,387124,3041,2917
85,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-04,1768-12-04,clear. high winds and sleet at night.,mno,daily_weather_remarks,129,387127,3041,2917
86,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-05,1768-12-05,high winds and drift,mno,daily_weather_remarks,129,387130,3041,2917
87,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-06,1768-12-06,high winds & hazy forenoon. clear afternoon.,mno,daily_weather_remarks,129,387133,3041,2917
88,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-07,1768-12-07,clear,mno,daily_weather_remarks,129,387136,3041,2917
89,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-08,1768-12-08,thick fog,mno,daily_weather_remarks,129,387139,3041,2917
90,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-09,1768-12-09,cloudy,mno,daily_weather_remarks,129,387142,3041,2917
91,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-10,1768-12-10,forenoon: cloudy with sleet. afternoon: clear.,mno,daily_weather_remarks,129,387145,3041,2917
92,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-11,1768-12-11,clear about noon; rest hazy,mno,daily_weather_remarks,129,387148,3041,2917
93,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-12,1768-12-12,hazy with drift in afternoon,mno,daily_weather_remarks,129,387151,3041,2917
94,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-13,1768-12-13,cloudy with drift,mno,daily_weather_remarks,129,387154,3041,2917
95,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-14,1768-12-14,clear,mno,daily_weather_remarks,129,387157,3041,2917
96,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-15,1768-12-15,clear. hazy at night,mno,daily_weather_remarks,129,387160,3041,2917
97,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-16,1768-12-16,cloudy,mno,daily_weather_remarks,129,387163,3041,2917
98,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-17,1768-12-17,cloudy,mno,daily_weather_remarks,129,387166,3041,2917
99,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-18,1768-12-18,cloudy,mno,daily_weather_remarks,129,387169,3041,2917
100,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-19,1768-12-19,cloudy. clear at evening.,mno,daily_weather_remarks,129,387173,3041,2917
101,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-20,1768-12-20,mostly clear forenoon. hazy afternoon.,mno,daily_weather_remarks,129,387176,3041,2917
102,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-21,1768-12-21,mostly clear,mno,daily_weather_remarks,129,387179,3041,2917
103,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-22,1768-12-22,cloudy,mno,daily_weather_remarks,129,387182,3041,2917
104,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-23,1768-12-23,cloudy with drift,mno,daily_weather_remarks,129,387185,3041,2917
105,Fort Prince of Wales (HBC),America/Winnipeg,0,1768-12-24,1768-12-24,"cloudy, with drift",mno,daily_weather_remarks,129,387188,3041,2917
