,StationName,Timezone,UTCoffset,ObservationDate,UTCDate,value,unit,field_key,fieldID,annotationID,transcriptionID,pageID
0,Fort Simpson,America/Yellowknife,0,1859-09-01 07:00:00,1859-09-01 07:00:00,nimbus,lct,kind_of_cloud_7am,139,137945,1049,1127
1,Fort Simpson,America/Yellowknife,0,1859-09-02 07:00:00,1859-09-02 07:00:00,-999,lct,kind_of_cloud_7am,139,137946,1049,1127
2,Fort Simpson,America/Yellowknife,0,1859-09-03 07:00:00,1859-09-03 07:00:00,cirro-stratus,lct,kind_of_cloud_7am,139,137947,1049,1127
3,Fort Simpson,America/Yellowknife,0,1859-09-04 07:00:00,1859-09-04 07:00:00,stratus,lct,kind_of_cloud_7am,139,137948,1049,1127
4,Fort Simpson,America/Yellowknife,0,1859-09-05 07:00:00,1859-09-05 07:00:00,cumulo-stratus,lct,kind_of_cloud_7am,139,137949,1049,1127
5,Fort Simpson,America/Yellowknife,0,1859-09-06 07:00:00,1859-09-06 07:00:00,cumulo-stratus,lct,kind_of_cloud_7am,139,137950,1049,1127
6,Fort Simpson,America/Yellowknife,0,1859-09-07 07:00:00,1859-09-07 07:00:00,nimbus,lct,kind_of_cloud_7am,139,137951,1049,1127
7,Fort Simpson,America/Yellowknife,0,1859-09-08 07:00:00,1859-09-08 07:00:00,nimbus,lct,kind_of_cloud_7am,139,137952,1049,1127
8,Fort Simpson,America/Yellowknife,0,1859-09-09 07:00:00,1859-09-09 07:00:00,cumulo-stratus,lct,kind_of_cloud_7am,139,137953,1049,1127
9,Fort Simpson,America/Yellowknife,0,1859-09-10 07:00:00,1859-09-10 07:00:00,cirro-cumulus,lct,kind_of_cloud_7am,139,137954,1049,1127
10,Fort Simpson,America/Yellowknife,0,1859-09-11 07:00:00,1859-09-11 07:00:00,cirro-cumulus,lct,kind_of_cloud_7am,139,137955,1049,1127
11,Fort Simpson,America/Yellowknife,0,1859-09-12 07:00:00,1859-09-12 07:00:00,cirro-stratus,lct,kind_of_cloud_7am,139,137956,1049,1127
12,Fort Simpson,America/Yellowknife,0,1859-09-13 07:00:00,1859-09-13 07:00:00,nimbus,lct,kind_of_cloud_7am,139,137957,1049,1127
13,Fort Simpson,America/Yellowknife,0,1859-09-14 07:00:00,1859-09-14 07:00:00,nimbus,lct,kind_of_cloud_7am,139,137958,1049,1127
14,Fort Simpson,America/Yellowknife,0,1859-09-15 07:00:00,1859-09-15 07:00:00,nimbus,lct,kind_of_cloud_7am,139,137959,1049,1127
15,Fort Simpson,America/Yellowknife,0,1859-09-16 07:00:00,1859-09-16 07:00:00,cirro-cumulus,lct,kind_of_cloud_7am,139,137960,1049,1127
16,Fort Simpson,America/Yellowknife,0,1859-09-17 07:00:00,1859-09-17 07:00:00,nimbus,lct,kind_of_cloud_7am,139,137961,1049,1127
17,Fort Simpson,America/Yellowknife,0,1859-09-18 07:00:00,1859-09-18 07:00:00,nimbus,lct,kind_of_cloud_7am,139,137962,1049,1127
18,Fort Simpson,America/Yellowknife,0,1859-09-19 07:00:00,1859-09-19 07:00:00,nimbus,lct,kind_of_cloud_7am,139,137963,1049,1127
