,StationName,Timezone,UTCoffset,ObservationDate,UTCDate,value,unit,field_key,fieldID,annotationID,transcriptionID,pageID
0,Moose Factory,America/Toronto,0,1861-01-01 07:00:00,1861-01-01 07:00:00,25.1/4,F,attached_thermometer_7am,88,293938,2486,2372
1,Moose Factory,America/Toronto,0,1861-01-02 07:00:00,1861-01-02 07:00:00,26.3/4,F,attached_thermometer_7am,88,293941,2486,2372
2,Moose Factory,America/Toronto,0,1861-01-03 07:00:00,1861-01-03 07:00:00,18.1/2,F,attached_thermometer_7am,88,293948,2486,2372
3,Moose Factory,America/Toronto,0,1861-01-04 07:00:00,1861-01-04 07:00:00,16.1/2,F,attached_thermometer_7am,88,293956,2486,2372
4,Moose Factory,America/Toronto,0,1861-01-05 07:00:00,1861-01-05 07:00:00,24.1/2,F,attached_thermometer_7am,88,293969,2486,2372
5,Moose Factory,America/Toronto,0,1861-01-06 07:00:00,1861-01-06 07:00:00,20.1/2,F,attached_thermometer_7am,88,293982,2486,2372
6,Moose Factory,America/Toronto,0,1861-01-07 07:00:00,1861-01-07 07:00:00,19,F,attached_thermometer_7am,88,293992,2486,2372
7,Moose Factory,America/Toronto,0,1861-01-08 07:00:00,1861-01-08 07:00:00,14,F,attached_thermometer_7am,88,294004,2486,2372
8,Moose Factory,America/Toronto,0,1861-01-09 07:00:00,1861-01-09 07:00:00,25,F,attached_thermometer_7am,88,294015,2486,2372
9,Moose Factory,America/Toronto,0,1861-01-10 07:00:00,1861-01-10 07:00:00,17,F,attached_thermometer_7am,88,294026,2486,2372
10,Moose Factory,America/Toronto,0,1861-01-11 07:00:00,1861-01-11 07:00:00,11,F,attached_thermometer_7am,88,294036,2486,2372
11,Moose Factory,America/Toronto,0,1861-01-12 07:00:00,1861-01-12 07:00:00,12,F,attached_thermometer_7am,88,294042,2486,2372
12,Moose Factory,America/Toronto,0,1861-01-13 07:00:00,1861-01-13 07:00:00,17.1/4,F,attached_thermometer_7am,88,294047,2486,2372
13,Moose Factory,America/Toronto,0,1861-01-14 07:00:00,1861-01-14 07:00:00,35,F,attached_thermometer_7am,88,294050,2486,2372
14,Moose Factory,America/Toronto,0,1861-01-15 07:00:00,1861-01-15 07:00:00,31,F,attached_thermometer_7am,88,294057,2486,2372
15,Moose Factory,America/Toronto,0,1861-01-16 07:00:00,1861-01-16 07:00:00,21.1/2,F,attached_thermometer_7am,88,294060,2486,2372
16,Moose Factory,America/Toronto,0,1861-01-17 07:00:00,1861-01-17 07:00:00,23,F,attached_thermometer_7am,88,294063,2486,2372
17,Moose Factory,America/Toronto,0,1861-01-18 07:00:00,1861-01-18 07:00:00,25,F,attached_thermometer_7am,88,294066,2486,2372
18,Moose Factory,America/Toronto,0,1861-01-19 07:00:00,1861-01-19 07:00:00,28.3/4,F,attached_thermometer_7am,88,294069,2486,2372
19,Moose Factory,America/Toronto,0,1861-01-20 07:00:00,1861-01-20 07:00:00,27.1/2,F,attached_thermometer_7am,88,294072,2486,2372
20,Moose Factory,America/Toronto,0,1861-01-21 07:00:00,1861-01-21 07:00:00,27.3/4,F,attached_thermometer_7am,88,294075,2486,2372
21,Moose Factory,America/Toronto,0,1861-01-22 07:00:00,1861-01-22 07:00:00,30,F,attached_thermometer_7am,88,294078,2486,2372
22,Moose Factory,America/Toronto,0,1861-01-23 07:00:00,1861-01-23 07:00:00,28.3/4,F,attached_thermometer_7am,88,294081,2486,2372
23,Moose Factory,America/Toronto,0,1861-01-24 07:00:00,1861-01-24 07:00:00,32.1/2,F,attached_thermometer_7am,88,294084,2486,2372
24,Moose Factory,America/Toronto,0,1861-01-25 07:00:00,1861-01-25 07:00:00,41,F,attached_thermometer_7am,88,294087,2486,2372
25,Moose Factory,America/Toronto,0,1861-01-26 07:00:00,1861-01-26 07:00:00,26,F,attached_thermometer_7am,88,294090,2486,2372
26,Moose Factory,America/Toronto,0,1861-01-27 07:00:00,1861-01-27 07:00:00,27,F,attached_thermometer_7am,88,294093,2486,2372
