,StationName,Timezone,UTCoffset,ObservationDate,UTCDate,value,unit,field_key,fieldID,annotationID,transcriptionID,pageID
1,Mount Forest,America/Toronto,0,1872-06-03 00:00:00,1872-06-03 00:00:00,"[""[\""\""]""]",mno,average_weather,248,298704,2633,2564
2,Mount Forest,America/Toronto,0,1872-06-05 00:00:00,1872-06-05 00:00:00,"[""[\""\""]""]",mno,average_weather,248,298707,2633,2564
3,Mount Forest,America/Toronto,0,1872-08-03 00:00:00,1872-08-03 00:00:00,"[""[\""\""]""]",mno,average_weather,248,300411,2640,2565
4,Mount Forest,America/Toronto,0,1872-10-01 00:00:00,1872-10-01 00:00:00,"[""[\""\""]""]",mno,average_weather,248,300630,2644,2568
5,Mount Forest,America/Toronto,0,1872-10-05 00:00:00,1872-10-05 00:00:00,"[""[\""\""]""]",mno,average_weather,248,300634,2644,2568
6,Mount Forest,America/Toronto,0,1872-10-09 00:00:00,1872-10-09 00:00:00,"[""[\""\""]""]",mno,average_weather,248,300638,2644,2568
7,Mount Forest,America/Toronto,0,1872-10-10 00:00:00,1872-10-10 00:00:00,"[""[\""\""]""]",mno,average_weather,248,300639,2644,2568
8,Mount Forest,America/Toronto,0,1872-10-12 00:00:00,1872-10-12 00:00:00,"[""[\""\""]""]",mno,average_weather,248,300641,2644,2568
9,Mount Forest,America/Toronto,0,1872-10-18 00:00:00,1872-10-18 00:00:00,"[""[\""\""]""]",mno,average_weather,248,300647,2644,2568
10,Mount Forest,America/Toronto,0,1872-10-27 00:00:00,1872-10-27 00:00:00,"[""[\""\""]""]",mno,average_weather,248,300656,2644,2568
11,Mount Forest,America/Toronto,0,1872-11-01 00:00:00,1872-11-01 00:00:00,"[""[\""\""]""]",mno,average_weather,248,298592,2638,2566
12,Mount Forest,America/Toronto,0,1872-11-02 00:00:00,1872-11-02 00:00:00,overcast,mno,average_weather,248,298600,2638,2566
13,Mount Forest,America/Toronto,0,1872-11-03 00:00:00,1872-11-03 00:00:00,overcast,mno,average_weather,248,298601,2638,2566
14,Mount Forest,America/Toronto,0,1872-11-04 00:00:00,1872-11-04 00:00:00,clear,mno,average_weather,248,298610,2638,2566
15,Mount Forest,America/Toronto,0,1872-11-05 00:00:00,1872-11-05 00:00:00,overcast,mno,average_weather,248,298611,2638,2566
16,Mount Forest,America/Toronto,0,1872-11-06 00:00:00,1872-11-06 00:00:00,overcast,mno,average_weather,248,298612,2638,2566
17,Mount Forest,America/Toronto,0,1872-11-07 00:00:00,1872-11-07 00:00:00,partly cloudy,mno,average_weather,248,298613,2638,2566
18,Mount Forest,America/Toronto,0,1872-11-08 00:00:00,1872-11-08 00:00:00,stormy,mno,average_weather,248,298614,2638,2566
19,Mount Forest,America/Toronto,0,1872-11-09 00:00:00,1872-11-09 00:00:00,overcast,mno,average_weather,248,298615,2638,2566
20,Mount Forest,America/Toronto,0,1872-11-10 00:00:00,1872-11-10 00:00:00,partly cloudy,mno,average_weather,248,298616,2638,2566
21,Mount Forest,America/Toronto,0,1872-11-11 00:00:00,1872-11-11 00:00:00,overcast,mno,average_weather,248,298617,2638,2566
22,Mount Forest,America/Toronto,0,1872-11-12 00:00:00,1872-11-12 00:00:00,overcast,mno,average_weather,248,298618,2638,2566
23,Mount Forest,America/Toronto,0,1872-11-13 00:00:00,1872-11-13 00:00:00,overcast,mno,average_weather,248,298619,2638,2566
24,Mount Forest,America/Toronto,0,1872-11-14 00:00:00,1872-11-14 00:00:00,partly cloudy,mno,average_weather,248,298620,2638,2566
