,StationName,Timezone,UTCoffset,ObservationDate,UTCDate,value,unit,field_key,fieldID,annotationID,transcriptionID,pageID
1,Saint John NB,America/Moncton,0,1865-05-01 00:00:00,1865-05-01 00:00:00,"sky.  during the month 5 mornings were clear, 4 days and 7 nights; and 21 mornings, 23 days and 23 nights were wholly clouded. the mean estimated clouding for 8 a. m. was 7.7; for 2 p. m., 8.1; and for 10 p. m., 7.6. at the same hours 6 mornings were foggy, 4 days and 9 nights.    -----------      memoranda. -the aurora was seen on 2 nights, and the coast of nova scotia on 4 days. on the 17th there was a short thunder-storm that passed to the southward, east of the city on the same day in may, 1864, there was also a thunder-sturm.",mno,casual_phenomena_line_5,202,204476,1793,1651
2,Saint John NB,America/Moncton,0,1865-10-20 00:00:00,1865-10-20 00:00:00,"the mercury in the thermometer markerd 42 degrees and the mean temperature of the day was 48 degrees. the barometer was unusually low (28.923 inch) and had been so all day. during the evening  a number of small meteors were visible, but at a great  distance and without uniformity of motion.",mno,casual_phenomena_line_5,202,200923,1759,1662
3,Saint John NB,America/Moncton,0,1866-02-01 00:00:00,1866-02-01 00:00:00,"ozone is never very abundant in this month the highest notation was 6.0, with light w.n.w. wind on the 20th. the day mean was 0.25, and the night 0.82, in 1865 the maximum was 7.0, the day mean 0.28, and the night 0.65.",mno,casual_phenomena_line_5,202,207015,1805,1674
4,Saint John NB,America/Moncton,0,1866-02-03 00:00:00,1866-02-03 00:00:00,"sky.- twenty-six morning, 80 days and 43 nights were clear, and 51 mornings, 48 days and 44 nights wholly clouded. the aurora was seen on 5 nights, and the coast of nova scotia on 6 days.",mno,casual_phenomena_line_5,202,207017,1805,1674
5,Saint John NB,America/Moncton,0,1867-03-10 00:00:00,1867-03-10 00:00:00,detached columns of light with a barely visible lateral motion,mno,casual_phenomena_line_5,202,207108,1838,1716
6,Saint John NB,America/Moncton,0,1867-06-01 00:00:00,1867-06-01 00:00:00,night as light as if the moon were shining unclouded in her second quarter,mno,casual_phenomena_line_5,202,207113,1840,1725
7,Saint John NB,America/Moncton,0,1868-07-10 00:00:00,1868-07-10 00:00:00,it continued till four in night; and at 2am of the north was still visible & vivid,mno,casual_phenomena_line_5,202,215853,1924,1762
8,Saint John NB,America/Moncton,0,1869-02-03 00:00:00,1869-02-03 00:00:00,26th: storm of wind and rain night of 26th and day of 27: morning of 26th wind s and light; 2pm se and fresh; 10pm ene and strong; shifted in night to s and sw where it continued until the storm abated,mno,casual_phenomena_line_5,202,216300,1911,1784
9,Saint John NB,America/Moncton,0,1870-02-28 00:00:00,1870-02-28 00:00:00,"rain and melted snow: 24.92 inches, [which] is 10.571 inches above average of 10 years",mno,casual_phenomena_line_5,202,219728,1934,1827
10,Saint John NB,America/Moncton,0,1870-10-20 00:00:00,1870-10-20 00:00:00,and between 6 pm and 12pm when the rain stopped 2.76 inch fell,mno,casual_phenomena_line_5,202,221934,1985,1844
11,Saint John NB,America/Moncton,0,1871-03-01 00:00:00,1871-03-01 00:00:00,wild geese reported to have been seen today flying northward,mno,casual_phenomena_line_5,202,221964,1989,1855
12,Saint John NB,America/Moncton,0,1872-07-07 00:00:00,1872-07-07 00:00:00,patches of blue dotted with stars between sheets or streams of aurora,mno,casual_phenomena_line_5,202,226225,2035,1907
13,Saint John NB,America/Moncton,0,1872-07-08 00:00:00,1872-07-08 00:00:00,underlaid by a small patch of greyish black cloud that shaped coloumns of lights became visible,mno,casual_phenomena_line_5,202,226227,2035,1907
14,Saint John NB,America/Moncton,0,1873-01-07 00:00:00,1873-01-07 00:00:00,night calm. 13 (illegible) 30.22 in therm 6f,mno,casual_phenomena_line_5,202,236291,2122,1924
15,Saint John NB,America/Moncton,0,1873-08-01 00:00:00,1873-08-01 00:00:00,no serious damage done. a few trees and fences blown down. other parts of the province suffered severely.,mno,casual_phenomena_line_5,202,233772,2104,1941
16,Saint John NB,America/Moncton,0,1869-12-20 00:00:00,1869-12-20 00:00:00,falo lasted from 11 pm till after midnight,mno,casual_phenomena_line_4,201,215195,1910,1814
17,Saint John NB,America/Moncton,0,1870-02-28 00:00:00,1870-02-28 00:00:00,"rain of season: 16.66 inches, [which] is 8.503 inches above average of 10 years",mno,casual_phenomena_line_4,201,219728,1934,1827
18,Saint John NB,America/Moncton,0,1870-10-20 00:00:00,1870-10-20 00:00:00,"toward evening the rain was most violent between the hours of 6 pm and 7 1/2 pm alone, 1.20 inch having fallen",mno,casual_phenomena_line_4,201,221934,1985,1844
19,Saint John NB,America/Moncton,0,1870-12-17 00:00:00,1870-12-17 00:00:00,"shortly after 0 this light became more diffuse, and finally scattered all over the northern part of the sky and remained thus till late at night",mno,casual_phenomena_line_4,201,221952,1987,1850
20,Saint John NB,America/Moncton,0,1871-03-01 00:00:00,1871-03-01 00:00:00,"at the bottom is a long cloud with a sharp hard edge, and on this the red colour of the aurora rests which is surmounted by the others in proper succesion; sky covered with clouds at 11 pm",mno,casual_phenomena_line_4,201,221964,1989,1855
21,Saint John NB,America/Moncton,0,1871-04-16 00:00:00,1871-04-16 00:00:00,purple colors at extremities,mno,casual_phenomena_line_4,201,225986,2029,1863
22,Saint John NB,America/Moncton,0,1872-07-07 00:00:00,1872-07-07 00:00:00,no black clouds visible,mno,casual_phenomena_line_4,201,226225,2035,1907
23,Saint John NB,America/Moncton,0,1872-07-08 00:00:00,1872-07-08 00:00:00,"no motion visible, but pales and glows by turns",mno,casual_phenomena_line_4,201,226227,2035,1907
24,Saint John NB,America/Moncton,0,1872-07-20 00:00:00,1872-07-20 00:00:00,"wind about w to sw , still and quiet",mno,casual_phenomena_line_4,201,226228,2035,1907
25,Saint John NB,America/Moncton,0,1873-01-06 00:00:00,1873-01-06 00:00:00,thermal increase 19f in 12 hours - 6pm 5th till 6 am 6th,mno,casual_phenomena_line_4,201,236289,2122,1924
26,Saint John NB,America/Moncton,0,1873-01-07 00:00:00,1873-01-07 00:00:00,sometimes as much to the southward of the zenith as to the northward of it,mno,casual_phenomena_line_4,201,236291,2122,1924
27,Saint John NB,America/Moncton,0,1873-08-01 00:00:00,1873-08-01 00:00:00,rain fall in 12 hours 0.495 inches,mno,casual_phenomena_line_4,201,233772,2104,1941
28,Saint John NB,America/Moncton,0,1869-12-20 00:00:00,1869-12-20 00:00:00,sky covered with thin film of cr str [cirro-stratus],mno,casual_phenomena_line_3,200,215195,1910,1814
29,Saint John NB,America/Moncton,0,1870-02-28 00:00:00,1870-02-28 00:00:00,"snow of season: 82.15 inches, [which] is 24.77 inches above average of 10 years",mno,casual_phenomena_line_3,200,219728,1934,1827
30,Saint John NB,America/Moncton,0,1870-08-02 00:00:00,1870-08-02 00:00:00,lightning unaccompanied by thunder all evening,mno,casual_phenomena_line_3,200,221916,1984,1838
31,Saint John NB,America/Moncton,0,1870-10-20 00:00:00,1870-10-20 00:00:00,"almost immediately afterward, a settled heavy rain set in",mno,casual_phenomena_line_3,200,221934,1985,1844
32,Saint John NB,America/Moncton,0,1870-10-24 00:00:00,1870-10-24 00:00:00,"at 10 pm only a few streamers appeared to concentrat at zenith, whilst a high sw (?) was raging and the barometer falling",mno,casual_phenomena_line_3,200,221937,1985,1844
33,Saint John NB,America/Moncton,0,1870-12-17 00:00:00,1870-12-17 00:00:00,"at 9pm it became quite brilliant, displaying in eastern end a profusion of rose, green and yellow streaks; also coloured up a little at western end",mno,casual_phenomena_line_3,200,221952,1987,1850
34,Saint John NB,America/Moncton,0,1871-02-11 00:00:00,1871-02-11 00:00:00,scattered into tufts ?? knots later in evening,mno,casual_phenomena_line_3,200,221958,1988,1859
35,Saint John NB,America/Moncton,0,1871-02-13 00:00:00,1871-02-13 00:00:00,a few needle like streamers shoot upward but not to any great heights,mno,casual_phenomena_line_3,200,221959,1988,1859
36,Saint John NB,America/Moncton,0,1871-02-19 00:00:00,1871-02-19 00:00:00,snow gone from the city too after 24th,mno,casual_phenomena_line_3,200,221960,1988,1859
37,Saint John NB,America/Moncton,0,1871-03-01 00:00:00,1871-03-01 00:00:00,"the beams do not rise high, but dance and flicker merrily along the sky",mno,casual_phenomena_line_3,200,221964,1989,1855
38,Saint John NB,America/Moncton,0,1871-03-15 00:00:00,1871-03-15 00:00:00,slightly clouded at north,mno,casual_phenomena_line_3,200,221965,1989,1855
39,Saint John NB,America/Moncton,0,1871-04-01 00:00:00,1871-04-01 00:00:00,aurora gone at 10:30 and sky hazy with circle around the moon,mno,casual_phenomena_line_3,200,225980,2029,1863
40,Saint John NB,America/Moncton,0,1871-04-12 00:00:00,1871-04-12 00:00:00,small aurora in evening,mno,casual_phenomena_line_3,200,225982,2029,1863
41,Saint John NB,America/Moncton,0,1871-04-16 00:00:00,1871-04-16 00:00:00,sometimes forms a small corona at zenith and again is all concentrated in a brilliant arch across the horizon,mno,casual_phenomena_line_3,200,225986,2029,1863
42,Saint John NB,America/Moncton,0,1871-08-09 00:00:00,1871-08-09 00:00:00,streams shooting upward but not extensive,mno,casual_phenomena_line_3,200,225992,2030,1873
43,Saint John NB,America/Moncton,0,1871-11-09 00:00:00,1871-11-09 00:00:00,purple also conspicuous (?),mno,casual_phenomena_line_3,200,226001,2031,1883
44,Saint John NB,America/Moncton,0,1872-07-07 00:00:00,1872-07-07 00:00:00,"motions barely perceptible, colour greyish white, luminosity unsteady",mno,casual_phenomena_line_3,200,226225,2035,1907
45,Saint John NB,America/Moncton,0,1872-07-08 00:00:00,1872-07-08 00:00:00,light dim near the centre but increasing as it approaches the end,mno,casual_phenomena_line_3,200,226227,2035,1907
46,Saint John NB,America/Moncton,0,1872-07-20 00:00:00,1872-07-20 00:00:00,12pm clouding gone and aurora faded to glowing light,mno,casual_phenomena_line_3,200,226228,2035,1907
47,Saint John NB,America/Moncton,0,1873-01-06 00:00:00,1873-01-06 00:00:00,barometric fall 1.019 inch in 24 hours - 8 am 5th til 8 am 6th,mno,casual_phenomena_line_3,200,236289,2122,1924
48,Saint John NB,America/Moncton,0,1873-01-07 00:00:00,1873-01-07 00:00:00,rises from all points with great (illegible),mno,casual_phenomena_line_3,200,236291,2122,1924
49,Saint John NB,America/Moncton,0,1873-08-01 00:00:00,1873-08-01 00:00:00,barometer lowest reading 10 pm 24th 29.38 inches. total fall in 86 hours 0.731 inch.,mno,casual_phenomena_line_3,200,233772,2104,1941
50,Saint John NB,America/Moncton,0,1869-07-18 00:00:00,1869-07-18 00:00:00,aurora borealis visible between 9 pm and 11 pm. streamers (but not very brilliant extended over northern hemisphere of sky.,mno,casual_phenomena_line_2,199,215719,1917,1799
51,Saint John NB,America/Moncton,0,1869-09-11 00:00:00,1869-09-11 00:00:00,"two meteors observed at same time, shooting eastward.",mno,casual_phenomena_line_2,199,216000,1887,1805
52,Saint John NB,America/Moncton,0,1869-09-13 00:00:00,1869-09-13 00:00:00,"between 1[am] and 2am, 14th [of september] it changed to the southern portion of the sky. streamers in both instances appeared to concentre at zenith, and were most brilliant at eastern and western extremes, having assumed a faint [word struck out] purple tinge.",mno,casual_phenomena_line_2,199,216001,1887,1805
53,Saint John NB,America/Moncton,0,1869-10-01 00:00:00,1869-10-01 00:00:00,"barometer -the barometer shewed less atmospheric disturbance for this month than for any corresponding one for some years past, notwithstanding the violent gale which raged during the night of the 4th. the lowest reading (29.322 in.) took place on the last named day, and its highest (30.267 in) on the 26th. the difference between the highest and the lowest readings was 0.945 inches, while in 1868 it was 1.113, and the average is 1.13 inch. the greatest mean difference between two following days (24th and 26th) was 0.477 in, and the least 0.026 [inches], the mean for the month being 0.204 in. the latter in 1868 was 0.241 [inches], and the mean is 0.219 in.   the following are the means of the usual tri-daily readings: - 1869 [in inches]: 8am: 29.895 2pm: 29.866 10pm: 29.873 means: 29.878 --- 1868 [in inches]: 8am: 30.103 2pm: 30.067 10pm: 30.084 means: 30.085  avg. 9 years, 29.947 inches.",mno,casual_phenomena_line_2,199,213371,1855,1807
54,Saint John NB,America/Moncton,0,1869-12-03 00:00:00,1869-12-03 00:00:00,each parhelion about 22 degrees from the sun on either side and coinciding with the horizontal circle,mno,casual_phenomena_line_2,199,215192,1910,1814
55,Saint John NB,America/Moncton,0,1869-12-19 00:00:00,1869-12-19 00:00:00,sleighing since 5th (?),mno,casual_phenomena_line_2,199,215194,1910,1814
56,Saint John NB,America/Moncton,0,1869-12-20 00:00:00,1869-12-20 00:00:00,displays the prismatic colours,mno,casual_phenomena_line_2,199,215195,1910,1814
57,Saint John NB,America/Moncton,0,1870-02-28 00:00:00,1870-02-28 00:00:00,"the winter (terminating with february and beginning with december) has also been remarkably wet, as will be seen by the following statement:",mno,casual_phenomena_line_2,199,219728,1934,1827
58,Saint John NB,America/Moncton,0,1870-08-02 00:00:00,1870-08-02 00:00:00,squall from sw,mno,casual_phenomena_line_2,199,221916,1984,1838
59,Saint John NB,America/Moncton,0,1870-08-21 00:00:00,1870-08-21 00:00:00,beams covered northern section of sky and concentrated at zenith,mno,casual_phenomena_line_2,199,221921,1984,1838
60,Saint John NB,America/Moncton,0,1870-08-30 00:00:00,1870-08-30 00:00:00,sw rain squall with heavy lightning and thunder between 10 and 11 am,mno,casual_phenomena_line_2,199,221926,1984,1838
61,Saint John NB,America/Moncton,0,1870-09-07 00:00:00,1870-09-07 00:00:00,arch of pale greenish light. no cloud beneath.,mno,casual_phenomena_line_2,199,221420,1977,1841
62,Saint John NB,America/Moncton,0,1870-10-07 00:00:00,1870-10-07 00:00:00,ice about 1/2 inch in thickness,mno,casual_phenomena_line_2,199,221929,1985,1844
63,Saint John NB,America/Moncton,0,1870-10-10 00:00:00,1870-10-10 00:00:00,paraselena for some time after moon rise; one mock moon visible only and it was at northward also,mno,casual_phenomena_line_2,199,221931,1985,1844
64,Saint John NB,America/Moncton,0,1870-10-14 00:00:00,1870-10-14 00:00:00,displaying a profusion of pink and green and purple and at some times covering the whole sky and forming a perfect corona,mno,casual_phenomena_line_2,199,221932,1985,1844
65,Saint John NB,America/Moncton,0,1870-10-20 00:00:00,1870-10-20 00:00:00,"concussion experienced [felt] in low lying districts but on high, rocky parts of city not felt at all",mno,casual_phenomena_line_2,199,221934,1985,1844
