,StationName,Timezone,UTCoffset,ObservationDate,UTCDate,value,unit,field_key,fieldID,annotationID,transcriptionID,pageID
1,Winnipeg,America/Winnipeg,0,1871-06-30 00:00:00,1871-06-30 00:00:00,empty,mno,casual_phenomena_line_5,202,84643,577,482
2,Winnipeg,America/Winnipeg,0,1872-09-18 00:00:00,1872-09-18 00:00:00,empty,mno,casual_phenomena_line_5,202,81915,564,520
3,Winnipeg,America/Winnipeg,0,1870-04-30 00:00:00,1870-04-30 00:00:00,warmth of the sun and from their numbers one would hardly feel disposed to sow much now. they may  	however take their departure in time to allow the cultivation of barley and potatoes but it is hard to tell.,mno,casual_phenomena_line_4,201,79898,555,453
4,Winnipeg,America/Winnipeg,0,1870-10-24 00:00:00,1870-10-24 00:00:00,"in the zenith, which continued during most of the night. class i",mno,casual_phenomena_line_4,201,84453,580,462
5,Winnipeg,America/Winnipeg,0,1871-12-07 00:00:00,1871-12-07 00:00:00,a milky aurora in the north like a hazy light began 8 p.m. ended 10.30 p.m.,mno,casual_phenomena_line_4,201,84843,573,491
6,Winnipeg,America/Winnipeg,0,1872-11-26 00:00:00,1872-11-26 00:00:00,i did not hear it myself. the aurora continued until daylight,mno,casual_phenomena_line_3,200,80805,562,527
7,Winnipeg,America/Winnipeg,0,1869-05-02 00:00:00,1869-05-02 00:00:00,a milky auroral vapor in the north lasted during the night commenced 8.15pm,mno,casual_phenomena_line_2,199,76426,531,434
8,Winnipeg,America/Winnipeg,0,1869-07-15 00:00:00,1869-07-15 00:00:00,to ne ornamented with beams of various forms,mno,casual_phenomena_line_2,199,78345,541,438
9,Winnipeg,America/Winnipeg,0,1869-07-17 00:00:00,1869-07-17 00:00:00,illegible,mno,casual_phenomena_line_2,199,78347,541,438
10,Winnipeg,America/Winnipeg,0,1869-08-07 00:00:00,1869-08-07 00:00:00,"red river time, & the eclipse ended 5.23pm middle of the eclipse at 4.22 at that time a very narrow portion only of the sun's upper limb, apparently about one digit of his disc, was",mno,casual_phenomena_line_2,199,86744,546,443
11,Winnipeg,America/Winnipeg,0,1869-08-08 00:00:00,1869-08-08 00:00:00,"their eggs here, and raise the crops next year",mno,casual_phenomena_line_2,199,86745,546,443
12,Winnipeg,America/Winnipeg,0,1869-08-31 00:00:00,1869-08-31 00:00:00,garden vegetables are also very plentiful. grasshoppers are laying their eggs in some places but it is the opinion,mno,casual_phenomena_line_2,199,86755,546,443
13,Winnipeg,America/Winnipeg,0,1869-09-02 00:00:00,1869-09-02 00:00:00,an aurora consisting of streamers all over the sky was seen between 7 and 11 . no arch.,mno,casual_phenomena_line_2,199,79761,553,445
14,Winnipeg,America/Winnipeg,0,1870-03-21 00:00:00,1870-03-21 00:00:00,it subsequently spread all over the sky in the form of a canopy with still the same  	splendid corona in the zenith while all round the horizon were hanging festoons of dazzling brilliancy.,mno,casual_phenomena_line_2,199,79859,554,449
15,Winnipeg,America/Winnipeg,0,1870-04-02 00:00:00,1870-04-02 00:00:00,line commenced 8 p.m. ended 10.3 p.m.,mno,casual_phenomena_line_2,199,79871,555,453
16,Winnipeg,America/Winnipeg,0,1870-04-30 00:00:00,1870-04-30 00:00:00,"as regards farming in this settlement with the exception of a few farmers in the portage la prairie distant and about 60 miles up the river from here and at st. andrew's about 10 miles down the river from here there will be no farming done in this settlement, on account of fear of the",mno,casual_phenomena_line_2,199,79898,555,453
17,Winnipeg,America/Winnipeg,0,1870-05-31 00:00:00,1870-05-31 00:00:00,"the crops such as wheat oats and barly are looking well so far, as i mentioned before there has been very little sown in the settlement this season on account of the farmers being afraid of the grasshoppers. but on examining the ground where the eggs had been deposited in different parts of the settlement it was found that a little worm something like a maggot has been destroying all the eggs. so effectual has their work been that there has not a young grasshopper made its appearance yet. so upon the whole we hope to have a little crop in the settlement yet and will be enabled to avoid the calamity that befell us two years ago.",mno,casual_phenomena_line_2,199,79929,556,456
18,Winnipeg,America/Winnipeg,0,1870-10-05 00:00:00,1870-10-05 00:00:00,empty,mno,casual_phenomena_line_2,199,84412,580,462
19,Winnipeg,America/Winnipeg,0,1870-10-24 00:00:00,1870-10-24 00:00:00,at 9 became in the form of a canopy over all the sky of different colors with a magnificient corona,mno,casual_phenomena_line_2,199,84453,580,462
20,Winnipeg,America/Winnipeg,0,1870-11-17 00:00:00,1870-11-17 00:00:00,red river completely frozen over.,mno,casual_phenomena_line_2,199,83698,579,460
21,Winnipeg,America/Winnipeg,0,1870-11-30 00:00:00,1870-11-30 00:00:00,no snow on the  ground and the roads as as dry and smooth as if it were the middle of the summer,mno,casual_phenomena_line_2,199,83738,579,460
22,Winnipeg,America/Winnipeg,0,1871-06-30 00:00:00,1871-06-30 00:00:00,"the crops all over the country look beautifully, there is every expectation of an abundant harvest",mno,casual_phenomena_line_2,199,84643,577,482
23,Winnipeg,America/Winnipeg,0,1871-07-31 00:00:00,1871-07-31 00:00:00,"the prospects of crops in in this vicinity are very flattering. they are really looking splendid and everyone is looking forward to an abundant harvest in this place. fears were at one time entertained that the grasshoppers were to have a visit to us again, but a few came through from minnesota and dakota but they passed straight on to the north without doing any damage whatsoever.",mno,casual_phenomena_line_2,199,84734,576,485
24,Winnipeg,America/Winnipeg,0,1871-12-07 00:00:00,1871-12-07 00:00:00,"in the zenith of the same colors, with the convex side towards the sun. began 11.30 a.m. continued until 2 p.m.",mno,casual_phenomena_line_2,199,84843,573,491
25,Winnipeg,America/Winnipeg,0,1871-12-20 00:00:00,1871-12-20 00:00:00,with white spots here and there also a red and white semicircle in the zenith with the convex side towards the sun continued from 2 to 3 p.m,mno,casual_phenomena_line_2,199,84881,573,491
26,Winnipeg,America/Winnipeg,0,1872-02-03 00:00:00,1872-02-03 00:00:00,faint auroral light low in northern horizon from 8 continued during night,mno,casual_phenomena_line_2,199,85978,571,501
27,Winnipeg,America/Winnipeg,0,1872-03-26 00:00:00,1872-03-26 00:00:00,quarter of the heavens,mno,casual_phenomena_line_2,199,86176,570,504
28,Winnipeg,America/Winnipeg,0,1872-03-31 00:00:00,1872-03-31 00:00:00,"his winter has been remarkable for is length, it having commenced about a month earlier than usual and lasting up to this time and very little signs of spring yet we have not had many spells of severe cold but we have had a continual cold so that the average of the winter months is much lower than usual.",mno,casual_phenomena_line_2,199,86198,570,504
29,Winnipeg,America/Winnipeg,0,1872-04-29 00:00:00,1872-04-29 00:00:00,ice moved on the red river to day,mno,casual_phenomena_line_2,199,86330,569,505
30,Winnipeg,America/Winnipeg,0,1872-06-30 00:00:00,1872-06-30 00:00:00,"the crops in this vicinity look remarkably well, we have been blessed with moderate rains and warm growing weather, and the consequence is that the crops look better in this country than they have done for many years. reports reach here that the grasshoppers are doing a great deal of harm in northern minnesota, but these reports as yet want confirmation. it is to be hoped that it is not true, but that a kind providence will avert this calamity which fear now more than any thing else.",mno,casual_phenomena_line_2,199,83492,567,513
31,Winnipeg,America/Winnipeg,0,1872-07-20 00:00:00,1872-07-20 00:00:00,"the whole northern sky from the zenith downwards was covered with brilliant streamers but no corona, greatest brilliancy at 10 p.m. from that time they gradually diminished in lustre until 12.30 a.m. when they disappeared altogehter.",mno,casual_phenomena_line_2,199,83306,566,515
32,Winnipeg,America/Winnipeg,0,1872-07-31 00:00:00,1872-07-31 00:00:00,"the prospects of crops in this country is excellent, we hardly ever had a better appearance. if no grasshoppers come along there will be doubtless be an abundant harvest.",mno,casual_phenomena_line_2,199,83359,566,515
33,Winnipeg,America/Winnipeg,0,1872-08-03 00:00:00,1872-08-03 00:00:00,faint appearance at 11,mno,casual_phenomena_line_2,199,81992,565,517
34,Winnipeg,America/Winnipeg,0,1872-08-24 00:00:00,1872-08-24 00:00:00,at 9 it was covered with heavy cumuli clear again at 9.15 appeared with streamers and arch. greatest brilliancy at 9.25 totally disappeared at 10.45.,mno,casual_phenomena_line_2,199,82106,565,517
35,Winnipeg,America/Winnipeg,0,1872-08-31 00:00:00,1872-08-31 00:00:00,the grasshoppers did not do much damage to the crops this season but we are afraid that there will be a great deal of damage done here next season as the grasshoppers appear to have left a great many of their eggs here. the crops this season were never better at any time in this country.,mno,casual_phenomena_line_2,199,82133,565,517
36,Winnipeg,America/Winnipeg,0,1872-11-26 00:00:00,1872-11-26 00:00:00,"next morning in splendid waving streamers all around the horizon waving very rapidly. i was informed by several persons that a rustling noise was heard to proceed from then, whether true or not i cannot say,",mno,casual_phenomena_line_2,199,80805,562,527
37,Winnipeg,America/Winnipeg,0,1873-01-15 00:00:00,1873-01-15 00:00:00,5 pm tearing up the snow before it like a cloud it lasted about 2 minutes,mno,casual_phenomena_line_2,199,74845,520,533
38,Winnipeg,America/Winnipeg,0,1873-01-21 00:00:00,1873-01-21 00:00:00,9 when it reached its maximum. continued past 11,mno,casual_phenomena_line_2,199,74852,520,533
39,Winnipeg,America/Winnipeg,0,1873-01-25 00:00:00,1873-01-25 00:00:00,at 9.15. continued  until past 11,mno,casual_phenomena_line_2,199,74857,520,533
40,Winnipeg,America/Winnipeg,0,1873-01-26 00:00:00,1873-01-26 00:00:00,very faint at 9. was very brilliant next morning at 5.45. continued until daylight,mno,casual_phenomena_line_2,199,74859,520,533
41,Winnipeg,America/Winnipeg,0,1873-03-01 00:00:00,1873-03-01 00:00:00,the north which continued without change past 11,mno,casual_phenomena_line_2,199,75728,526,539
42,Winnipeg,America/Winnipeg,0,1873-03-02 00:00:00,1873-03-02 00:00:00,9 it formed into beautiful waving streamers all over the northern sky. greatest brilliancy at 10.0 continued past 11,mno,casual_phenomena_line_2,199,75732,526,539
43,Winnipeg,America/Winnipeg,0,1869-06-08 00:00:00,1869-06-08 00:00:00,"thunder & lightning during the night with a smart shower of rain, thunder and lightning began 9pm ended toward morning",mno,casual_phenomena,155,77639,539,436
44,Winnipeg,America/Winnipeg,0,1869-06-12 00:00:00,1869-06-12 00:00:00,heavy rain all day,mno,casual_phenomena,155,77642,539,436
45,Winnipeg,America/Winnipeg,0,1869-06-16 00:00:00,1869-06-16 00:00:00,"slight frost on the ground this morning. an aurora consisting of a few streamers in the north, in the evening",mno,casual_phenomena,155,77654,539,436
46,Winnipeg,America/Winnipeg,0,1869-06-17 00:00:00,1869-06-17 00:00:00,occasional showers during the day,mno,casual_phenomena,155,77656,539,436
47,Winnipeg,America/Winnipeg,0,1869-06-18 00:00:00,1869-06-18 00:00:00,rained pretty heavily during last night,mno,casual_phenomena,155,77658,539,436
48,Winnipeg,America/Winnipeg,0,1869-06-21 00:00:00,1869-06-21 00:00:00,a smart shower of rain this afternoon,mno,casual_phenomena,155,77662,539,436
49,Winnipeg,America/Winnipeg,0,1869-06-23 00:00:00,1869-06-23 00:00:00,rained heavily for half an hour this forenoon,mno,casual_phenomena,155,77665,539,436
50,Winnipeg,America/Winnipeg,0,1869-06-24 00:00:00,1869-06-24 00:00:00,hard frost this morning,mno,casual_phenomena,155,77668,539,436
51,Winnipeg,America/Winnipeg,0,1869-06-25 00:00:00,1869-06-25 00:00:00,heavy shower of rain this morning,mno,casual_phenomena,155,77671,539,436
52,Winnipeg,America/Winnipeg,0,1869-06-26 00:00:00,1869-06-26 00:00:00,heavy showers of rain throughout the day some thunder & lightning in the evening in the sw,mno,casual_phenomena,155,77674,539,436
53,Winnipeg,America/Winnipeg,0,1869-06-27 00:00:00,1869-06-27 00:00:00,heavy fog this morning cleared off at 8am. distant thunder & lighting in the evening in the sw,mno,casual_phenomena,155,77679,539,436
54,Winnipeg,America/Winnipeg,0,1869-06-28 00:00:00,1869-06-28 00:00:00,heavy fog until noon. slight thunder and lighting in the evening with a few drop of rain,mno,casual_phenomena,155,77684,539,436
55,Winnipeg,America/Winnipeg,0,1869-07-01 00:00:00,1869-07-01 00:00:00,the sky obscured by smoke all day from the burning prairies. distant thunder & lighning in the nw at 9 pm,mno,casual_phenomena,155,77716,541,438
56,Winnipeg,America/Winnipeg,0,1869-07-02 00:00:00,1869-07-02 00:00:00,some sheet lightning without thunder in the south west between the hours of 8 and 10 pm,mno,casual_phenomena,155,77717,541,438
57,Winnipeg,America/Winnipeg,0,1869-07-03 00:00:00,1869-07-03 00:00:00,sky obscured by smoke all day. an aurora consisting of a few streamers in the north between 8 and 11 pm,mno,casual_phenomena,155,77718,541,438
58,Winnipeg,America/Winnipeg,0,1869-07-04 00:00:00,1869-07-04 00:00:00,sky still continues covered with smoke,mno,casual_phenomena,155,77719,541,438
