,StationName,Timezone,UTCoffset,ObservationDate,UTCDate,value,unit,field_key,fieldID,annotationID,transcriptionID,pageID
1,Wolfville,America/Halifax,0,1857-09-03 00:00:00,1857-09-03 00:00:00,.,mno,casual_phenomena_line_5,202,88515,603,603
2,Wolfville,America/Halifax,0,1858-04-12 00:00:00,1858-04-12 00:00:00,the first which was the most brillilant left a bright streak which was visible for several seonds. 10 to 12 brilliant meteor. small shooting stars numerous through the whole evening,mno,casual_phenomena_line_5,202,88473,605,550
3,Wolfville,America/Halifax,0,1858-08-12 00:00:00,1858-08-12 00:00:00,this storm is said to have been the heaviest that has occurred of many years,mno,casual_phenomena_line_5,202,88489,606,560
4,Wolfville,America/Halifax,0,1858-10-19 00:00:00,1858-10-19 00:00:00,this [ripped page] seemed to have exhausted itself in the onset. for the rest of the evening it was very faint [ripped] hazy,mno,casual_phenomena_line_5,202,88499,607,565
5,Wolfville,America/Halifax,0,1858-04-12 00:00:00,1858-04-12 00:00:00,"shooting stars numerous. several quite bright meteors seen 10 to 8 very bright meteor, not  seen till near the horizon. a bright curved streak of light was then visible extending from nw to ne",mno,casual_phenomena_line_3,200,88473,605,550
6,Wolfville,America/Halifax,0,1858-08-12 00:00:00,1858-08-12 00:00:00,and then a heavy crashing echo. near new moines a village about 4 or 5 miles to the westward of wolfville a field of potatoes was destroyed,mno,casual_phenomena_line_3,200,88489,606,560
7,Wolfville,America/Halifax,0,1858-10-04 00:00:00,1858-10-04 00:00:00,cannot say when it commenced nor when it disappeared. tehre was a pretty smart breeze blowing at the time from the w.,mno,casual_phenomena_line_3,200,88513,607,565
8,Wolfville,America/Halifax,0,1858-10-19 00:00:00,1858-10-19 00:00:00,"at 10 past 6 streamers shot up from all parts of the heavens to a point about 3 0 south of the zenith, showing a bright light with bright patches of green, red and yellow.",mno,casual_phenomena_line_3,200,88499,607,565
9,Wolfville,America/Halifax,0,1858-08-12 00:00:00,1858-08-12 00:00:00,"rain very heavy. lightning very sharp. generally zigzag, not very frequent. thunder very heavy. generally wih two or three distinct explosions like the discharge of heavy guns",mno,casual_phenomena_line_2,199,88489,606,560
10,Wolfville,America/Halifax,0,1858-08-16 00:00:00,1858-08-16 00:00:00,10 o'c hazy like the dawn. obscured by clouds.,mno,casual_phenomena_line_2,199,88491,606,560
11,Wolfville,America/Halifax,0,1858-10-04 00:00:00,1858-10-04 00:00:00,"degrees from [ripped] the space below being very dark. a few long, bright streamers extended nearly to the n star on account of the clouds",mno,casual_phenomena_line_2,199,88513,607,565
12,Wolfville,America/Halifax,0,1858-10-19 00:00:00,1858-10-19 00:00:00,"composed of short briliant beams which were very active, and now and then shooting up long streamers to the zenith in bright detached pa[ripped] with all the colors of the rainbow.",mno,casual_phenomena_line_2,199,88499,607,565
13,Wolfville,America/Halifax,0,1859-02-22 00:00:00,1859-02-22 00:00:00,"out at the upper edge of the bank when they were of a deep red color. slightly cloudy, brisk wind from the nw.",mno,casual_phenomena_line_2,199,93021,652,576
14,Wolfville,America/Halifax,0,1865-09-22 00:00:00,1865-09-22 00:00:00,first frost on the night of the 22nd,mno,casual_phenomena_line_2,199,102650,729,750
15,Wolfville,America/Halifax,0,1856-11-18 00:00:00,1856-11-18 00:00:00,a little snow,mno,casual_phenomena,155,89201,621,611
16,Wolfville,America/Halifax,0,1856-11-20 00:00:00,1856-11-20 00:00:00,aurora – ordinary –,mno,casual_phenomena,155,89202,621,611
17,Wolfville,America/Halifax,0,1856-11-22 00:00:00,1856-11-22 00:00:00,a trifle of rain -,mno,casual_phenomena,155,89203,621,611
18,Wolfville,America/Halifax,0,1856-11-23 00:00:00,1856-11-23 00:00:00,slight aurora,mno,casual_phenomena,155,89204,621,611
19,Wolfville,America/Halifax,0,1856-11-26 00:00:00,1856-11-26 00:00:00,a mixture of rain and snow during the day from e.s.e. – about 1/2 inch of snow,mno,casual_phenomena,155,89205,621,611
20,Wolfville,America/Halifax,0,1856-11-28 00:00:00,1856-11-28 00:00:00,squalls of snow – blustering and cold,mno,casual_phenomena,155,89206,621,611
21,Wolfville,America/Halifax,0,1856-11-29 00:00:00,1856-11-29 00:00:00,commenced snowing about 11 p.m. and has continued until this the 30th at 9 p.m.  from w. and n.w.  fall about 5 inches,mno,casual_phenomena,155,89207,621,611
22,Wolfville,America/Halifax,0,1856-12-03 00:00:00,1856-12-03 00:00:00,"clouds (cirrus) from west most of the day, but becoming denser towards sunset. between 7 and 8 p.m. wind shifts to e.s.e. with rain and frozen stuff,",mno,casual_phenomena,155,89208,622,585
23,Wolfville,America/Halifax,0,1856-12-09 00:00:00,1856-12-09 00:00:00,"most of the month thus far. the sky has been cloudy, and slight falls of snow have accrued at intervals. good sleighing ~",mno,casual_phenomena,155,89209,622,585
24,Wolfville,America/Halifax,0,1856-12-12 00:00:00,1856-12-12 00:00:00,"rain – sleighing gone, and snow has nearly disappeared",mno,casual_phenomena,155,89210,622,585
25,Wolfville,America/Halifax,0,1856-12-14 00:00:00,1856-12-14 00:00:00,"wind s.e. in afternoon and snows at 8 1/2, soon however becoming rain.",mno,casual_phenomena,155,89211,622,585
26,Wolfville,America/Halifax,0,1856-12-15 00:00:00,1856-12-15 00:00:00,violent wind from west with squalls of snow,mno,casual_phenomena,155,89212,622,585
27,Wolfville,America/Halifax,0,1856-12-18 00:00:00,1856-12-18 00:00:00,"navigation closed in creek and river, until 25th when it opens again",mno,casual_phenomena,155,89214,622,585
28,Wolfville,America/Halifax,0,1856-12-24 00:00:00,1856-12-24 00:00:00,a heavy fall of rain from the south,mno,casual_phenomena,155,89213,622,585
29,Wolfville,America/Halifax,0,1857-01-07 00:00:00,1857-01-07 00:00:00,navigation closed again,mno,casual_phenomena,155,86353,601,587
30,Wolfville,America/Halifax,0,1857-01-11 00:00:00,1857-01-11 00:00:00,snowstorms from east,mno,casual_phenomena,155,87677,601,587
31,Wolfville,America/Halifax,0,1857-01-15 00:00:00,1857-01-15 00:00:00,squally through the day,mno,casual_phenomena,155,87678,601,587
32,Wolfville,America/Halifax,0,1857-01-16 00:00:00,1857-01-16 00:00:00,aurora - begins at 6 - beam 6 1/2,mno,casual_phenomena,155,87679,601,587
33,Wolfville,America/Halifax,0,1857-01-19 00:00:00,1857-01-19 00:00:00,"snowstorms from ne. commencing at night, but turning to rain at 1 1/2 p.m.",mno,casual_phenomena,155,87680,601,587
34,Wolfville,America/Halifax,0,1857-01-22 00:00:00,1857-01-22 00:00:00,heavy gales at 4 and 5 p.m. from se with rain,mno,casual_phenomena,155,87681,601,587
35,Wolfville,America/Halifax,0,1857-01-29 00:00:00,1857-01-29 00:00:00,rain (snowing or raining most of the time it has been for several days,mno,casual_phenomena,155,87682,601,587
36,Wolfville,America/Halifax,0,1857-01-31 00:00:00,1857-01-31 00:00:00,barometer at 10 1/2 a.m. 30.71 temperature 45,mno,casual_phenomena,155,87683,601,587
37,Wolfville,America/Halifax,0,1857-02-01 00:00:00,1857-02-01 00:00:00,high wind last night from se with rain – showery during day,mno,casual_phenomena,155,89215,623,590
