Observation date,open_air_thermometer_7am,open_air_thermometer_2pm,open_air_thermometer_9pm,open_air_thermometer_mean,remarks_7am,remarks_2pm,remarks_9pm,daily_weather_remarks,type_precipitation,rain_and_melted_snow_hour_began,rain_and_melted_snow_hour_ended,rain_and_melted_snow_amount,depth_of_snow,cloud_amount_7am,kind_of_cloud_7am,cloud_velocity_7am,cloud_direction_7am,cloud_amount_2pm,kind_of_cloud_2pm,cloud_velocity_2pm,cloud_direction_2pm,cloud_amount_9pm,kind_cloud_9pm,cloud_velocity_9pm,course_higher_clouds_9pm,wind_direction_7am,wind_force_7am,wind_direction_2pm,wind_force_2pm,wind_direction_9pm,wind_force_9pm,barometer_7am,barometer_2pm,barometer_9pm_0,attached_thermometer_7am,attached_thermometer_2pm,attached_thermometer_9pm_0,barometer_corrected_7am,barometer_corrected_2pm,barometer_corrected_9pm,barometer_corrected_mean,dry_bulb_7am,dry_bulb_2pm,dry_bulb_9pm,wet_bulb_7am,wet_bulb_2pm,wet_bulb_9pm,force_of_vapor_7am,force_of_vapor_2pm,force_of_vapor_9pm,relative_humidity_7am,relative_humidity_2pm,relative_humidity_9pm,max_thermometer_obs,max_thermometer_cor,min_thermometer_obs,min_thermometer_cor,casual_phenomena,casual_phenomena_line_2,casual_phenomena_line_3,casual_phenomena_line_4,casual_phenomena_line_5
1861-01-01,-3,-4,-12,-6.3,cloudy,clear ,clear,NA,NA,NA,NA,NA,NA,None,None,Empty,North-West,NA,NA,NA,NA,NA,NA,NA,NA,North-West,5,North-West,4,North-West,4,28.6,28.7,28.7,56,60,66,28.53,28.62,28.61,Empty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-02,-13,-10,-14,-12.3,clear,clear,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,0,North-West,4,North-West,4,28.7,28.7,28.7,48,58,70,28.65,28.63,28.6,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Aurora Borealis E to N to S to W at 749 pm,,,,
1861-01-03,-16,-14,-16,-15.3,clear,clear,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,0,North-West,0,North-West,0,28.9,29,29.05,54,70,68,28.81,28.9,28.95,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Borealis E to N all,,,,
1861-01-04,-20,-10,-10,-13.3,clear,cloudy,cloudy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,West,NA,NA,NA,NA,North-West,0,North-West,0,North,0,28.95,28.8,28.53,53,70,69,28.89,28.7,28.43,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,halo around the sun all day,,,,
1861-01-05,-15,-10,-11,-12,clear,clear,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,0,North-West,0,North,0,28.8,28.75,28.75,50,70,68,28.75,28.65,28.65,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Halo round the Sun all day,,,,
1861-01-06,-14,-4,-10,-9.6,cloudy,clear,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,0,North-West,3,North-West,0,28.75,28.7,28.75,52,70,70,28.69,28.6,28.65,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Halo round the Sun. The Aur Borealis E to N low,,,,
1861-01-07,-21,-16,-22,-19.6,clear,clear,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,5,North-West,4,North-West,5,28.9,29,28.58,58,70,71,28.83,28.9,28.48,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Aur Borealis E to N low but very bright,,,,
1861-01-08,-27,-20,-20,-22.3,clear,clear,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,0,North-West,0,North-West,3,29,29,29,48,70,70,28.95,28.9,28.9,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Aur. Borealis E to N,,,,
1861-01-09,-31,-16,-25,-24,clear,clear,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,0,North-West,0,North-West,0,29,29,29,50,70,68,28.95,28.9,28.9,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Aur Borealis E to W very bright,,,,
1861-01-10,-26,-10,-16,-17.3,clear,cloudy,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,0,North-West,0,North-West,0,28.95,29,29,58,70,69,28.88,28.9,28.9,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Aur. Borealis E to N low,halo round the Sun,,,
1861-01-11,26,30,-25,27,snow storm,cloudy,cloudy,NA,snow,Empty,3:00 PM,,,NA,NA,NA,NA,,None,,South-East,None,None,None,South-East,East,5,South,0,South,4,28.3,27.55,27.55,60,70,70,28.22,27.45,27.45,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-12,-7,-6,-6,-6.3,clear,clear,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,North-West,NA,NA,NA,NA,North-West,5,North-West,5,North-West,5,27.75,28.15,28.35,58,65,70,27.68,28.06,28.25,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Aur Borealis very bright all over,,,,
1861-01-13,-12,-4,-4,-6.6,clear,clear,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,North-West,NA,NA,NA,NA,North-West,0,North-West,0,North-West,0,28.7,28.75,28.75,56,67,68,28.63,28.64,28.65,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Aur. Borealis very bright all over,,,,
1861-01-14,3,5,0,2.6,cloudy,clear,clear,NA,NA,NA,NA,NA,NA,None,None,None,North-West,None,None,None,North-West,NA,NA,NA,NA,North-West,5,North-West,0,North-West,5,28.55,28.55,28.7,58,68,71,28.48,28.44,28.6,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Aur. Borealist very bright all over,,,,
1861-01-15,5,10,4,6.3,cloudy,cloudy,snow,NA,snow,6:00 PM,10:00 PM,None,None,None,None,None,North-West,None,None,None,North-West,NA,NA,NA,NA,North-West,0,North-West,0,North-West,5,28.75,28.8,28.8,50,69,68,28.7,28.7,28.7,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Sun rose very red,,,,
1861-01-16,2,2,0,0,cloudy,clear,clear,NA,NA,NA,NA,NA,NA,None,None,None,North,None,None,None,North,NA,NA,NA,NA,North-West,3,North,5,North-West,0,28.95,29,29,61,71,68,28.87,28.9,28.9,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Aur Borealis from E to N,,,,
1861-01-17,-12,-13,-17,-14,clear,clear,clear,NA,snow,12:00 AM,3:00 PM,None,None,NA,NA,NA,NA,None,None,None,North,NA,NA,NA,NA,North-West,3,North-West,4,North-West,0,28.95,28.85,28.85,60,66,70,28.87,28.76,28.75,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Aur. Borealis from E to W low,,,,
1861-01-18,-18,-3,0,-7,snow,snow,clear,NA,NA,NA,NA,NA,NA,None,None,None,North-West,None,None,None,North-West,NA,NA,NA,NA,North-West,0,North-West,4,North-West,0,28.8,28.6,28.6,58,71,70,28.73,28.5,28.5,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-19,2,6,5,4.3,cloudy,snow,snow,NA,snow,1:00 PM,None,None,None,NA,NA,NA,NA,None,None,None,North-West,NA,NA,NA,NA,North-West,0,North-West,0,North-West,0,28.4,28.25,28.25,60,70,70,28.32,28.15,28.15,Empty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-20,15,22,20,19,snow,cloudy,cloudy,NA,None,None,1:00 PM,None,None,NA,NA,NA,NA,None,None,None,North,None,None,None,North,North-West,0,North-West,0,North-West,5,28.15,28.1,28.1,58,68,70,28.08,28.01,28,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-21,21,19,17,19,cloudy,cloudy,cloudy,NA,NA,NA,NA,NA,NA,None,None,None,North,None,None,None,North,None,None,None,North,North,5,North-West,5,North-West,5,28.1,28.25,28.3,60,70,70,28.02,28.15,28.2,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-22,10,9,5,8,cloudy,cloudy,cloudy,NA,NA,NA,NA,NA,NA,None,None,None,North,None,None,None,North,None,None,None,North,North,5,North-West,5,North-West,5,28.6,28.6,28.75,59,70,70,28.53,28.5,28.65,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-23,1,5,0,2,cloudy,cloudy,cloudy,NA,NA,NA,NA,NA,NA,None,None,None,North,None,None,None,North,None,None,None,North,North-West,5,North-West,0,North-West,5,28.9,29,29.05,56,70,70,28.83,28.9,28.95,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Aur Borealis very bright all over,None,None,None,None
1861-01-24,-6,3,0,3,clear,cloudy,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,North,North-West,5,North-West,5,North-West,0,29.15,29.15,29.15,50,70,70,29.1,29.05,28.05,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Aur. Borealis very bright all over and low on the South,None,None,None,None
1861-01-25,8,22,20,16.6,cloudy,cloudy,cloudy,NA,snow,9:00 AM,12:00 AM,None,None,NA,NA,NA,NA,None,None,None,South-West,None,None,None,South-West,North-West,0,North-West,5,North-West,5,28.7,28.4,28.4,58,70,69,28.63,28.3,28.3,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-26,7,0,-8,Illegible,cloudy,clear,clear,NA,NA,NA,NA,NA,NA,None,None,None,North,None,None,None,North,None,None,None,North,North,5,North,5,North-West,5,28.65,28.95,29.05,56,70,71,28.58,28.85,28.95,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Aur. Borealis very bright E to N,None,None,None,None
1861-01-27,-22,-4,-12,-12.6,clear,clear,cloudy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,0,North-West,0,North-West,0,29.1,29,29,50,66,68,29.05,28.91,28.9,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Aur. Borealis,very bright E to N at 6pm,halo around the moon at 9pm,,
1861-01-28,-13,0,-3,-5.3,cloudy,cloudy,cloudy,NA,NA,NA,NA,NA,NA,Empty,None,None,North,None,None,None,North,NA,NA,NA,NA,North-West,0,North-West,0,North-West,0,28.85,28.9,28.9,60,76,70,28.77,28.78,28.8,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-29,-4,-3,4,-3.6,snow,snow,snow,NA,snow,4:00 AM,None,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,0,North-West,0,North-West,0,28.9,None,None,54,74,75,28.84,None,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-30,4,11,4,Illegible,cloudy,snow,cloudy,NA,NA,NA,NA,NA,NA,None,None,None,East,NA,NA,NA,NA,None,None,None,South-East,North-West,0,North-West,0,North-West,0,None,None,None,65,70,75,Empty,Empty,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-31,20,24,26,Illegible,snow,snow,snow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,North-East,North-West,0,North-West,0,North-West,0,None,None,None,60,70,60,Empty,Empty,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
