Observation date,open_air_thermometer_7am,open_air_thermometer_2pm,open_air_thermometer_9pm,open_air_thermometer_mean,remarks_7am,remarks_2pm,remarks_9pm,daily_weather_remarks,type_precipitation,rain_and_melted_snow_hour_began,rain_and_melted_snow_hour_ended,rain_and_melted_snow_amount,depth_of_snow,cloud_amount_7am,kind_of_cloud_7am,cloud_velocity_7am,cloud_direction_7am,cloud_amount_2pm,kind_of_cloud_2pm,cloud_velocity_2pm,cloud_direction_2pm,cloud_amount_9pm,kind_cloud_9pm,cloud_velocity_9pm,course_higher_clouds_9pm,wind_direction_7am,wind_force_7am,wind_direction_2pm,wind_force_2pm,wind_direction_9pm,wind_force_9pm,transcriber_comments,barometer_7am,barometer_2pm,barometer_9pm,attached_thermometer_7am,attached_thermometer_2pm,attached_thermometer_9pm_0,barometer_corrected_7am,barometer_corrected_2pm,barometer_corrected_9pm,barometer_corrected_mean,dry_bulb_7am,dry_bulb_2pm,dry_bulb_9pm,wet_bulb_7am,wet_bulb_2pm,wet_bulb_9pm,force_of_vapor_7am,force_of_vapor_2pm,force_of_vapor_9pm,relative_humidity_7am,relative_humidity_2pm,relative_humidity_9pm,transcriber_comments,max_thermometer_obs,max_thermometer_cor,min_thermometer_obs,min_thermometer_cor,casual_phenomena,casual_phenomena_line_2,casual_phenomena_line_3,casual_phenomena_line_4,casual_phenomena_line_5,transcriber_comments
1863-02-01,28,31,22,,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Cumulus,0,0,8,Cirrus,4,Illegible,8,Cirrus,0,0,North-West,4,North-West,4,North,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very cold morning - blowing - dull -Snowing hard,,,,,,,
1863-02-02,18,31,25,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Cirrus,0,0,10,Cumulus,0,0,10,Cumulus,0,0,South,4,South-South-West,6,South-South-West,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very fine but cold morning- light wind - Blew very hard. Evening with heavy rain,.,.,,,,,
1863-02-03,32,32,30,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Cirrus,3,West,3,Cirrus,2,West,0,0,0,0,West,4,West,3,0,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soft and fine day - Moonlight night and very soft.,,,,,,,
1863-02-04,24,16,1,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,Cumulus,0,0,10,Stratus,0,0,10,Stratus,0,0,West,3,Empty,Empty,North,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hailstones and high wind Morning - dull drifting and blowing hard - day and night,,,,,,,
1863-02-05,0,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Cirrus,0,0,7,Cirrus,0,0,NA,NA,NA,NA,North,3,North,2,North,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very cold morning -- lowest night before was 7° below zero,,,,,,,
1863-02-06,4,17,14,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,Empty,Empty,Empty,Empty,NA,NA,NA,NA,NA,NA,NA,NA,0,-,0,-,0,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very cold - fine and soft all day. Lowest night before was 9° below zero,,,,,,,
1863-02-07,29,33,20,Empty,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,Stratus,0,0,10,Stratus,0,0,8,Cumulus,0,0,South-West,5,South-West,5,South-West,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blew almost a gale evening and night - raining very hard all day,,,,,,,
1863-02-08,34,33,20,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Cirrus,0,0,4,Cirrus,0,0,5,Nimbus,0,0,0,None,0,None,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very fine all day - Calm - Mild,,,,,,,
1863-02-09,30,33,18,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Cirrus,0,West,4,Cumulus,0,0,6,Cumulus,0,0,North-West,3,South,3,North-West,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very fine morning. Blowing hard evening - Night very cold,,,,,,,
1863-02-10,11,22,21,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Cirrus,3,North-East,5,Cirrus,0,0,10,Stratus,0,0,North-East,2,South-West,3,South-South-West,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drifting and blowing morning - Very Cold - thermometer (S.R.) 11° below zero,,,,,,,
1863-02-11,7,13,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,Cumulo-stratus,0,0,10,Stratus,0,0,4,Cumulus,0,0,North-East,5,North,5,North-East,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drifting and blowing morning - Day cold - Thermometer (S.R.) 11° below zero,None,None,None,None,,,
1863-02-12,-3,4,6,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Cirrus,3,North-West,5,Cirrus,3,North-West,0,0,0,0,North-West,4,North-North-West,3,0,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1863-02-13,0,14,8,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-East,3,North-East,2,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calm - very cold all day,,,,,,,
1863-02-14,4,11,6,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Cirrus,3,North-East,6,Cirrus,2,North-East,8,Cumulus,0,0,North-East,3,North-East,4,North-East,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very cold all day. Blowing hard day evening and night,,,,,,,
1863-02-15,5,17,8,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,-,0,-,0,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Empty,None,None,None,None,,,
1863-02-16,34,39,22,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North,2,West,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1863-02-17,14,15,14,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South-West,5,South-West,5,South-West,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
1863-02-18,6,8,6,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Empty,,,,,,,
1863-02-19,4,16,7,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-East,4,North-East,4,East,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Empty,None,None,None,None,,,
