,StationName,Timezone,UTCoffset,ObservationDate,UTCDate,value,unit,field_key,fieldID,annotationID,transcriptionID,pageID
1,York Factory,America/Winnipeg,0,1874-11-23 00:00:00,1874-11-23 00:00:00,sun but colored prismatically internally or on sides directed to sun,mno,casual_phenomena_line_5,202,17419,10,13
2,York Factory,America/Winnipeg,0,1875-03-19 00:00:00,1875-03-19 00:00:00,"faint bands visible, but others appearing in succession [page blacked out]  bright moonlight. the finest display of the season without [page blacked out",mno,casual_phenomena_line_5,202,17436,12,106
3,York Factory,America/Winnipeg,0,1875-05-23 00:00:00,1875-05-23 00:00:00,small grey goose and navy or snow goose 23rd the hawks’ arrival not noted but was nearly synchronous with that of the geese,mno,casual_phenomena_line_5,202,22769,14,112
4,York Factory,America/Winnipeg,0,1875-09-02 00:00:00,1875-09-02 00:00:00,to 10.30 when it faded & observation ceased.,mno,casual_phenomena_line_5,202,24382,20,130
5,York Factory,America/Winnipeg,0,1875-11-29 00:00:00,1875-11-29 00:00:00,"altitude being 45º and other 4 at equal distances lowest about 15º from s and disappeared in ne about 1am of 30th. at 1.45 rose again and there was a fine display, moving in a serpentine form with brilliant coruscations till it reached zenith forming",mno,casual_phenomena_line_5,202,24697,23,141
6,York Factory,America/Winnipeg,0,1876-12-13 00:00:00,1876-12-13 00:00:00,were seen the place as the daylight hid the aurora.,mno,casual_phenomena_line_5,202,6369,6,7
7,York Factory,America/Winnipeg,0,1876-12-16 00:00:00,1876-12-16 00:00:00,across zenith to nw diffused over whole sky with coruscations and sometimes dense masses faded at midnight.,mno,casual_phenomena_line_5,202,17150,6,7
8,York Factory,America/Winnipeg,0,1876-12-20 00:00:00,1876-12-20 00:00:00,with great velocity formed semi corona round s zenith from 2 till 2.30 and complete corona from 2.30 till 3.50 am flash [illegible]  brilliantly of a fiery red remained till daylight.,mno,casual_phenomena_line_5,202,6391,6,7
9,York Factory,America/Winnipeg,0,1877-10-07 00:00:00,1877-10-07 00:00:00,horizon diffused at 1.25 am over sky again and gradually grew fainter till 5.20am when it [page blocked] in ne all time the aurora was below cirrus clouds.,mno,casual_phenomena_line_5,202,33757,192,201
10,York Factory,America/Winnipeg,0,1881-11-19 00:00:00,1881-11-19 00:00:00,empty,mno,casual_phenomena_line_5,202,42380,312,336
