Date,Air_Temperature,Mean_Air_Temperature,Air_pressure_mean,Time_Rain_Snow_Began,Time_Rain_Snow_Ended,Accumulated_Precipitation,Snow_Depth,Wind_Direction,Wind_Force,Cloud_Amount,Cloud_Type,Cloud_Velocity,Upper_Cloud_Direction,Weather_Remarks
1859-09-01 00:00:00,,,,,,,,,,,,,,HZ
1859-09-01 07:00:00,8.89,,,,,,,90,1,8,Cl7,,,
1859-09-01 14:00:00,20,,,,,,,90,1,7.2,Cl6,2,90,
1859-09-01 21:00:00,10,,,,,,,270,1,1.6,Cl6,,,
1859-09-02 00:00:00,,,,,,,,,,,,,,HZ
1859-09-02 00:00:00,,,,,,,,,,,,,,AU
1859-09-02 07:00:00,,,,,,,,0,5,0,-999,,,
1859-09-02 14:00:00,,,,,,,,270,5,0.8,Cl6,,,
1859-09-02 21:00:00,,,,,,,,270,5,0.8,Cl6,,,
1859-09-03 00:00:00,,,,,,,,,,,,,,-999
1859-09-03 00:00:00,,,,,,,,,,,,,,-999
1859-09-03 00:00:00,,,,,,,,,,,,,,-999
1859-09-03 00:00:00,,,,,,,,,,,,,,-999
1859-09-03 00:00:00,,,,,,,,,,,,,,AU
1859-09-03 07:00:00,7.22,,,,,,,135,1,3.2,Ch8,1,90,
1859-09-03 14:00:00,21.11,,,,,,,157.5,1,0.8,Cl6,,,
1859-09-03 21:00:00,11.11,,,,,,,135,2,1.6,Cl6,,,
1859-09-04 00:00:00,,,,,,,,,,,,,,AU
1859-09-04 07:00:00,10,,,,,,,135,1,0.8,Cl6,,,
1859-09-04 14:00:00,20,,,,,,,157.5,1,0.8,Cl6,,,
1859-09-04 21:00:00,19.44,,,,,,,135,1,2.4,Cl6,,,
1859-09-05 00:00:00,,,,,,,,,,,,,,AU
1859-09-05 00:00:00,,,,,,,,,,,,,,-999
1859-09-05 07:00:00,8.33,,,,,,,45,1,4,Cl6,,,
1859-09-05 14:00:00,14.44,,,,,,,45,2,0.8,Cl2,,,
1859-09-05 21:00:00,11.11,,,,,,,180,3,6.4,Cl7,-999,-999,
1859-09-06 07:00:00,10,,,,,,,0,3,7.2,Cl6,2,-999,
1859-09-06 14:00:00,14.44,,,,,,,315,5,6.4,Cl6,3,90,
1859-09-06 21:00:00,10,,,,,,,315,8,8,Cl7,-999,-999,
1859-09-07 00:00:00,,,,11 am /1pm,12 noon | 6 pm,,,,,,,,,RA
1859-09-07 07:00:00,8.89,,,,,,,315,1,8,Cl7,,,
1859-09-07 14:00:00,10,,,,,,,90,2,8,Cl7,,,
1859-09-07 21:00:00,7.22,,,,,,,315,2,0,-999,,,
1859-09-08 00:00:00,,,,7:00 AM,11 1/2 am,,,,,,,,,RA
1859-09-08 07:00:00,7.22,,,,,,,315,5,8,Cl7,,,
1859-09-08 14:00:00,10.56,,,,,,,315,7,7.2,Cl6,3,135,
1859-09-08 21:00:00,-0.56,,,,,,,270,1,3.2,Cl2,,,
1859-09-09 00:00:00,,,,-999,-999,,,,,,,,,AU
1859-09-09 07:00:00,4.44,,,,,,,135,3,1.6,Cl6,3,67.5,
1859-09-09 14:00:00,15,,,,,,,135,2,2.4,Cl2,,,
1859-09-09 21:00:00,9.44,,,,,,,135,2,4.8,Cl6,,,
1859-09-10 00:00:00,,17.04,,-999,-999,,,,,,,,,
1859-09-10 07:00:00,8.89,,,,,,,135,2,4.8,Ch9,,,
1859-09-10 14:00:00,22.22,,,,,,,180,7,6.4,Ch9,3,0,
1859-09-10 21:00:00,20,,,,,,,180,8,5.6,Cl2,,,
1859-09-11 00:00:00,,-999,,-999,-999,,,,,,,,,AU
1859-09-11 07:00:00,13.33,,,,,,,315,1,2.4,Ch9,2,-999,
1859-09-11 14:00:00,20,,,,,,,135,1,4,Ch9,,,
1859-09-11 21:00:00,4.44,,,,,,,180,2,0.8,Ch8,,,
1859-09-12 00:00:00,,-999,,-999,-999,,,,,,,,,
1859-09-12 07:00:00,8.33,,,,,,,135,9,2.4,Ch8,-999,-999,
1859-09-12 14:00:00,14.44,,,,,,,315,1,0.8,Ch8,,,
1859-09-12 21:00:00,7.22,,,,,,,270,5,8,Cl7,,,
1859-09-13 00:00:00,,-999,,6 1/2 am,10:00 PM,,,,,,,,,RA
1859-09-13 07:00:00,6.67,,,,,,,315,1,7.2,Cl7,4,45,
1859-09-13 14:00:00,7.78,,,,,,,90,8,8,Cl7,,,
1859-09-13 21:00:00,5.56,,,,,,,135,5,6.4,Cl7,,,
1859-09-14 00:00:00,,-999,,1:00 AM,11 1/2 am,,,,,,,,,RA
1859-09-14 07:00:00,5,,,,,,,0,2,8,Cl7,,,
1859-09-14 14:00:00,7.22,,,,,,,315,2,8,Cl7,,,
1859-09-14 21:00:00,5.56,,,,,,,315,3,8,Cl7,,,
1859-09-15 00:00:00,,-999,,2 1/2 pm,3:00 PM,,,,,,,,,RA
1859-09-15 07:00:00,6.11,,,,,,,315,3,8,Cl7,,,
1859-09-15 14:00:00,8.89,,,,,,,0,2,6.4,Cl7,,,
