,StationName,Timezone,UTCoffset,ObservationDate,UTCDate,value,unit,field_key,fieldID,annotationID,transcriptionID,pageID
1,Moose Factory,America/Toronto,0,1861-01-01 00:00:00,1861-01-01 00:00:00,"8th - thermometer from the insulation, 38, minimum thermometer, 45: 11th - thermometer from insulation 38 1/2, minimum thermometer 44: the observatory p min thermometer being the lowest it had attained during the night",mno,casual_phenomena_line_5,202,285325,2488,2371
2,Moose Factory,America/Toronto,0,1861-05-01 00:00:00,1861-05-01 00:00:00,"robins were first seen on the 5th, blackbirds on the 6th, ring plover & snipe owere shot on the 8th, frogs first heard on the 12th, signs of vegetation observed on (??) on 12th: sowed some (??) seeds in the garden on 18th, swallows seen in clocks on 22nd, planted potatos in the fields on 29th.",mno,casual_phenomena_line_5,202,285328,2490,2382
3,Moose Factory,America/Toronto,0,1861-03-31 00:00:00,1861-03-31 00:00:00,mean height of barometer reduced to freezing point 29.973. highest at hour of observation reduced to freezing point 30.630 on 31st. lowest at hour of observation reduced to freezing point 29.245 on 23rd.,mno,casual_phenomena_line_3,200,294421,2585,2377
4,Moose Factory,America/Toronto,0,1861-04-30 00:00:00,1861-04-30 00:00:00,"robins were first seen on the 10th, 2 ducks were shot on the 13th, in the open streams leading to the moose river (still fast). the first goose (grey goose) was shot on the 19th. crows were seen on the 29th. bluebirds on the 29th.",mno,casual_phenomena_line_3,200,294422,2586,2381
5,Moose Factory,America/Toronto,0,1861-05-01 00:00:00,1861-05-01 00:00:00,"mean amount of clour 6 6/10, average force of wind 7 6/10 miles p hour. the highest wind occurred on the 7th from nne 1 on the 13 from the east 35 miles p hour p estimation.",mno,casual_phenomena_line_3,200,285328,2490,2382
6,Moose Factory,America/Toronto,0,1861-07-19 00:00:00,1861-07-19 00:00:00,comet visible,mno,casual_phenomena_line_3,200,286367,2499,2390
7,Moose Factory,America/Toronto,0,1861-05-01 00:00:00,1861-05-01 00:00:00,"the mean height of barometer 29.848, the highest on the 1st 30.282, the lowest on the 7th 29.283",mno,casual_phenomena_line_2,199,285328,2490,2382
8,Moose Factory,America/Toronto,0,1861-06-01 00:00:00,1861-06-01 00:00:00,"placed the rain gauge yesterday in garden, clear of buildings, 9 inches from ground",mno,casual_phenomena_line_2,199,292207,2563,2387
9,Moose Factory,America/Toronto,0,1861-06-06 00:00:00,1861-06-06 00:00:00,finished planting our potatoes in garden & fields,mno,casual_phenomena_line_2,199,292214,2563,2387
10,Moose Factory,America/Toronto,0,1861-06-10 00:00:00,1861-06-10 00:00:00,a little thunder in north at 9 pm,mno,casual_phenomena_line_2,199,292227,2563,2387
11,Moose Factory,America/Toronto,0,1861-06-21 00:00:00,1861-06-21 00:00:00,thunder & lightning in sw at 5 pm,mno,casual_phenomena_line_2,199,292244,2563,2387
12,Moose Factory,America/Toronto,0,1861-07-05 00:00:00,1861-07-05 00:00:00,to 8 1/2 [8:30] am,mno,casual_phenomena_line_2,199,286266,2499,2390
13,Moose Factory,America/Toronto,0,1861-07-09 00:00:00,1861-07-09 00:00:00,in the afternoon,mno,casual_phenomena_line_2,199,286279,2499,2390
14,Moose Factory,America/Toronto,0,1861-07-17 00:00:00,1861-07-17 00:00:00,3pm,mno,casual_phenomena_line_2,199,286321,2499,2390
15,Moose Factory,America/Toronto,0,1861-07-19 00:00:00,1861-07-19 00:00:00,occasional showers,mno,casual_phenomena_line_2,199,286367,2499,2390
16,Moose Factory,America/Toronto,0,1861-09-04 00:00:00,1861-09-04 00:00:00,day misty,mno,casual_phenomena_line_2,199,292256,2565,2396
17,Moose Factory,America/Toronto,0,1861-09-15 00:00:00,1861-09-15 00:00:00,aurora 9 pm,mno,casual_phenomena_line_2,199,292271,2565,2396
18,Moose Factory,America/Toronto,0,1861-09-18 00:00:00,1861-09-18 00:00:00,thunder & lightning 9 pm,mno,casual_phenomena_line_2,199,292276,2565,2396
19,Moose Factory,America/Toronto,0,1861-09-22 00:00:00,1861-09-22 00:00:00,thunder at 3 am in n.,mno,casual_phenomena_line_2,199,292280,2565,2396
20,Moose Factory,America/Toronto,0,1861-09-24 00:00:00,1861-09-24 00:00:00,heavy rain 9 pm,mno,casual_phenomena_line_2,199,292282,2565,2396
21,Moose Factory,America/Toronto,0,1861-10-22 00:00:00,1861-10-22 00:00:00,"retracted entry: ""cold wind nw""",mno,casual_phenomena_line_2,199,292819,2571,2399
22,Moose Factory,America/Toronto,0,1860-12-22 00:00:00,1860-12-22 00:00:00,rather milder than yesterday,mno,casual_phenomena,155,284537,2482,2373
23,Moose Factory,America/Toronto,0,1860-12-23 00:00:00,1860-12-23 00:00:00,pleasant weather,mno,casual_phenomena,155,284538,2482,2373
24,Moose Factory,America/Toronto,0,1860-12-24 00:00:00,1860-12-24 00:00:00,the coldest day. but fine,mno,casual_phenomena,155,284539,2482,2373
25,Moose Factory,America/Toronto,0,1860-12-25 00:00:00,1860-12-25 00:00:00,clouded all day. but not cold,mno,casual_phenomena,155,284540,2482,2373
26,Moose Factory,America/Toronto,0,1860-12-26 00:00:00,1860-12-26 00:00:00,it commenced to snow heavily at noon. change of wind 8 1/2 [8:30] pm,mno,casual_phenomena,155,284541,2482,2373
27,Moose Factory,America/Toronto,0,1860-12-27 00:00:00,1860-12-27 00:00:00,fine weather wind northerly,mno,casual_phenomena,155,284542,2482,2373
28,Moose Factory,America/Toronto,0,1860-12-28 00:00:00,1860-12-28 00:00:00,solar halo at 11am,mno,casual_phenomena,155,284543,2482,2373
29,Moose Factory,America/Toronto,0,1860-12-29 00:00:00,1860-12-29 00:00:00,cloudy with small flurries of snow at intervals,mno,casual_phenomena,155,284544,2482,2373
30,Moose Factory,America/Toronto,0,1860-12-30 00:00:00,1860-12-30 00:00:00,cloudy all day with a little snow,mno,casual_phenomena,155,284545,2482,2373
31,Moose Factory,America/Toronto,0,1860-12-31 00:00:00,1860-12-31 00:00:00,cloud wind suddenly veered to n at 7am,mno,casual_phenomena,155,284546,2482,2373
32,Moose Factory,America/Toronto,0,1861-01-01 00:00:00,1861-01-01 00:00:00,"january has been a cold month, as cold as i have experienced since 1838.",mno,casual_phenomena,155,285325,2488,2371
