,StationName,Timezone,UTCoffset,ObservationDate,UTCDate,value,unit,field_key,fieldID,annotationID,transcriptionID,pageID
1,New Westminister,America/Vancouver,0,1865-03-21 00:00:00,1865-03-21 00:00:00,empty,mno,daily_weather_remarks,129,303489,2664,2583
2,New Westminister,America/Vancouver,0,1865-01-02 15:00:00,1865-01-02 15:00:00,overcast and rain,mno,remarks_3pm,229,304717,2657,2562
3,New Westminister,America/Vancouver,0,1865-01-03 15:00:00,1865-01-03 15:00:00,light showers | cumulo-stratus,mno,remarks_3pm,229,304718,2657,2562
4,New Westminister,America/Vancouver,0,1865-01-04 15:00:00,1865-01-04 15:00:00,very fine,mno,remarks_3pm,229,304719,2657,2562
5,New Westminister,America/Vancouver,0,1865-01-05 15:00:00,1865-01-05 15:00:00,"fine | cumulo-stratus, cirrus",mno,remarks_3pm,229,304720,2657,2562
6,New Westminister,America/Vancouver,0,1865-01-06 15:00:00,1865-01-06 15:00:00,"fine | cumulo-stratus ; fine | cirro-stratus, cumulo-stratus",mno,remarks_3pm,229,304721,2657,2562
7,New Westminister,America/Vancouver,0,1865-01-07 15:00:00,1865-01-07 15:00:00,fine | cirro-stratus,mno,remarks_3pm,229,304722,2657,2562
8,New Westminister,America/Vancouver,0,1865-01-08 15:00:00,1865-01-08 15:00:00,fine | stratus,mno,remarks_3pm,229,304723,2657,2562
9,New Westminister,America/Vancouver,0,1865-01-09 15:00:00,1865-01-09 15:00:00,overcast and raining,mno,remarks_3pm,229,304724,2657,2562
10,New Westminister,America/Vancouver,0,1865-01-10 15:00:00,1865-01-10 15:00:00,"fine | cumulo-stratus, cumulus",mno,remarks_3pm,229,304725,2657,2562
11,New Westminister,America/Vancouver,0,1865-01-11 15:00:00,1865-01-11 15:00:00,fine | stratus,mno,remarks_3pm,229,304726,2657,2562
12,New Westminister,America/Vancouver,0,1865-01-12 15:00:00,1865-01-12 15:00:00,dull and overcast,mno,remarks_3pm,229,304727,2657,2562
13,New Westminister,America/Vancouver,0,1865-01-13 15:00:00,1865-01-13 15:00:00,empty,mno,remarks_3pm,229,304728,2657,2562
14,New Westminister,America/Vancouver,0,1865-01-14 15:00:00,1865-01-14 15:00:00,"fine | cirro-cumulus, stratus",mno,remarks_3pm,229,304729,2657,2562
15,New Westminister,America/Vancouver,0,1865-01-15 15:00:00,1865-01-15 15:00:00,fine,mno,remarks_3pm,229,304730,2657,2562
16,New Westminister,America/Vancouver,0,1865-01-16 15:00:00,1865-01-16 15:00:00,dull and overcast,mno,remarks_3pm,229,304731,2657,2562
17,New Westminister,America/Vancouver,0,1865-01-17 15:00:00,1865-01-17 15:00:00,mist,mno,remarks_3pm,229,304732,2657,2562
18,New Westminister,America/Vancouver,0,1865-01-18 15:00:00,1865-01-18 15:00:00,mist and raining,mno,remarks_3pm,229,304733,2657,2562
19,New Westminister,America/Vancouver,0,1865-01-19 15:00:00,1865-01-19 15:00:00,fine | cumulus,mno,remarks_3pm,229,304734,2657,2562
20,New Westminister,America/Vancouver,0,1865-01-20 15:00:00,1865-01-20 15:00:00,very fine,mno,remarks_3pm,229,304735,2657,2562
21,New Westminister,America/Vancouver,0,1865-01-21 15:00:00,1865-01-21 15:00:00,very fine,mno,remarks_3pm,229,304736,2657,2562
22,New Westminister,America/Vancouver,0,1865-01-22 15:00:00,1865-01-22 15:00:00,very fine,mno,remarks_3pm,229,304737,2657,2562
23,New Westminister,America/Vancouver,0,1865-01-23 15:00:00,1865-01-23 15:00:00,very fine,mno,remarks_3pm,229,304738,2657,2562
24,New Westminister,America/Vancouver,0,1865-01-24 15:00:00,1865-01-24 15:00:00,very fine,mno,remarks_3pm,229,304739,2657,2562
25,New Westminister,America/Vancouver,0,1865-01-25 15:00:00,1865-01-25 15:00:00,dull,mno,remarks_3pm,229,304740,2657,2562
26,New Westminister,America/Vancouver,0,1865-01-26 15:00:00,1865-01-26 15:00:00,"dull | cirro-cumulus, stratus",mno,remarks_3pm,229,304741,2657,2562
27,New Westminister,America/Vancouver,0,1865-01-27 15:00:00,1865-01-27 15:00:00,dull | cumulo-stratus,mno,remarks_3pm,229,304742,2657,2562
28,New Westminister,America/Vancouver,0,1865-01-28 15:00:00,1865-01-28 15:00:00,snowing,mno,remarks_3pm,229,304743,2657,2562
29,New Westminister,America/Vancouver,0,1865-01-29 15:00:00,1865-01-29 15:00:00,raining,mno,remarks_3pm,229,304744,2657,2562
30,New Westminister,America/Vancouver,0,1865-01-30 15:00:00,1865-01-30 15:00:00,"fine | cumulo-stratus, cumulus",mno,remarks_3pm,229,304745,2657,2562
31,New Westminister,America/Vancouver,0,1865-02-01 15:00:00,1865-02-01 15:00:00,fine cirrus-cumulus-stratus,mno,remarks_3pm,229,302783,2662,2582
