Date,Air_Temperature,Mean_Air_Temperature,Adjunct_Temperature_Barometer,Air_pressure_corrected,Air_pressure_mean,Time_Rain_Snow_Began,Time_Rain_Snow_Ended,Accumulated_Precipitation,Snow_Depth,Force_Pressure_Vapour,Relative_Humidity,Wind_Direction,Wind_Force,Cloud_Amount,Cloud_Type,Cloud_Direction,Cloud_Velocity,Upper_Cloud_Direction,Weather_Remarks
1863-12-01 00:00:00,,,,,,,,0,0,,,,,,,,,,
1863-12-01 07:00:00,-8.33,,-1.07,,,,,,,2.47,68,315,1,0,,,,,
1863-12-01 14:00:00,-5,,-1.1,,,,,,,2.98,72,315,7,0.8,Cl6,,,,
1863-12-01 21:00:00,-8.89,,-1.05,,,,,,,1.42,47,315,1,0,-999,,,,
1863-12-02 00:00:00,,,,,,,,0,0,,,,,,,,,,
1863-12-02 07:00:00,3.89,,-1.38,,,,,,,7.62,85,225,11,8,Cl6,,,,
1863-12-02 14:00:00,6.11,,-1.44,,,,,,,6.13,65,225,5,8,Cl6,,,,
1863-12-02 21:00:00,-8.89,,-1.24,,,,,,,2.37,80,315,7,0,-999,,,,
1863-12-03 00:00:00,,,,,,,,0,0,,,,,,,,,,
1863-12-03 07:00:00,-13.33,,-0.92,,,,,,,1.35,68,315,5,0,-999,,,,
1863-12-03 14:00:00,-10.56,,-0.98,,,,,,,1.22,67,315,2,0,-999,,,,
1863-12-03 21:00:00,-12.22,,-0.94,,,,,,,1.56,67,315,1,0,-999,,,,
1863-12-04 00:00:00,,,,,,,,0,0,,,,,,,,,,
1863-12-04 07:00:00,-8.89,,-1.09,,,,,,,5.28,80,225,8,8,Cl7,,,,
1863-12-04 14:00:00,6.11,,-1.2,,,,,,,8.64,92,225,5,8,Cl7,,,,
1863-12-04 21:00:00,6.11,,-1.25,,,,,,,8.64,92,180,1,4,Cl6,,,,
1863-12-05 00:00:00,,,,,,,,0,0,,,,,,,,,,
1863-12-05 07:00:00,4.44,,-1.21,,,,,,,7.01,84,270,2,4,Cl6,,,,
1863-12-05 14:00:00,5,,-1.21,,,,,,,6.1,70,315,1,8,Cl6,,,,
1863-12-05 21:00:00,3.89,,-1.11,,,,,,,3.59,67,0,3,8,Cl6,,,,
1863-12-06 00:00:00,,,,,,,,0,0,,,,,,,,,,
1863-12-06 07:00:00,-10,,-0.91,,,,,,,1.29,45,315,7,0,-999,,,,
1863-12-06 14:00:00,-8.33,,-0.88,,,,,,,1.49,45,0,5,0,-999,,,,
1863-12-06 21:00:00,-12.22,,-0.79,,,,,,,1.56,67,0,1,0,-999,,,,
1863-12-07 00:00:00,,,,,,,,0,0,,,,,,,,,,
1863-12-07 07:00:00,-15,,-0.74,,,,,,,1.12,50,45,1,0,-999,,,,
1863-12-07 14:00:00,-6.11,,-0.81,,,,,,,1.83,50,0,1,0,-999,,,,
1863-12-07 21:00:00,-6.67,,-0.85,,,,,,,1.73,48,270,1,0,-999,,,,
1863-12-08 00:00:00,,,,,,,,0,0,,,,,,,,,,
1863-12-08 07:00:00,-9.44,,-0.87,,,,,,,2.03,57,270,1,0,-999,,,,
1863-12-08 14:00:00,3.33,,-1,,,,,,,5.86,75,225,1,0,-999,,,,
1863-12-08 21:00:00,-1.11,,-1.07,,,,,,,5.49,96,225,1,0,-999,,,,
1863-12-09 00:00:00,,,,,,8:00 PM,,1.52,25.4,,,,,,,,,,
1863-12-09 07:00:00,-2.78,,-1.21,,,,,,,4.06,90,315,1,8,Cl2,,,,
1863-12-09 14:00:00,-0.56,,-1.28,,,,,,,5.01,85,45,1,8,Cl7,,,,
1863-12-09 21:00:00,-3.89,,-1.3,,,,,,,4.57,100,45,7,8,-999,,,,
1863-12-10 00:00:00,,,,,,-999,,0,0,,,,,,,,,,
1863-12-10 07:00:00,-11.11,,-1.13,,,,,,,2.2,92,0,7,8,Cl7,,,,
1863-12-10 14:00:00,-10.56,,-1.65,,,,,,,1.76,66,0,3,8,Cl6,,,,
1863-12-10 21:00:00,-13.89,,-0.97,,,,,,,1.15,66,0,2,0,-999,,,,
1863-12-11 00:00:00,,,,,,-999,,0,0,,,,,,,,,,
1863-12-11 07:00:00,-15.56,,-0.87,,,,,,,1.02,65,0,3,8,Ch8,,,,
1863-12-11 14:00:00,-9.44,,-0.91,,,,,,,1.93,67,0,1,2.4,Ch6,,,,
1863-12-11 21:00:00,-8.89,,-0.84,,,,,,,2.03,67,0,2,8,Cl6,,,,
1863-12-12 00:00:00,,,,,,night,,5.08,50.8,,,,,,,,,,
1863-12-12 07:00:00,-8.33,,-0.85,,,,,,,2.71,83,45,1,8,Cl7,,,,
1863-12-12 14:00:00,-2.78,,-0.88,,,,,,,3.86,80,135,1,8,-999,,,,
1863-12-12 21:00:00,-0.56,,-0.89,,,,,,,5.01,85,135,1,8,Cl6,,,,
1863-12-13 00:00:00,,,,,,8:00 AM,in night,38.73,0,,,,,,,,,,
1863-12-13 07:00:00,0.56,,-0.96,,,,,,,6.54,95,135,1,8,-999,,,,
1863-12-13 14:00:00,4.44,,-1.06,,,,,,,8.13,98,135,1,8,-999,,,,
1863-12-13 21:00:00,7.22,,-1.25,,,,,,,10.16,100,135,5,8,-999,,,,
1863-12-14 00:00:00,,,,,,8:00 AM,in night,13.97,0,,,,,,,,,,
1863-12-14 07:00:00,7.22,,-1.32,,,,,,,9.92,97,225,1,8,-999,,,,
1863-12-14 14:00:00,6.67,,-1.29,,,,,,,9.48,98,225,1,8,Cl2,,,,
1863-12-14 21:00:00,8.89,,-1.5,,,,,,,11.18,98,135,3,8,-999,,,,
1863-12-15 00:00:00,,,,,,-999,-999,0.25,0,,,,,,,,,,
1863-12-15 07:00:00,6.11,,-1.5,,,,,,,10.33,98,270,1,8,Cl7,,,,
1863-12-15 14:00:00,1.67,,-1.42,,,,,,,5.55,80,270,2,8,Cl7,,,,
1863-12-15 21:00:00,-1.67,,-1.27,,,,,,,2.91,54,315,3,0,-999,,,,
1863-12-16 00:00:00,,,,,,-999,-999,0,0,,,,,,,,,,
1863-12-16 07:00:00,-8.89,,-1.11,,,,,,,1.22,30,315,7,6.4,Cl6,,,,
1863-12-16 14:00:00,-8.89,,-1.08,,,,,,,1.35,43,315,5,0,-999,,,,
1863-12-16 21:00:00,-12.78,,-0.94,,,,,,,1.19,60,315,3,0,-999,,,,
1863-12-17 00:00:00,,,,,,in night,8 AM 18th,5.08,50.8,,,,,,,,,,
1863-12-17 07:00:00,-14.44,,-0.87,,,,,,,1.52,68,0,1,0,-999,,,,
1863-12-17 14:00:00,-9.44,,-0.89,,,,,,,1.35,42,315,1,8,Cl6,,,,
1863-12-17 21:00:00,-8.89,,-0.91,,,,,,,1.35,47,45,2,8,Cl6,,,,
1863-12-18 00:00:00,,,,,,10:00 AM,in night,39.37,0,,,,,,,,,,
1863-12-18 07:00:00,-4.44,,-1.07,,,,,,,4.47,94,90,2,8,-999,,,,
1863-12-18 14:00:00,0,,-1.21,,,,,,,5.76,93,135,1,8,-999,,,,
1863-12-18 21:00:00,7.22,,-1.4,,,,,,,9.48,97,180,2,8,-999,,,,
1863-12-19 00:00:00,,,,,,-999,-999,0,0,,,,,,,,,,
1863-12-19 07:00:00,-1.11,,-1.32,,,,,,,5.15,92,315,1,0,-999,,,,
1863-12-19 14:00:00,-1.11,,-1.31,,,,,,,4.74,83,315,1,8,Cl7,,,,
1863-12-19 21:00:00,-2.22,,-1.29,,,,,,,4.13,80,315,1,8,Cl6,,,,
1863-12-20 00:00:00,,,,,,8:00 AM,6:00 PM,0.64,7.62,,,,,,,,,,
1863-12-20 07:00:00,-3.33,,-1.29,,,,,,,3.18,84,315,1,8,-999,,,,
1863-12-20 14:00:00,-6.67,,-1.3,,,,,,,2.47,68,315,2,8,-999,,,,
1863-12-20 21:00:00,-12.78,,-1.23,,,,,,,1.49,87,315,2,6.4,Cl6,,,,
1863-12-21 00:00:00,,,,,,-999,-999,0,0,,,,,,,,,,
1863-12-21 07:00:00,-16.67,,-1.19,,,,,,,1.35,71,315,2,0,-999,,,,
1863-12-21 14:00:00,-12.22,,-1.21,,,,,,,1.56,67,315,1,0,-999,,,,
1863-12-21 21:00:00,-14.44,,-1.18,,,,,,,1.35,68,315,1,0,-999,,,,
1863-12-22 00:00:00,,,,,,-999,-999,0,0,,,,,,,,,,
1863-12-22 07:00:00,-16.67,,-1.16,,,,,,,1.25,68,315,1,8,Cl6,,,,
