,StationName,Timezone,UTCoffset,ObservationDate,UTCDate,value,unit,field_key,fieldID,annotationID,transcriptionID,pageID
1,Stanbridge,America/Montreal,0,1870-10-15 00:00:00,1870-10-15 00:00:00,wind violent gale,mno,casual_phenomena_line_5,202,276194,2391,2300
2,Stanbridge,America/Montreal,0,1873-03-29 00:00:00,1873-03-29 00:00:00,empty,mno,casual_phenomena_line_5,202,282430,2456,2091
3,Stanbridge,America/Montreal,0,1870-10-15 00:00:00,1870-10-15 00:00:00,"near the zenith the colors were blood red, but towards the horizon at each end of an immense arch stretching from west to east, they were of a brilliant white light",mno,casual_phenomena_line_4,201,276194,2391,2300
4,,America/Montreal,0,1871-05-25 00:00:00,1871-05-25 00:00:00,young robins,mno,casual_phenomena_line_4,201,277355,2412,2315
5,Stanbridge,America/Montreal,0,1872-05-01 00:00:00,1872-05-01 00:00:00,first trip from sea at quebec around april 30th evening - last year 20th april,mno,casual_phenomena_line_4,201,280160,2434,2337
6,Stanbridge,America/Montreal,0,1870-06-28 00:00:00,1870-06-28 00:00:00,for two hours both sheet and forked lightning put the sky into alternate glory and gloom,mno,casual_phenomena_line_3,200,276738,2401,2293
7,Stanbridge,America/Montreal,0,1870-10-15 00:00:00,1870-10-15 00:00:00,"about eight o'clock, they were more brilliant than i ever saw them before and singularily enough, instead of being northern lights, they at that hour occupied a little more than the southern half of the heavens",mno,casual_phenomena_line_3,200,276194,2391,2300
8,Stanbridge,America/Montreal,0,1870-10-27 00:00:00,1870-10-27 00:00:00,thundered three or four times - lightning lasted all evening,mno,casual_phenomena_line_3,200,276199,2391,2300
9,,America/Montreal,0,1871-05-25 00:00:00,1871-05-25 00:00:00,apple trees in flower,mno,casual_phenomena_line_3,200,277355,2412,2315
10,Stanbridge,America/Montreal,0,1872-05-01 00:00:00,1872-05-01 00:00:00,steamers commenced running regular trips across the st. laurence (montreal to longueuil),mno,casual_phenomena_line_3,200,280160,2434,2337
11,Stanbridge,America/Montreal,0,1869-10-06 00:00:00,1869-10-06 00:00:00,empty,mno,casual_phenomena_line_2,199,297615,2376,2259
12,Stanbridge,America/Montreal,0,1869-11-07 00:00:00,1869-11-07 00:00:00,very low during the storm,mno,casual_phenomena_line_2,199,276208,2393,2260
13,Stanbridge,America/Montreal,0,1869-11-17 00:00:00,1869-11-17 00:00:00,6pm a little rain,mno,casual_phenomena_line_2,199,276212,2393,2260
14,Stanbridge,America/Montreal,0,1869-11-23 00:00:00,1869-11-23 00:00:00,2 inches,mno,casual_phenomena_line_2,199,276216,2393,2260
15,Stanbridge,America/Montreal,0,1869-12-13 00:00:00,1869-12-13 00:00:00,3 1/2 inches snow,mno,casual_phenomena_line_2,199,276689,2397,2263
16,Stanbridge,America/Montreal,0,1869-12-19 00:00:00,1869-12-19 00:00:00,"""7 inches snow""",mno,casual_phenomena_line_2,199,276692,2397,2263
17,Stanbridge,America/Montreal,0,1869-12-22 00:00:00,1869-12-22 00:00:00,rain this evening,mno,casual_phenomena_line_2,199,276694,2397,2263
18,,America/Montreal,0,1870-01-12 00:00:00,1870-01-12 00:00:00,snow and rain at intervals,mno,casual_phenomena_line_2,199,274899,2377,2265
19,,America/Montreal,0,1870-01-15 00:00:00,1870-01-15 00:00:00,rain this morning and at intervals during the day,mno,casual_phenomena_line_2,199,274900,2377,2265
20,,America/Montreal,0,1870-01-16 00:00:00,1870-01-16 00:00:00,illegible,mno,casual_phenomena_line_2,199,274901,2377,2265
21,,America/Montreal,0,1870-01-17 00:00:00,1870-01-17 00:00:00,rain 7 pm to 9 pm,mno,casual_phenomena_line_2,199,274902,2377,2265
22,Stanbridge,America/Montreal,0,1870-02-09 00:00:00,1870-02-09 00:00:00,(before this last fall 7 3/4 inches in the woods),mno,casual_phenomena_line_2,199,276696,2398,2267
23,Stanbridge,America/Montreal,0,1870-02-14 00:00:00,1870-02-14 00:00:00,snow from 1 pm to 3 3/4 pm,mno,casual_phenomena_line_2,199,276701,2398,2267
