Date,Air_Temperature,Mean_Air_Temperature,Air_pressure,Adjunct_Temperature_Barometer,Air_pressure_corrected,Air_pressure_mean,Time_Rain_Snow_Began,Time_Rain_Snow_Ended,Accumulated_Precipitation,Snow_Depth,Psychrometer_Dry_Bulb,Psychometer_Wet_Bulb,Force_Pressure_Vapour,Relative_Humidity,Wind_Direction,Wind_Force,Cloud_Amount,Cloud_Type,Cloud_Direction,Cloud_Velocity,Upper_Cloud_Direction,Weather_Remarks
1855-09-01 00:00:00,,12.29,,,,1006.81,12 A.M.,,,,,,,,,,,,,,,RA
1855-09-01 07:00:00,8.33,,1012.19,13.28,1009.79,,,,,,7.78,6.94,9.72,-888,270,0,2.4,,337.5,3,,
1855-09-01 14:00:00,15.64,,1011.35,21.22,1007.48,,,,,,15,12.72,12.83,75,225,5,8,,270,4,,
1855-09-01 21:00:00,12.89,,1007.45,23.78,1003.15,,,,,,13.11,11.75,12.6,84,225,0,8,,,4,,
1855-09-02 00:00:00,,18.46,,,,993.43,-999,,20.32,,,,,,,,,,,,,RA
1855-09-02 07:00:00,18.06,,998.58,18.89,995.19,,,,,,18.06,17.89,20.05,58,247.5,2,8,,247.5,3,,
1855-09-02 14:00:00,21.19,,995.12,17,991.4,,,,,,21.19,19.89,22.15,89,247.5,5,7.2,,247.5,3,,
1855-09-02 21:00:00,16.11,,997.29,20.22,994.35,,,,,,17.28,16.11,10.19,88,270,1,8,,,9,,
1855-09-03 00:00:00,,12.49,,,,1000.2,-999,2 A.M.,-999,,,,,,,,,,,,,-999
1855-09-03 07:00:00,11.28,,1001.36,18.33,998.07,,,,,,11.67,9.5,10.02,74,337.5,3,4,,337.5,4,,
1855-09-03 14:00:00,13.97,,1003.29,16,1000.41,,,,,,13.61,10,9.31,60,337.5,3,5.6,,337.5,3,,
1855-09-03 21:00:00,11.67,,1005.76,20.21,1002.24,,,,,,11.67,9.56,10.19,75,22.5,2,6.4,,,3,,
1855-09-04 00:00:00,,12.29,,,,1004.64,,,,,,,,,,,,,,,,
1855-09-04 07:00:00,10.06,,1006.47,16.22,1004.67,,,,,,9.89,8.39,9.72,80,315,1,-888,,315,1,,
1855-09-04 14:00:00,16.17,,1006.43,19.64,1002.88,,,,,,15.56,11.11,9.58,54,270,2,0.8,,22.5,3,,
1855-09-04 21:00:00,13.44,,1010.16,20.89,1006.37,,,,,,11.56,9.5,10.13,75,-999,0,0,,,-999,,
1855-09-05 00:00:00,,15.41,,,,1007.38,,,,,,,,,,,,,,,,SH
1855-09-05 07:00:00,10,,1011.24,15.56,1008.09,,,,,,9.44,6.11,6.5,54,315,1,0,,-999,-999,,
1855-09-05 14:00:00,21.11,,1010.19,17.36,1006.71,,,,,,20.67,13.94,10.33,43,270,2,0.8,,270,1,,
1855-09-05 21:00:00,15.11,,1010.6,19.66,1007.04,,,,,,15.11,11,9.45,55,247.5,3,4.8,,,3,,
1855-09-06 00:00:00,,14.43,,,,1008.33,,,,,,,,,,,,,,,,
1855-09-06 07:00:00,14.28,,1010.5,16.75,1007.38,,,,,,13.94,11.83,12.09,76,270,2,0.8,,270,1,,
1855-09-06 14:00:00,17.78,,1011.55,18.06,1008.26,,,,,,17.69,12.94,11.04,55,45,2,0.8,,315,1,,
1855-09-06 21:00:00,11.25,,1013.38,21.94,1009.38,,,,,,11.24,8.89,9.45,72,45,2,0,,,-999,,
1855-09-07 00:00:00,,14.9,,,,1006.57,,,,,,,,,,,,,,,,
1855-09-07 07:00:00,11.39,,1013.21,15.56,1010.4,,,,,,11.22,9.06,9.69,73,90,1,4,,247.5,4,,
1855-09-07 14:00:00,17.97,,1009.82,16.94,1006.88,,,,,,17.78,15.11,14.8,74,225,1,1.6,,315,1,,
1855-09-07 21:00:00,15.33,,1005.76,18.26,1002.47,,,,,,15.44,13.33,13.65,79,180,2,1.6,,,1,,
1855-09-08 00:00:00,,18.97,,,,995.19,1 A.M.,2 A.M.,2.54,,,,,,,,,,,,,SH
1855-09-08 07:00:00,17.78,,998.31,18.86,991.53,,,,,,17.61,15.83,16.39,82,270,3,2.4,,270,3,,
1855-09-08 14:00:00,22.47,,997.8,20.5,994.14,,,,,,22.17,15.56,12.16,46,315,5,3.2,,315,4,,
1855-09-08 21:00:00,16.67,,999.83,18.33,996.55,,,,,,16.94,14.39,14.29,75,-999,0,0.8,,,-999,,
1855-09-09 00:00:00,,20.18,,,,993.67,,,,,,,,,,,,,,,,-888
1855-09-09 07:00:00,12.67,,1001.02,18.44,997.02,,,,,,12.67,11.39,12.39,85,Calm,-999,0.8,,315,2,,
1855-09-09 14:00:00,23.97,,996.85,20.2,993.23,,,,,,23.42,18.94,18.02,63,270,1,2.4,,270,4,,
1855-09-09 21:00:00,20.56,,994.72,21.94,990.79,,,,,,21.11,19.17,20.42,83,315,1,1.6,,,2,,
1855-09-10 00:00:00,,17.24,,,,994.35,,,,,,,,,,,,,,,,AU
1855-09-10 07:00:00,15.61,,996.31,19.89,992.75,,,,,,15.5,12.78,12.46,71,315,3,4,,315,3,,
1855-09-10 14:00:00,20,,996.95,18.89,990.18,,,,,,19.5,14.78,12.77,57,315,2,2.4,,315,3,,
1855-09-10 21:00:00,16.11,,1000.37,20.44,996.72,,,,,,16.11,13.45,13.17,72,315,2,4,,,3,,
1855-09-11 00:00:00,,17.15,,,,997.43,,,,,,,,,,,,,,,,AU
1855-09-11 07:00:00,13.94,,1000.47,18.06,997.22,,,,,,13.61,12.44,13.51,87,315,2,1.6,,315,3,,
1855-09-11 14:00:00,23.33,,1000.34,18.94,996.95,,,,,,21.56,16.31,14.09,55,315,2,0.8,,315,1,,
1855-09-11 21:00:00,15.83,,1001.69,20.17,998.07,,,,,,15.83,14,14.39,81,315,2,0.8,,,2,,
1855-09-12 00:00:00,,21.32,,,,996.38,,,,,,,,,,,,,,,,AU
1855-09-12 07:00:00,16.11,,1002.17,18.28,998.88,,,,,,15.61,13.28,13.31,75,315,1,0.8,,315,2,,
1855-09-12 14:00:00,26.11,,999.66,23.33,995.5,,,,,,26,19.17,16.42,49,270,5,4,,270,3,,
1855-09-12 21:00:00,21.72,,998.98,23.39,994.79,,,,,,22.56,19.44,19.91,74,-999,0,0.8,,,1,,
1855-09-13 00:00:00,,17.96,,,,993.43,1 1/2 P.M.,5 P.M.,5.08,,,,,,,,,,,,,-888
