SEF	1.0.0
ID	YorkFactoryCanada
Name	YorkFactoryWW
Lat	57.03
Lon	267.5
Alt	16.75
Source	ACRE-Canada
Link	https://opendatarescue.org
Vbl	p
Stat	point
Unit	hPa
Meta		UTCOffset=Applied	UTCOffset=6
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1876	12	11	20	00	0	1000.54	|	orig=29.546 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_CP.jpg
1876	12	12	20	00	0	1008.20	|	orig=29.772 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_CP.jpg
1876	12	13	20	00	0	1006.50	|	orig=29.722 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_CP.jpg
1876	12	14	20	00	0	1003.25	|	orig=29.626 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_CP.jpg
1876	12	15	20	00	0	1011.92	|	orig=29.882 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_CP.jpg
1876	12	16	20	00	0	1020.86	|	orig=30.146 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_CP.jpg
1876	12	17	20	00	0	1019.51	|	orig=30.106 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_CP.jpg
1876	12	18	20	00	0	1026.96	|	orig=30.326 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_CP.jpg
1876	12	19	20	00	0	1032.07	|	orig=30.477 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_CP.jpg
1876	12	20	20	00	0	1024.59	|	orig=30.256 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_CP.jpg
1876	12	21	20	00	0	1024.42	|	orig=30.251 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_CP.jpg
1876	12	22	20	00	0	1024.99	|	orig=30.268 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_CP.jpg
1876	12	23	20	00	0	1027.84	|	orig=30.352 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_CP.jpg
1876	12	24	20	00	0	1020.18	|	orig=30.126 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_CP.jpg
1876	12	25	20	00	0	1010.94	|	orig=29.853 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_CP.jpg
1876	12	26	20	00	0	1010.06	|	orig=29.827 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_CP.jpg
1876	12	27	20	00	0	1017.47	|	orig=30.046 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_CP.jpg
1876	12	28	20	00	0	1025.57	|	orig=30.285 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_CP.jpg
1876	12	29	20	00	0	1024.89	|	orig=30.265 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_CP.jpg
1876	12	30	20	00	0	1019.54	|	orig=30.107 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_CP.jpg
1877	01	01	20	00	0	1029.19	|	orig=30.392 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1877-01-01_CP.jpg
1877	01	02	20	00	0	1027.84	|	orig=30.352 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1877-01-01_CP.jpg
1877	01	03	20	00	0	1018.08	|	orig=30.064 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1877-01-01_CP.jpg
1877	01	04	20	00	0	1008.23	|	orig=29.773 inHg|Local time: 1400|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1877-01-01_CP.jpg
