SEF	1.0.0
ID	YorkFactoryCanada
Name	YorkFactoryWW
Lat	57.03
Lon	267.5
Alt	16.75
Source	ACRE-Canada
Link	https://opendatarescue.org
Vbl	p
Stat	mean
Unit	hPa
Meta		UTCOffset=Applied	UTCOffset=6
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1876	12	01	00	00	24	1033.91	|	orig=30.5313 inHg|Local time: mean|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_OBS-2.jpg
1876	12	02	00	00	24	1027.67	|	orig=30.3470 inHg|Local time: mean|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_OBS-2.jpg
1876	12	03	00	00	24	1019.92	|	orig=30.1183 inHg|Local time: mean|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_OBS-2.jpg
1876	12	04	00	00	24	1014.12	|	orig=29.9470 inHg|Local time: mean|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_OBS-2.jpg
1876	12	05	00	00	24	975.02	|	orig=28.7923 inHg|Local time: mean|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_OBS-2.jpg
1876	12	06	00	00	24	992.88	|	orig=29.3197 inHg|Local time: mean|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_OBS-2.jpg
1876	12	07	00	00	24	1005.02	|	orig=29.6783 inHg|Local time: mean|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_OBS-2.jpg
1876	12	08	00	00	24	1013.54	|	orig=29.9297 inHg|Local time: mean|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_OBS-2.jpg
1876	12	09	00	00	24	1008.95	|	orig=29.7943 inHg|Local time: mean|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_OBS-2.jpg
1876	12	10	00	00	24	997.05	|	orig=29.4430 inHg|Local time: mean|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_OBS-2.jpg
1876	12	11	00	00	24	994.64	|	orig=29.3717 inHg|Local time: mean|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_OBS-2.jpg
1876	12	12	00	00	24	1004.37	|	orig=29.6590 inHg|Local time: mean|QC flag: none|Image File: YorkFactory_USSS-314_M1958_1876-12-01_OBS-2.jpg
