SEF	1.0.0
ID	YorkFactoryCanada
Name	YorkFactoryWW
Lat	57.03
Lon	267.5
Alt	16.75
Source	ACRE-Canada
Link	https://opendatarescue.org
Vbl	cv
Stat	point
Unit	0-10
Meta		UTCOffset=Applied	UTCOffset=6
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1884	02	01	20	00	0	1	|	orig=1 cloudvel|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-314_M1958_1884-02-01_OBS-1.jpg
1884	02	02	03	00	0	1	|	orig=1 cloudvel|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-314_M1958_1884-02-01_OBS-1.jpg
1884	02	02	13	00	0	-999	|	orig=Empty cloudvel|Local time: 0700|QC flag: missing|Image File: YorkFactory_USSS-314_M1958_1884-02-01_OBS-1.jpg
1884	02	02	20	00	0	2	|	orig=2 cloudvel|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-314_M1958_1884-02-01_OBS-1.jpg
1884	02	03	03	00	0	-999	|	orig=Empty cloudvel|Local time: 2100|QC flag: missing|Image File: YorkFactory_USSS-314_M1958_1884-02-01_OBS-1.jpg
1884	02	03	13	00	0	2	|	orig=2 cloudvel|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-314_M1958_1884-02-01_OBS-1.jpg
1884	02	03	20	00	0	1	|	orig=1 cloudvel|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-314_M1958_1884-02-01_OBS-1.jpg
1884	02	04	03	00	0	1	|	orig=1 cloudvel|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-314_M1958_1884-02-01_OBS-1.jpg
1884	02	04	13	00	0	1	|	orig=1 cloudvel|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-314_M1958_1884-02-01_OBS-1.jpg
1884	02	04	20	00	0	1	|	orig=1 cloudvel|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-314_M1958_1884-02-01_OBS-1.jpg
1884	02	05	03	00	0	1	|	orig=1 cloudvel|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-314_M1958_1884-02-01_OBS-1.jpg
1884	02	05	13	00	0	2	|	orig=2 cloudvel|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-314_M1958_1884-02-01_OBS-1.jpg
1884	02	05	20	00	0	2	|	orig=2 cloudvel|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-314_M1958_1884-02-01_OBS-1.jpg
1884	02	06	03	00	0	1	|	orig=1 cloudvel|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-314_M1958_1884-02-01_OBS-1.jpg
1884	02	06	13	00	0	-999	|	orig=Empty cloudvel|Local time: 0700|QC flag: missing|Image File: YorkFactory_USSS-314_M1958_1884-02-01_OBS-1.jpg
1884	02	06	20	00	0	-999	|	orig=Empty cloudvel|Local time: 1400|QC flag: missing|Image File: YorkFactory_USSS-314_M1958_1884-02-01_OBS-1.jpg
1884	02	07	03	00	0	-999	|	orig=Empty cloudvel|Local time: 2100|QC flag: missing|Image File: YorkFactory_USSS-314_M1958_1884-02-01_OBS-1.jpg
1884	02	07	13	00	0	2	|	orig=2 cloudvel|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-314_M1958_1884-02-01_OBS-1.jpg
1884	02	07	20	00	0	3	|	orig=3 cloudvel|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-314_M1958_1884-02-01_OBS-1.jpg
