SEF	1.0.0
ID	AlbionMinesCanada
Name	AlbionMines
Lat	45.575
Lon	297.35
Alt	36.576
Source	ODR
Link	https://opendatarescue.org
Vbl	skc
Stat	point
Unit	tenths
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1843	01	01	10	00	0	0.00	|	orig=Empty tenths|Local time: sunrise|QC flag: no entry: clear|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	01	13	00	0	8.00	|	orig=10 tenths|Local time: 0900|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	01	19	00	0	8.00	|	orig=10 tenths|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	02	01	00	0	0.00	|	orig=Empty tenths|Local time: 2100|QC flag: no entry: clear|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	02	10	00	0	0.00	|	orig=Empty tenths|Local time: sunrise|QC flag: no entry: clear|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	02	13	00	0	8.00	|	orig=10 tenths|Local time: 0900|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	02	19	00	0	8.00	|	orig=10 tenths|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	03	01	00	0	0.00	|	orig=Empty tenths|Local time: 2100|QC flag: no entry: clear|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	03	10	00	0	0.00	|	orig=Empty tenths|Local time: sunrise|QC flag: no entry: clear|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	03	13	00	0	0.00	|	orig=0 tenths|Local time: 0900|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	03	19	00	0	8.00	|	orig=10 tenths|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	04	01	00	0	8.00	|	orig=10 tenths|Local time: 2100|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	04	10	00	0	0.00	|	orig=Empty tenths|Local time: sunrise|QC flag: no entry: clear|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	04	13	00	0	0.00	|	orig=0 tenths|Local time: 0900|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	04	19	00	0	8.00	|	orig=10 tenths|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	05	01	00	0	8.00	|	orig=10 tenths|Local time: 2100|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	05	10	00	0	0.00	|	orig=Empty tenths|Local time: sunrise|QC flag: no entry: clear|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	05	13	00	0	0.00	|	orig=0 tenths|Local time: 0900|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	05	19	00	0	8.00	|	orig=10 tenths|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	06	01	00	0	8.00	|	orig=10 tenths|Local time: 2100|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	06	10	00	0	0.00	|	orig=Empty tenths|Local time: sunrise|QC flag: no entry: clear|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	06	13	00	0	0.00	|	orig=0 tenths|Local time: 0900|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	06	19	00	0	0.00	|	orig=0 tenths|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	07	01	00	0	0.00	|	orig=Empty tenths|Local time: 2100|QC flag: no entry: clear|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	07	10	00	0	0.00	|	orig=Empty tenths|Local time: sunrise|QC flag: no entry: clear|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	07	13	00	0	0.00	|	orig=0 tenths|Local time: 0900|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	07	19	00	0	0.00	|	orig=0 tenths|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	08	01	00	0	0.00	|	orig=Empty tenths|Local time: 2100|QC flag: no entry: clear|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	08	10	00	0	0.00	|	orig=Empty tenths|Local time: sunrise|QC flag: no entry: clear|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	08	13	00	0	8.00	|	orig=10 tenths|Local time: 0900|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	08	19	00	0	8.00	|	orig=10 tenths|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	09	01	00	0	0.00	|	orig=Empty tenths|Local time: 2100|QC flag: no entry: clear|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	09	10	00	0	0.00	|	orig=Empty tenths|Local time: sunrise|QC flag: no entry: clear|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	09	13	00	0	8.00	|	orig=10 tenths|Local time: 0900|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	09	19	00	0	8.00	|	orig=10 tenths|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	10	01	00	0	0.00	|	orig=Empty tenths|Local time: 2100|QC flag: no entry: clear|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
