SEF	1.0.0
ID	AlbionMinesCanada
Name	AlbionMines
Lat	45.575
Lon	297.35
Alt	36.576
Source	ODR
Link	https://opendatarescue.org
Vbl	tb
Stat	point
Unit	C
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1843	12	05	10	00	0	-8.33	|	orig=17 F|Local time: 0600|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	05	19	00	0	-999	|	orig=damp 12 F|Local time: 1500|QC flag: missing|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	06	10	00	0	-16.11	|	orig=3 F|Local time: 0600|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	06	19	00	0	-17.22	|	orig=1 F|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	07	10	00	0	-13.89	|	orig=7 F|Local time: 0600|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	07	19	00	0	-12.22	|	orig=10 F|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	08	10	00	0	15.56	|	orig=60 F|Local time: 0600|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	08	19	00	0	6.67	|	orig=44 F|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	09	10	00	0	6.11	|	orig=43 F|Local time: 0600|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	09	19	00	0	-4.44	|	orig=24 F|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	10	10	00	0	6.67	|	orig=44 F|Local time: 0600|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	10	19	00	0	-1.11	|	orig=30 F|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	11	10	00	0	-2.22	|	orig=28 F|Local time: 0600|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	11	19	00	0	12.22	|	orig=54 F|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	12	10	00	0	7.78	|	orig=46 F|Local time: 0600|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	12	19	00	0	0.00	|	orig=32 F|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	13	10	00	0	-2.22	|	orig=28 F|Local time: 0600|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	13	19	00	0	-7.78	|	orig=18 F|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	14	10	00	0	-8.33	|	orig=17 F|Local time: 0600|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	14	19	00	0	1.11	|	orig=34 F|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	15	10	00	0	-7.22	|	orig=19 F|Local time: 0600|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	15	19	00	0	-17.78	|	orig=0 F|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	16	10	00	0	-16.11	|	orig=3 F|Local time: 0600|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	16	19	00	0	-999	|	orig=dry 1 F|Local time: 1500|QC flag: missing|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	17	10	00	0	-17.22	|	orig=1 F|Local time: 0600|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	17	19	00	0	-999	|	orig=damp 3 F|Local time: 1500|QC flag: missing|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	18	10	00	0	-11.67	|	orig=11 F|Local time: 0600|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	18	19	00	0	-16.11	|	orig=3 F|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	19	10	00	0	-16.67	|	orig=2 F|Local time: 0600|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	19	19	00	0	-16.67	|	orig=2 F|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	20	10	00	0	-7.22	|	orig=19 F|Local time: 0600|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	20	19	00	0	-7.78	|	orig=18 F|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	21	10	00	0	-12.78	|	orig=9 F|Local time: 0600|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	21	19	00	0	-999	|	orig=dry 5 F|Local time: 1500|QC flag: missing|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	22	10	00	0	-16.67	|	orig=2 F|Local time: 0600|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	22	19	00	0	-999	|	orig=damp 10 F|Local time: 1500|QC flag: missing|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
1843	12	23	10	00	0	-14.44	|	orig=6 F|Local time: 0600|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-12-01_OBS-F.jpg
