SEF	1.0.0
ID	AlbionMinesCanada
Name	AlbionMines
Lat	45.575
Lon	297.35
Alt	36.576
Source	ODR
Link	https://opendatarescue.org
Vbl	ta
Stat	mean
Unit	C
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1844	04	01	00	00	24	-10.97	|	orig=12.25 F|Local time: mean|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1844-04-01_OBS-F.jpg
1844	04	02	00	00	24	-8.19	|	orig=17.25 F|Local time: mean|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1844-04-01_OBS-F.jpg
1844	04	03	00	00	24	-2.22	|	orig=28 F|Local time: mean|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1844-04-01_OBS-F.jpg
1844	04	04	00	00	24	4.44	|	orig=40 F|Local time: mean|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1844-04-01_OBS-F.jpg
1844	04	05	00	00	24	2.50	|	orig=36.5 F|Local time: mean|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1844-04-01_OBS-F.jpg
1844	04	06	00	00	24	0.14	|	orig=32.25 F|Local time: mean|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1844-04-01_OBS-F.jpg
1844	04	07	00	00	24	3.19	|	orig=37.75 F|Local time: mean|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1844-04-01_OBS-F.jpg
1844	04	08	00	00	24	6.39	|	orig=43.5 F|Local time: mean|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1844-04-01_OBS-F.jpg
1844	04	09	00	00	24	8.89	|	orig=48 F|Local time: mean|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1844-04-01_OBS-F.jpg
1844	04	10	00	00	24	6.39	|	orig=43.5 F|Local time: mean|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1844-04-01_OBS-F.jpg
1844	04	11	00	00	24	0.69	|	orig=33.25 F|Local time: mean|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1844-04-01_OBS-F.jpg
1844	04	12	00	00	24	2.78	|	orig=37 F|Local time: mean|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1844-04-01_OBS-F.jpg
1844	04	13	00	00	24	7.08	|	orig=44.75 F|Local time: mean|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1844-04-01_OBS-F.jpg
1844	04	14	00	00	24	10.83	|	orig=51.5 F|Local time: mean|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1844-04-01_OBS-F.jpg
1844	04	15	00	00	24	3.19	|	orig=37.75 F|Local time: mean|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1844-04-01_OBS-F.jpg
1844	04	16	00	00	24	3.75	|	orig=38.75 F|Local time: mean|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1844-04-01_OBS-F.jpg
1844	04	17	00	00	24	5.00	|	orig=41 F|Local time: mean|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1844-04-01_OBS-F.jpg
1844	04	18	00	00	24	-0.69	|	orig=30.75 F|Local time: mean|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1844-04-01_OBS-F.jpg
1844	04	19	00	00	24	3.89	|	orig=39 F|Local time: mean|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1844-04-01_OBS-F.jpg
