SEF	1.0.0
ID	AlbionMinesCanada
Name	AlbionMines
Lat	45.575
Lon	297.35
Alt	36.576
Source	ODR
Link	https://opendatarescue.org
Vbl	rh
Stat	point
Unit	%
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1853	12	03	11	00	0	92.00	|	orig=92 p|Local time: 0700|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	03	18	00	0	96.00	|	orig=96 p|Local time: 1400|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	04	01	00	0	92.00	|	orig=92 p|Local time: 2100|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	04	11	00	0	85.00	|	orig=85 p|Local time: 0700|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	04	18	00	0	77.00	|	orig=77 p|Local time: 1400|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	05	01	00	0	70.00	|	orig=70 p|Local time: 2100|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	05	11	00	0	76.00	|	orig=76 p|Local time: 0700|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	05	18	00	0	70.00	|	orig=70 p|Local time: 1400|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	06	01	00	0	89.00	|	orig=89 p|Local time: 2100|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	06	11	00	0	93.00	|	orig=93 p|Local time: 0700|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	06	18	00	0	72.00	|	orig=72 p|Local time: 1400|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	07	01	00	0	85.00	|	orig=85 p|Local time: 2100|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	07	11	00	0	93.00	|	orig=93 p|Local time: 0700|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	07	18	00	0	87.00	|	orig=87 p|Local time: 1400|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	08	01	00	0	90.00	|	orig=90 p|Local time: 2100|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	08	11	00	0	86.00	|	orig=86 p|Local time: 0700|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	08	18	00	0	61.00	|	orig=61 p|Local time: 1400|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	09	01	00	0	68.00	|	orig=68 p|Local time: 2100|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	09	11	00	0	90.00	|	orig=90 p|Local time: 0700|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	09	18	00	0	72.00	|	orig=72 p|Local time: 1400|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	10	01	00	0	92.00	|	orig=92 p|Local time: 2100|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	10	11	00	0	98.00	|	orig=98 p|Local time: 0700|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	10	18	00	0	51.00	|	orig=51 p|Local time: 1400|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	11	01	00	0	92.00	|	orig=92 p|Local time: 2100|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	11	11	00	0	89.00	|	orig=89 p|Local time: 0700|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	11	18	00	0	81.00	|	orig=81 p|Local time: 1400|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	12	01	00	0	91.00	|	orig=91 p|Local time: 2100|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	12	11	00	0	92.00	|	orig=92 p|Local time: 0700|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	12	18	00	0	80.00	|	orig=80 p|Local time: 1400|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	13	01	00	0	77.00	|	orig=77 p|Local time: 2100|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	13	11	00	0	87.00	|	orig=87 p|Local time: 0700|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	13	18	00	0	87.00	|	orig=87 p|Local time: 1400|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	14	01	00	0	88.00	|	orig=88 p|Local time: 2100|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	14	11	00	0	74.00	|	orig=74 p|Local time: 0700|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	14	18	00	0	88.00	|	orig=88 p|Local time: 1400|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	15	01	00	0	97.00	|	orig=97 p|Local time: 2100|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	15	11	00	0	93.00	|	orig=93 p|Local time: 0700|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	15	18	00	0	64.00	|	orig=64 p|Local time: 1400|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	16	01	00	0	90.00	|	orig=90 p|Local time: 2100|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	16	11	00	0	97.00	|	orig=97 p|Local time: 0700|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	16	18	00	0	64.00	|	orig=64 p|Local time: 1400|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	17	01	00	0	87.00	|	orig=87 p|Local time: 2100|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	17	11	00	0	93.00	|	orig=93 p|Local time: 0700|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	17	18	00	0	80.00	|	orig=80 p|Local time: 1400|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	18	01	00	0	86.00	|	orig=86 p|Local time: 2100|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	18	11	00	0	95.00	|	orig=95 p|Local time: 0700|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	18	18	00	0	98.00	|	orig=98 p|Local time: 1400|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	19	01	00	0	97.00	|	orig=97 p|Local time: 2100|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	19	11	00	0	83.00	|	orig=83 p|Local time: 0700|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	19	18	00	0	72.00	|	orig=72 p|Local time: 1400|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	20	01	00	0	86.00	|	orig=86 p|Local time: 2100|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	20	11	00	0	83.00	|	orig=83 p|Local time: 0700|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	20	18	00	0	94.00	|	orig=94 p|Local time: 1400|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	21	01	00	0	81.00	|	orig=81 p|Local time: 2100|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	21	11	00	0	82.00	|	orig=82 p|Local time: 0700|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	21	18	00	0	54.00	|	orig=54 p|Local time: 1400|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	22	01	00	0	78.00	|	orig=78 p|Local time: 2100|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	22	11	00	0	85.00	|	orig=85 p|Local time: 0700|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	22	18	00	0	63.00	|	orig=63 p|Local time: 1400|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	23	01	00	0	66.00	|	orig=66 p|Local time: 2100|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	23	11	00	0	83.00	|	orig=83 p|Local time: 0700|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
1853	12	23	18	00	0	60.00	|	orig=60 p|Local time: 1400|QC flag: None|Image File: AlbionMines_USSI-101_M1958_1853-12-01_OBS-F.jpg
