SEF	1.0.0
ID	FortAndersonCanada
Name	FortAnderson
Lat	68.5
Lon	231.5
Alt	unknown
Source	ODR
Link	https://opendatarescue.org
Vbl	hd
Stat	point
Unit	deg
Meta		UTCOffset=Applied	UTCOffset=8
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1863	06	02	05	00	0	0	|	orig=North dir|Local time: 2100|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	03	05	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	04	05	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	06	05	00	0	225	|	orig=South-West dir|Local time: 2100|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	08	05	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	09	05	00	0	270	|	orig=West dir|Local time: 2100|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	10	05	00	0	270	|	orig=West dir|Local time: 2100|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	14	05	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	16	05	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	21	05	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	23	05	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	24	05	00	0	0	|	orig=North dir|Local time: 2100|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	25	05	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	07	01	05	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	07	02	05	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	03	05	00	0	315	|	orig=North-West dir|Local time: 2100|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	04	05	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	05	05	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	06	05	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	07	05	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	08	05	00	0	225	|	orig=South-West dir|Local time: 2100|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	09	05	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	10	05	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	11	05	00	0	90	|	orig=East dir|Local time: 2100|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	12	05	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	13	05	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	14	05	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	15	05	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	16	05	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	17	05	00	0	90	|	orig=East dir|Local time: 2100|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	18	05	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
