SEF	1.0.0
ID	FortNelsonCanada
Name	FortNelson
Lat	58.8
Lon	237.3
Alt	400
Source	ODR
Link	https://opendatarescue.org
Vbl	ta
Stat	point
Unit	C
Meta		UTCOffset=Applied	UTCOffset=7
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1821	10	01	14	00	0	23.89	|	orig=75 F|Local time: 0700|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	01	21	00	0	26.11	|	orig=79 F|Local time: 1400|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	02	04	00	0	23.33	|	orig=74 F|Local time: 2100|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	02	14	00	0	22.22	|	orig=72 F|Local time: 0700|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	02	21	00	0	25.56	|	orig=78 F|Local time: 1400|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	03	04	00	0	22.22	|	orig=72 F|Local time: 2100|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	03	14	00	0	22.22	|	orig=72 F|Local time: 0700|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	03	21	00	0	25.56	|	orig=78 F|Local time: 1400|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	04	04	00	0	24.44	|	orig=76 F|Local time: 2100|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	04	14	00	0	21.11	|	orig=70 F|Local time: 0700|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	04	21	00	0	24.44	|	orig=76 F|Local time: 1400|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	05	04	00	0	22.22	|	orig=72 F|Local time: 2100|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	05	14	00	0	17.78	|	orig=64 F|Local time: 0700|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	05	21	00	0	23.33	|	orig=74 F|Local time: 1400|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	06	04	00	0	22.78	|	orig=73 F|Local time: 2100|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	06	14	00	0	20.56	|	orig=69 F|Local time: 0700|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	06	21	00	0	23.33	|	orig=74 F|Local time: 1400|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	07	04	00	0	21.11	|	orig=70 F|Local time: 2100|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	07	14	00	0	22.22	|	orig=72 F|Local time: 0700|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	07	21	00	0	23.33	|	orig=74 F|Local time: 1400|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	08	04	00	0	21.11	|	orig=70 F|Local time: 2100|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	08	14	00	0	22.78	|	orig=73 F|Local time: 0700|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	08	21	00	0	23.89	|	orig=75 F|Local time: 1400|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	09	04	00	0	21.11	|	orig=70 F|Local time: 2100|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	09	14	00	0	17.78	|	orig=64 F|Local time: 0700|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	09	21	00	0	17.78	|	orig=64 F|Local time: 1400|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	10	04	00	0	18.89	|	orig=66 F|Local time: 2100|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	10	14	00	0	14.44	|	orig=58 F|Local time: 0700|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
1821	10	10	21	00	0	17.22	|	orig=63 F|Local time: 1400|QC flag: None|Image File: FortNelson_CUS-100_M1958_1821-10-01_OBS-F.jpg
