SEF	1.0.0
ID	FortNormanCanada
Name	FortNorman
Lat	64.92
Lon	234.5
Alt	unknown
Source	ODR
Link	https://opendatarescue.org
Vbl	pr
Stat	point
Unit	mm
Meta		UTCOffset=Applied	UTCOffset=7
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1862	01	01	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	02	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	03	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	04	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	05	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	06	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	07	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	08	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	09	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	10	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	11	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	12	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	13	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
