SEF	1.0.0
ID	FortNormanCanada
Name	FortNorman
Lat	64.92
Lon	234.5
Alt	unknown
Source	ODR
Link	https://opendatarescue.org
Vbl	ta
Stat	point
Unit	C
Meta		UTCOffset=Applied	UTCOffset=7
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1862	01	01	14	00	0	-26.11	|	orig=-15 F|Local time: 0700|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	01	21	00	0	-25.00	|	orig=-13 F|Local time: 1400|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	02	04	00	0	-25.56	|	orig=-14 F|Local time: 2100|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	02	14	00	0	-25.00	|	orig=-13 F|Local time: 0700|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	02	21	00	0	-24.44	|	orig=-12 F|Local time: 1400|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	03	04	00	0	-26.67	|	orig=-16 F|Local time: 2100|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	03	14	00	0	-21.67	|	orig=-7 F|Local time: 0700|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	03	21	00	0	-13.89	|	orig=7 F|Local time: 1400|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	04	04	00	0	-13.89	|	orig=7 F|Local time: 2100|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	04	14	00	0	-16.67	|	orig=2 F|Local time: 0700|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	04	21	00	0	-16.67	|	orig=2 F|Local time: 1400|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	05	04	00	0	-27.22	|	orig=-17 F|Local time: 2100|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	05	14	00	0	-22.22	|	orig=-8 F|Local time: 0700|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	05	21	00	0	-18.89	|	orig=-2 F|Local time: 1400|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	06	04	00	0	-21.67	|	orig=-7 F|Local time: 2100|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	06	14	00	0	-22.22	|	orig=-8 F|Local time: 0700|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	06	21	00	0	-22.78	|	orig=-9 F|Local time: 1400|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	07	04	00	0	-23.33	|	orig=-10 F|Local time: 2100|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	07	14	00	0	-33.33	|	orig=-28 F|Local time: 0700|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	07	21	00	0	-37.22	|	orig=-35 F|Local time: 1400|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	08	04	00	0	-37.22	|	orig=-35 F|Local time: 2100|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	08	14	00	0	-27.78	|	orig=-18 F|Local time: 0700|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	08	21	00	0	-27.78	|	orig=-18 F|Local time: 1400|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	09	04	00	0	-26.11	|	orig=-15 F|Local time: 2100|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	09	14	00	0	-27.78	|	orig=-18 F|Local time: 0700|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	09	21	00	0	-25.56	|	orig=-14 F|Local time: 1400|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	10	04	00	0	-30.56	|	orig=-23 F|Local time: 2100|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	10	14	00	0	-24.17	|	orig=-11.5 F|Local time: 0700|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	10	21	00	0	-27.78	|	orig=-18 F|Local time: 1400|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	11	04	00	0	-32.22	|	orig=-26 F|Local time: 2100|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	11	14	00	0	-38.06	|	orig=-36.5 F|Local time: 0700|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	11	21	00	0	-36.67	|	orig=-34 F|Local time: 1400|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	12	04	00	0	-37.22	|	orig=-35 F|Local time: 2100|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	12	14	00	0	-37.22	|	orig=-35 F|Local time: 0700|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	12	21	00	0	-33.33	|	orig=-28 F|Local time: 1400|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	13	04	00	0	-31.11	|	orig=-24 F|Local time: 2100|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	13	14	00	0	-31.11	|	orig=-24 F|Local time: 0700|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	13	21	00	0	-30.00	|	orig=-22 F|Local time: 1400|QC flag: None|Image File: FortNorman_USSI-206_M1958_1862-01-01_OBS-F.jpg
