SEF	1.0.0
ID	FortPeelRiverCanada
Name	FortPeelRiver
Lat	67.43
Lon	225
Alt	32
Source	ODR
Link	https://opendatarescue.org
Vbl	pr
Stat	point
Unit	mm
Meta		UTCOffset=Applied	UTCOffset=7
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1863	03	01	07	00	0	25.40	|	orig=1 in|Local time: 0000|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	02	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	03	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	04	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	05	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	06	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	07	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	08	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	09	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	10	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	11	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	12	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	13	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	14	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	15	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	16	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	17	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	18	07	00	0	-999	|	orig=1/16 in|Local time: 0000|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	19	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	20	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	21	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	22	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	23	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	24	07	00	0	0.23	|	orig=inapp in|Local time: 0000|QC flag: trace|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	25	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	26	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	27	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	28	07	00	0	0.23	|	orig=3 inches in|Local time: 0000|QC flag: trace|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	29	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	30	07	00	0	-999	|	orig=1/8 in|Local time: 0000|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	03	31	07	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: FortPeelRiver_USSI-206_M1958_1863-03-01_OBS-F.jpg
1863	04	01	07	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-04-01_OBS-F.jpg
1863	04	02	07	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-04-01_OBS-F.jpg
