SEF	1.0.0
ID	FortRaeCanada
Name	FortRae
Lat	62.81
Lon	244
Alt	unknown
Source	ODR
Link	https://opendatarescue.org
Vbl	pte
Stat	point
Unit	hour
Meta		UTCOffset=Applied	UTCOffset=7
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1859	10	01	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: FortRae_USSI-201_M1958_1859-10-01_OBS-L.jpg
1859	10	02	00	00	24	9am	|	orig=9am hr|Local time: mean|QC flag: None|Image File: FortRae_USSI-201_M1958_1859-10-01_OBS-L.jpg
1859	10	03	00	00	24	3am	|	orig=3am hr|Local time: mean|QC flag: None|Image File: FortRae_USSI-201_M1958_1859-10-01_OBS-L.jpg
1859	10	04	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: FortRae_USSI-201_M1958_1859-10-01_OBS-L.jpg
1859	10	05	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: FortRae_USSI-201_M1958_1859-10-01_OBS-L.jpg
1859	10	06	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: FortRae_USSI-201_M1958_1859-10-01_OBS-L.jpg
1859	10	07	00	00	24	-999	|	orig=- hr|Local time: mean|QC flag: None|Image File: FortRae_USSI-201_M1958_1859-10-01_OBS-L.jpg
1859	10	08	00	00	24	-999	|	orig=- hr|Local time: mean|QC flag: None|Image File: FortRae_USSI-201_M1958_1859-10-01_OBS-L.jpg
1859	10	09	00	00	24	-999	|	orig=- hr|Local time: mean|QC flag: None|Image File: FortRae_USSI-201_M1958_1859-10-01_OBS-L.jpg
1859	10	10	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: FortRae_USSI-201_M1958_1859-10-01_OBS-L.jpg
1861	09	10	00	00	24	4 pm	|	orig=4 pm hr|Local time: mean|QC flag: None|Image File: FortRae_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	21	00	00	24	12	|	orig=12 hr|Local time: mean|QC flag: None|Image File: FortRae_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	09	24	00	00	24	2 pm	|	orig=2 pm hr|Local time: mean|QC flag: None|Image File: FortRae_USSI-206_M1958_1861-09-01_OBS-F.jpg
1861	10	12	00	00	24	4 pm	|	orig=4 pm hr|Local time: mean|QC flag: None|Image File: FortRae_USSI-206_M1958_1861-10-01_OBS-F.jpg
1861	10	16	00	00	24	11 am	|	orig=11 am hr|Local time: mean|QC flag: None|Image File: FortRae_USSI-206_M1958_1861-10-01_OBS-F.jpg
1861	10	21	00	00	24	1 pm	|	orig=1 pm hr|Local time: mean|QC flag: None|Image File: FortRae_USSI-206_M1958_1861-10-01_OBS-F.jpg
1861	10	26	00	00	24	6 pm	|	orig=6 pm hr|Local time: mean|QC flag: None|Image File: FortRae_USSI-206_M1958_1861-10-01_OBS-F.jpg
1861	11	03	00	00	24	3pm	|	orig=3pm hr|Local time: mean|QC flag: None|Image File: FortRae_USSI-206_M1958_1861-11-01_OBS-F.jpg
1861	11	05	00	00	24	7pm	|	orig=7pm hr|Local time: mean|QC flag: None|Image File: FortRae_USSI-206_M1958_1861-11-01_OBS-F.jpg
1861	11	07	00	00	24	11 1/2 [11:30]am	|	orig=11 1/2 [11:30]am hr|Local time: mean|QC flag: None|Image File: FortRae_USSI-206_M1958_1861-11-01_OBS-F.jpg
1861	11	08	00	00	24	6 1/2 [6:30]pm	|	orig=6 1/2 [6:30]pm hr|Local time: mean|QC flag: None|Image File: FortRae_USSI-206_M1958_1861-11-01_OBS-F.jpg
