SEF	1.0.0
ID	FortSimpsonCanada
Name	FortSimpson
Lat	61.85
Lon	238.58
Alt	90
Source	ODR
Link	https://opendatarescue.org
Vbl	ww
Stat	point
Unit	manual observation
Meta		UTCOffset=Applied	UTCOffset=7
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1859	09	01	00	00	24	HZ	|	orig=Auroral haze of a bright rose colour, inactive, apparent from dark until the time (11 PM) in the S mno|Local time: daily|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_CP.jpg
1859	09	02	00	00	24	AU	|	orig=Enter from SE to NE south of Zenith - Auroral rays and patches from dark onwards mno|Local time: daily|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_CP.jpg
1859	09	02	00	00	24	HZ	|	orig=Auroral Arch complete at 10 PM altitude about 40 degrees. Colour faint yellow. active. dark haze in N below arch - mno|Local time: daily|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_CP.jpg
1859	09	03	00	00	24	AU	|	orig=Auroral patches and streamers and rays from dark onwards. brightest in the north mno|Local time: daily|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_CP.jpg
1859	09	04	00	00	24	AU	|	orig=Faint auroral streamers in S all night mno|Local time: daily|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_CP.jpg
1859	09	05	00	00	24	AU	|	orig=Bright display of Aurora from dark onwards. Incomplete arch in South and bright beams and bands in the north at 10 1/2 PM mno|Local time: daily|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_CP.jpg
1859	09	05	00	00	24	PARSEL	|	orig=Bright and complete paraselene  Ursa major at midnight. colours pink and various shades of yellow remarkably active very vivid mno|Local time: daily|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_CP.jpg
1859	09	07	00	00	24	RA	|	orig=light rain mno|Local time: daily|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	08	00	00	24	RA	|	orig=heavy rain mno|Local time: daily|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	09	00	00	24	AU	|	orig=Faint aurora at 10 PM (moonlight) mno|Local time: daily|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_CP.jpg
1859	09	11	00	00	24	AU	|	orig=Faint aurora in S from star set onwards (s0) mno|Local time: daily|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_CP.jpg
1859	09	13	00	00	24	RA	|	orig=heavy rain mno|Local time: daily|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	14	00	00	24	RA	|	orig=light rain mno|Local time: daily|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
