SEF	1.0.0
ID	FortSimpsonCanada
Name	FortSimpson
Lat	61.85
Lon	238.58
Alt	90
Source	ODR
Link	https://opendatarescue.org
Vbl	ta
Stat	point
Unit	C
Meta		UTCOffset=Applied	UTCOffset=7
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1859	09	01	14	00	0	11.11	|	orig=52 F|Local time: 0700|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	01	21	00	0	16.67	|	orig=62 F|Local time: 1400|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	02	04	00	0	10.00	|	orig=50 F|Local time: 2100|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	03	14	00	0	7.22	|	orig=45 F|Local time: 0700|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	03	21	00	0	21.11	|	orig=70 F|Local time: 1400|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	04	04	00	0	11.11	|	orig=52 F|Local time: 2100|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	04	14	00	0	10.00	|	orig=50 F|Local time: 0700|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	04	21	00	0	20.00	|	orig=68 F|Local time: 1400|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	05	04	00	0	19.44	|	orig=67 F|Local time: 2100|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	05	14	00	0	8.33	|	orig=47 F|Local time: 0700|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
1859	09	05	21	00	0	14.44	|	orig=58 F|Local time: 1400|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-L.jpg
