SEF	1.0.0
ID	HalifaxCitadelHillCanada
Name	HalifaxCH
Lat	44.65
Lon	296.39
Alt	51.5
Source	ODR
Link	https://opendatarescue.org
Vbl	e
Stat	point
Unit	hPa
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1874	10	01	13	00	0	13.75	|	orig=0.406 inHg|Local time: 0900|QC flag: none|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	02	01	00	0	14.87	|	orig=0.439 inHg|Local time: 2100|QC flag: none|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	02	13	00	0	10.90	|	orig=0.322 inHg|Local time: 0900|QC flag: none|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	03	01	00	0	11.65	|	orig=0.344 inHg|Local time: 2100|QC flag: none|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	03	13	00	0	12.36	|	orig=0.365 inHg|Local time: 0900|QC flag: none|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	04	01	00	0	13.78	|	orig=0.407 inHg|Local time: 2100|QC flag: none|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	04	13	00	0	9.11	|	orig=0.269 inHg|Local time: 0900|QC flag: none|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	05	01	00	0	8.33	|	orig=0.246 inHg|Local time: 2100|QC flag: none|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	05	13	00	0	10.29	|	orig=0.304 inHg|Local time: 0900|QC flag: none|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	06	01	00	0	10.33	|	orig=0.305 inHg|Local time: 2100|QC flag: none|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	06	13	00	0	8.80	|	orig=0.260 inHg|Local time: 0900|QC flag: none|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	07	01	00	0	9.04	|	orig=0.267 inHg|Local time: 2100|QC flag: none|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	07	13	00	0	10.26	|	orig=0.303 inHg|Local time: 0900|QC flag: none|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	08	01	00	0	11.38	|	orig=0.336 inHg|Local time: 2100|QC flag: none|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
