SEF	1.0.0
ID	HalifaxDockyardsCanada
Name	HalifaxDY
Lat	44.65
Lon	296.39
Alt	51.5
Source	ODR
Link	https://opendatarescue.org
Vbl	atb
Stat	point
Unit	C
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1854	10	19	11	00	0	6.67	|	orig=44.0 F|Local time: 0700|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	19	18	00	0	6.67	|	orig=44.0 F|Local time: 1400|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	20	01	00	0	7.22	|	orig=45.0 F|Local time: 2100|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	20	11	00	0	4.44	|	orig=40.0 F|Local time: 0700|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	20	18	00	0	8.33	|	orig=47.0 F|Local time: 1400|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	21	01	00	0	10.00	|	orig=50.0 F|Local time: 2100|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	21	11	00	0	6.67	|	orig=44.0 F|Local time: 0700|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	21	18	00	0	9.44	|	orig=49.0 F|Local time: 1400|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	22	01	00	0	11.11	|	orig=52.0 F|Local time: 2100|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	22	11	00	0	5.56	|	orig=42.0 F|Local time: 0700|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	22	18	00	0	10.00	|	orig=50.0 F|Local time: 1400|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	23	01	00	0	11.11	|	orig=52.0 F|Local time: 2100|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	23	11	00	0	6.11	|	orig=43 F|Local time: 0700|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	23	18	00	0	7.78	|	orig=46 F|Local time: 1400|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	24	01	00	0	7.78	|	orig=46 F|Local time: 2100|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	24	11	00	0	3.33	|	orig=38 F|Local time: 0700|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	24	18	00	0	6.67	|	orig=44 F|Local time: 1400|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	25	01	00	0	8.33	|	orig=47 F|Local time: 2100|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	25	11	00	0	8.33	|	orig=47 F|Local time: 0700|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	25	18	00	0	11.67	|	orig=53 F|Local time: 1400|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	26	01	00	0	13.33	|	orig=56 F|Local time: 2100|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	26	11	00	0	7.78	|	orig=46 F|Local time: 0700|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	26	18	00	0	7.22	|	orig=45 F|Local time: 1400|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	27	01	00	0	8.89	|	orig=48 F|Local time: 2100|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	27	11	00	0	5.56	|	orig=42 F|Local time: 0700|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
1854	10	27	18	00	0	8.89	|	orig=48 F|Local time: 1400|QC flag: None|Image File: Halifax-DY_CUS-115_UKMO_1854-10-19_1854-11-01_OBS-F.png
