SEF	1.0.0
ID	HalifaxRECanada
Name	HalifaxRE
Lat	44.65
Lon	296.39
Alt	51.5
Source	ODR
Link	https://opendatarescue.org
Vbl	tb
Stat	mean
Unit	C
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1852	08	01	00	00	24	16.03	|	orig=60.85 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	02	00	00	24	17.44	|	orig=63.40 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	03	00	00	24	15.53	|	orig=59.95 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	04	00	00	24	15.89	|	orig=60.60 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	05	00	00	24	15.75	|	orig=60.35 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	06	00	00	24	16.67	|	orig=62.0 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	07	00	00	24	17.06	|	orig=62.70 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	08	00	00	24	16.58	|	orig=61.85 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	09	00	00	24	16.31	|	orig=61.35 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	10	00	00	24	17.00	|	orig=62.60 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	11	00	00	24	14.69	|	orig=58.45 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	12	00	00	24	13.25	|	orig=55.85 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	13	00	00	24	15.69	|	orig=60.25 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	14	00	00	24	16.28	|	orig=61.30 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	15	00	00	24	16.58	|	orig=61.85 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	16	00	00	24	11.94	|	orig=53.50 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	17	00	00	24	-999	|	orig=- F|Local time: mean|QC flag: missing|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	18	00	00	24	13.72	|	orig=56.70 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	19	00	00	24	15.83	|	orig=60.50 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	20	00	00	24	12.75	|	orig=54.95 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	21	00	00	24	12.92	|	orig=55.25 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	22	00	00	24	12.94	|	orig=55.30 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	23	00	00	24	12.97	|	orig=55.35 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	24	00	00	24	14.03	|	orig=57.25 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	25	00	00	24	16.19	|	orig=61.15 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	26	00	00	24	17.61	|	orig=63.70 F|Local time: mean|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
