SEF	1.0.0
ID	HarbourGraceCanada
Name	HarbourGrace
Lat	47.68
Lon	306.78
Alt	18.3
Source	ODR
Link	https://opendatarescue.org
Vbl	pr
Stat	point
Unit	none
Meta		UTCOffset=Applied	UTCOffset=3.5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1871	11	02	04	30	0	rain	|	orig=Rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	26	04	30	0	rain	|	orig=Rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	28	04	30	0	s	|	orig=S text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	29	04	30	0	s	|	orig=S text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1872	07	01	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	11	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	12	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	13	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	18	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	22	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	23	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	25	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	26	04	30	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	27	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	28	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	29	04	30	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	30	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	31	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	08	01	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	05	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	06	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	08	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	11	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	14	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	15	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	16	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	18	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	19	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	20	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	23	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	24	04	30	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	25	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	26	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	28	04	30	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	29	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	30	04	30	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	31	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	09	01	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-09-01_OBS-L.jpg
1872	09	04	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-09-01_OBS-L.jpg
1872	09	05	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-09-01_OBS-L.jpg
1872	09	08	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-09-01_OBS-L.jpg
1872	09	10	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-09-01_OBS-L.jpg
1872	09	11	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-09-01_OBS-L.jpg
1872	09	16	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-09-01_OBS-L.jpg
1872	09	19	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-09-01_OBS-L.jpg
1872	09	20	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-09-01_OBS-L.jpg
1872	09	21	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-09-01_OBS-L.jpg
1872	09	22	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-09-01_OBS-L.jpg
1872	09	28	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-09-01_OBS-L.jpg
1872	09	29	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-09-01_OBS-L.jpg
1872	09	30	04	30	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-09-01_OBS-L.jpg
1872	10	01	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-10-01_OBS-L.jpg
1872	10	02	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-10-01_OBS-L.jpg
1872	10	04	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-10-01_OBS-L.jpg
