SEF	1.0.0
ID	HarbourGraceCanada
Name	HarbourGrace
Lat	47.68
Lon	306.78
Alt	18.3
Source	ODR
Link	https://opendatarescue.org
Vbl	cd
Stat	point
Unit	deg
Meta		UTCOffset=Applied	UTCOffset=3.5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1872	07	18	11	30	0	270	|	orig=West dir|Local time: 0700|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	18	18	30	0	270	|	orig=West dir|Local time: 1400|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	19	11	30	0	270	|	orig=West dir|Local time: 0700|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	19	18	30	0	315	|	orig=North-West dir|Local time: 1400|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	20	11	30	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	21	18	30	0	315	|	orig=North-West dir|Local time: 1400|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	22	11	30	0	315	|	orig=North-West dir|Local time: 0700|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	22	18	30	0	315	|	orig=North-West dir|Local time: 1400|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	24	18	30	0	315	|	orig=North-West dir|Local time: 1400|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	26	11	30	0	270	|	orig=West dir|Local time: 0700|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	26	18	30	0	270	|	orig=West dir|Local time: 1400|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	27	11	30	0	315	|	orig=North-West dir|Local time: 0700|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	27	18	30	0	135	|	orig=South-East dir|Local time: 1400|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	28	11	30	0	225	|	orig=South-West dir|Local time: 0700|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	28	18	30	0	225	|	orig=South-West dir|Local time: 1400|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	29	11	30	0	315	|	orig=North-West dir|Local time: 0700|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	30	11	30	0	270	|	orig=West dir|Local time: 0700|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	30	18	30	0	270	|	orig=West dir|Local time: 1400|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	31	18	30	0	270	|	orig=West dir|Local time: 1400|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
