SEF	1.0.0
ID	HarbourGraceCanada
Name	HarbourGrace
Lat	47.68
Lon	306.78
Alt	18.3
Source	ODR
Link	https://opendatarescue.org
Vbl	sd
Stat	point
Unit	mm
Meta		UTCOffset=Applied	UTCOffset=3.5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1872	07	27	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	30	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	31	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	10	01	00	00	24	0.23	|	orig=inap in|Local time: daily|QC flag: trace|Image File: HarbourGrace_USSI-401_M1958_1872-10-01_OBS-L.jpg
1872	10	03	00	00	24	4.32	|	orig=0.17 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-10-01_OBS-L.jpg
1872	10	04	00	00	24	21.08	|	orig=0.83 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-10-01_OBS-L.jpg
1872	10	09	00	00	24	0.23	|	orig=inap in|Local time: daily|QC flag: trace|Image File: HarbourGrace_USSI-401_M1958_1872-10-01_OBS-L.jpg
1872	10	10	00	00	24	44.96	|	orig=1.77 in|Local time: daily|QC flag: high value|Image File: HarbourGrace_USSI-401_M1958_1872-10-01_OBS-L.jpg
1872	10	11	00	00	24	16.51	|	orig=0.65 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-10-01_OBS-L.jpg
1872	10	12	00	00	24	12.19	|	orig=0.48 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-10-01_OBS-L.jpg
1872	10	15	00	00	24	17.78	|	orig=0.70 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-10-01_OBS-L.jpg
1872	10	16	00	00	24	3.81	|	orig=0.15 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-10-01_OBS-L.jpg
1872	10	17	00	00	24	0.25	|	orig=0.01 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-10-01_OBS-L.jpg
1872	10	19	00	00	24	20.83	|	orig=0.82 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-10-01_OBS-L.jpg
1872	10	20	00	00	24	2.54	|	orig=0.10 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-10-01_OBS-L.jpg
1872	10	21	00	00	24	0.25	|	orig=0.01 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-10-01_OBS-L.jpg
1872	10	22	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: HarbourGrace_USSI-401_M1958_1872-10-01_OBS-L.jpg
1872	10	24	00	00	24	0.25	|	orig=0.01 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-10-01_OBS-L.jpg
1872	10	25	00	00	24	-999	|	orig=Retracted in|Local time: daily|QC flag: missing|Image File: HarbourGrace_USSI-401_M1958_1872-10-01_OBS-L.jpg
1872	10	27	00	00	24	0.25	|	orig=0.01 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-10-01_OBS-L.jpg
1872	10	28	00	00	24	1.27	|	orig=0.05 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-10-01_OBS-L.jpg
1872	11	03	00	00	24	0.23	|	orig=inap in|Local time: daily|QC flag: trace|Image File: HarbourGrace_USSI-401_M1958_1872-11-01_OBS-L.jpg
1872	11	04	00	00	24	0.76	|	orig=0.03 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-11-01_OBS-L.jpg
1872	11	05	00	00	24	0.51	|	orig=0.02 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-11-01_OBS-L.jpg
1872	11	10	00	00	24	0.25	|	orig=0.01 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-11-01_OBS-L.jpg
1872	11	17	00	00	24	0.76	|	orig=0.03 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-11-01_OBS-L.jpg
1872	11	18	00	00	24	0.76	|	orig=0.03 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-11-01_OBS-L.jpg
1872	11	21	00	00	24	0.23	|	orig=inap in|Local time: daily|QC flag: trace|Image File: HarbourGrace_USSI-401_M1958_1872-11-01_OBS-L.jpg
1872	11	23	00	00	24	15.24	|	orig=0.60 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-11-01_OBS-L.jpg
1872	11	24	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: HarbourGrace_USSI-401_M1958_1872-11-01_OBS-L.jpg
1872	11	25	00	00	24	1.02	|	orig=0.04 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-11-01_OBS-L.jpg
1872	11	26	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: HarbourGrace_USSI-401_M1958_1872-11-01_OBS-L.jpg
1872	11	27	00	00	24	0.51	|	orig=0.02 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-11-01_OBS-L.jpg
1872	11	28	00	00	24	0.25	|	orig=0.01 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-11-01_OBS-L.jpg
1872	12	01	00	00	24	2.03	|	orig=0.08 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-12-01_OBS-L.jpg
1872	12	05	00	00	24	0.51	|	orig=0.02 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-12-01_OBS-L.jpg
1872	12	07	00	00	24	4.57	|	orig=0.18 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-12-01_OBS-L.jpg
1872	12	10	00	00	24	0.23	|	orig=inap in|Local time: daily|QC flag: trace|Image File: HarbourGrace_USSI-401_M1958_1872-12-01_OBS-L.jpg
1872	12	11	00	00	24	0.51	|	orig=0.02 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-12-01_OBS-L.jpg
1872	12	13	00	00	24	9.40	|	orig=0.37 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-12-01_OBS-L.jpg
1872	12	15	00	00	24	0.51	|	orig=0.02 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-12-01_OBS-L.jpg
1872	12	18	00	00	24	8.64	|	orig=0.34 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-12-01_OBS-L.jpg
1872	12	19	00	00	24	22.10	|	orig=0.87 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-12-01_OBS-L.jpg
1872	12	21	00	00	24	4.32	|	orig=0.17 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-12-01_OBS-L.jpg
1872	12	22	00	00	24	5.33	|	orig=0.21 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-12-01_OBS-L.jpg
1872	12	23	00	00	24	0.25	|	orig=0.01 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-12-01_OBS-L.jpg
1872	12	25	00	00	24	16.51	|	orig=0.65 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-12-01_OBS-L.jpg
1872	12	26	00	00	24	0.23	|	orig=inap in|Local time: daily|QC flag: trace|Image File: HarbourGrace_USSI-401_M1958_1872-12-01_OBS-L.jpg
1872	12	27	00	00	24	20.32	|	orig=0.80 in|Local time: daily|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-12-01_OBS-L.jpg
