SEF	1.0.0
ID	HatleyCanada
Name	Hatley
Lat	45.3
Lon	288.05
Alt	250
Source	ODR
Link	https://opendatarescue.org
Vbl	dd
Stat	point
Unit	deg
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1836	02	01	11	00	0	270	|	orig=West dir|Local time: 0600|QC flag: None|Image File: Hatley_CUS-120_FORTS_1836-02-01_OBS-F.png
1836	02	01	19	00	0	270	|	orig=West dir|Local time: 1400|QC flag: None|Image File: Hatley_CUS-120_FORTS_1836-02-01_OBS-F.png
1836	02	02	02	00	0	270	|	orig=West dir|Local time: 2100|QC flag: None|Image File: Hatley_CUS-120_FORTS_1836-02-01_OBS-F.png
1836	02	02	11	00	0	315	|	orig=North-West dir|Local time: 0600|QC flag: None|Image File: Hatley_CUS-120_FORTS_1836-02-01_OBS-F.png
1836	02	02	19	00	0	315	|	orig=North-West dir|Local time: 1400|QC flag: None|Image File: Hatley_CUS-120_FORTS_1836-02-01_OBS-F.png
1836	02	03	02	00	0	270	|	orig=West dir|Local time: 2100|QC flag: None|Image File: Hatley_CUS-120_FORTS_1836-02-01_OBS-F.png
1836	02	03	11	00	0	225	|	orig=South-West dir|Local time: 0600|QC flag: None|Image File: Hatley_CUS-120_FORTS_1836-02-01_OBS-F.png
1836	02	03	19	00	0	270	|	orig=West dir|Local time: 1400|QC flag: None|Image File: Hatley_CUS-120_FORTS_1836-02-01_OBS-F.png
1836	02	04	02	00	0	270	|	orig=West dir|Local time: 2100|QC flag: None|Image File: Hatley_CUS-120_FORTS_1836-02-01_OBS-F.png
1836	02	04	11	00	0	0	|	orig=North dir|Local time: 0600|QC flag: None|Image File: Hatley_CUS-120_FORTS_1836-02-01_OBS-F.png
1836	02	04	19	00	0	0	|	orig=North dir|Local time: 1400|QC flag: None|Image File: Hatley_CUS-120_FORTS_1836-02-01_OBS-F.png
1836	02	05	02	00	0	0	|	orig=North dir|Local time: 2100|QC flag: None|Image File: Hatley_CUS-120_FORTS_1836-02-01_OBS-F.png
1836	02	05	11	00	0	0	|	orig=North dir|Local time: 0600|QC flag: None|Image File: Hatley_CUS-120_FORTS_1836-02-01_OBS-F.png
1836	02	05	19	00	0	0	|	orig=North dir|Local time: 1400|QC flag: None|Image File: Hatley_CUS-120_FORTS_1836-02-01_OBS-F.png
1836	02	06	02	00	0	0	|	orig=North dir|Local time: 2100|QC flag: None|Image File: Hatley_CUS-120_FORTS_1836-02-01_OBS-F.png
