SEF	1.0.0
ID	KingstonCanada
Name	Kingston
Lat	44.235
Lon	283.47
Alt	85.3
Source	ODR
Link	https://opendatarescue.org
Vbl	ta
Stat	mean
Unit	C
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1853	09	01	00	00	24	19.44	|	orig=67.0 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	02	00	00	24	20.83	|	orig=69.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	03	00	00	24	24.44	|	orig=76.0 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	04	00	00	24	23.89	|	orig=75.0 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	05	00	00	24	25.00	|	orig=77.0 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	06	00	00	24	26.11	|	orig=79.0 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	07	00	00	24	16.11	|	orig=61.0 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	08	00	00	24	15.28	|	orig=59.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	09	00	00	24	18.33	|	orig=65.0 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	10	00	00	24	15.00	|	orig=59.0 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	11	00	00	24	12.22	|	orig=54.0 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	12	00	00	24	11.94	|	orig=53.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	13	00	00	24	17.78	|	orig=64.0 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	14	00	00	24	16.94	|	orig=62.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	15	00	00	24	15.83	|	orig=60.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	16	00	00	24	14.78	|	orig=58.6 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	17	00	00	24	18.33	|	orig=65.0 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	18	00	00	24	21.39	|	orig=70.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	19	00	00	24	23.61	|	orig=74.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	20	00	00	24	18.61	|	orig=65.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	21	00	00	24	18.06	|	orig=64.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	22	00	00	24	13.06	|	orig=55.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	23	00	00	24	11.39	|	orig=52.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	24	00	00	24	17.50	|	orig=63.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	25	00	00	24	7.22	|	orig=45.0 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	26	00	00	24	9.44	|	orig=49.0 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	27	00	00	24	3.61	|	orig=38.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	28	00	00	24	5.83	|	orig=42.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	29	00	00	24	4.44	|	orig=40.0 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	30	00	00	24	5.28	|	orig=41.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	11	01	00	00	24	6.94	|	orig=44.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	02	00	00	24	3.33	|	orig=38 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	03	00	00	24	3.61	|	orig=38.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	04	00	00	24	-0.44	|	orig=31.2 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	05	00	00	24	-1.11	|	orig=30.0 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	06	00	00	24	-2.22	|	orig=28 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	07	00	00	24	1.67	|	orig=35 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	08	00	00	24	8.89	|	orig=48 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	09	00	00	24	1.39	|	orig=34.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	10	00	00	24	1.39	|	orig=34.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	11	00	00	24	7.78	|	orig=46 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	12	00	00	24	12.50	|	orig=54.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	13	00	00	24	7.22	|	orig=45 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	14	00	00	24	6.39	|	orig=43.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	15	00	00	24	4.44	|	orig=40 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	16	00	00	24	4.72	|	orig=40.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	17	00	00	24	4.17	|	orig=39.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	18	00	00	24	7.78	|	orig=46 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	19	00	00	24	6.94	|	orig=44.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	20	00	00	24	3.89	|	orig=39 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	21	00	00	24	5.56	|	orig=42 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	22	00	00	24	6.39	|	orig=43.5 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	23	00	00	24	-1.83	|	orig=28.7 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	24	00	00	24	-10.00	|	orig=14 F|Local time: mean|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
