SEF	1.0.0
ID	KingstonCanada
Name	Kingston
Lat	44.235
Lon	283.47
Alt	85.3
Source	ODR
Link	https://opendatarescue.org
Vbl	w
Stat	point
Unit	mps
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1853	11	01	20	00	0	0	|	orig=Empty lbsft|Local time: 1500|QC flag: no entry: calm|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	02	14	00	0	-999	|	orig=- lbsft|Local time: 0900|QC flag: missing|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	02	20	00	0	-999	|	orig=- lbsft|Local time: 1500|QC flag: missing|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	03	14	00	0	-999	|	orig=- lbsft|Local time: 0900|QC flag: missing|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	03	20	00	0	-999	|	orig=- lbsft|Local time: 1500|QC flag: missing|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	04	14	00	0	0	|	orig=Empty lbsft|Local time: 0900|QC flag: no entry: calm|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	04	20	00	0	-999	|	orig=- lbsft|Local time: 1500|QC flag: missing|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	05	14	00	0	0	|	orig=Empty lbsft|Local time: 0900|QC flag: no entry: calm|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	05	20	00	0	-999	|	orig=- lbsft|Local time: 1500|QC flag: missing|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	06	14	00	0	0	|	orig=Empty lbsft|Local time: 0900|QC flag: no entry: calm|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	06	20	00	0	-999	|	orig=- lbsft|Local time: 1500|QC flag: missing|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	07	14	00	0	0	|	orig=Empty lbsft|Local time: 0900|QC flag: no entry: calm|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	07	20	00	0	-999	|	orig=- lbsft|Local time: 1500|QC flag: missing|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	08	14	00	0	0	|	orig=Empty lbsft|Local time: 0900|QC flag: no entry: calm|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	08	20	00	0	-999	|	orig=- lbsft|Local time: 1500|QC flag: missing|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	09	14	00	0	0	|	orig=Empty lbsft|Local time: 0900|QC flag: no entry: calm|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	09	20	00	0	-999	|	orig=- lbsft|Local time: 1500|QC flag: missing|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	10	14	00	0	0	|	orig=Empty lbsft|Local time: 0900|QC flag: no entry: calm|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	10	20	00	0	-999	|	orig=- lbsft|Local time: 1500|QC flag: missing|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	11	14	00	0	0	|	orig=Empty lbsft|Local time: 0900|QC flag: no entry: calm|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	11	20	00	0	-999	|	orig=- lbsft|Local time: 1500|QC flag: missing|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	12	14	00	0	0	|	orig=Empty lbsft|Local time: 0900|QC flag: no entry: calm|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	12	20	00	0	-999	|	orig=- lbsft|Local time: 1500|QC flag: missing|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	13	14	00	0	0	|	orig=Empty lbsft|Local time: 0900|QC flag: no entry: calm|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	13	20	00	0	-999	|	orig=- lbsft|Local time: 1500|QC flag: missing|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	14	14	00	0	0	|	orig=Empty lbsft|Local time: 0900|QC flag: no entry: calm|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	14	20	00	0	-999	|	orig=- lbsft|Local time: 1500|QC flag: missing|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	15	14	00	0	0	|	orig=Empty lbsft|Local time: 0900|QC flag: no entry: calm|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	15	20	00	0	10.45	|	orig=1 4 lbsft|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	16	14	00	0	0.00	|	orig=0 0 lbsft|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	16	20	00	0	0.00	|	orig=0 0 lbsft|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	17	14	00	0	5.59	|	orig=0 4 lbsft|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	17	20	00	0	0.00	|	orig=0 0 lbsft|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	18	14	00	0	5.59	|	orig=0 4 lbsft|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	18	20	00	0	8.38	|	orig=0 9 lbsft|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	19	14	00	0	8.84	|	orig=1 0 lbsft|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	19	20	00	0	10.45	|	orig=1 4 lbsft|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	20	14	00	0	9.35	|	orig=1 12 lbsft|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	20	20	00	0	0.00	|	orig=0 0 lbsft|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	21	14	00	0	0.00	|	orig=0 0 lbsft|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	21	20	00	0	5.59	|	orig=0 4 lbsft|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	22	14	00	0	0.00	|	orig=0 0 lbsft|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	22	20	00	0	0.00	|	orig=0 0 lbsft|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	23	14	00	0	7.90	|	orig=0 8 lbsft|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	23	20	00	0	3.06	|	orig=0 12 lbsft|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	24	14	00	0	0.00	|	orig=0 0 lbsft|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	24	20	00	0	0.00	|	orig=0 0 lbsft|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
