SEF	1.0.0
ID	MichipocotonCanada
Name	Michipocoton
Lat	47.99
Lon	275.23
Alt	201
Source	ODR
Link	https://opendatarescue.org
Vbl	pr
Stat	point
Unit	mm
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1860	11	01	05	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1862	01	01	05	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Michipocoton_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	07	05	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Michipocoton_USSI-206_M1958_1862-01-01_OBS-F.jpg
1863	11	05	05	00	0	13.69	|	orig=0.539 in|Local time: 0000|QC flag: None|Image File: Michipocoton_USSI-202_M1958_1863-11-01_OBS-F.jpg
1863	11	09	05	00	0	0.64	|	orig=0.025 in|Local time: 0000|QC flag: None|Image File: Michipocoton_USSI-202_M1958_1863-11-01_OBS-F.jpg
1863	11	10	05	00	0	1.98	|	orig=0.078 in|Local time: 0000|QC flag: None|Image File: Michipocoton_USSI-202_M1958_1863-11-01_OBS-F.jpg
1863	11	11	05	00	0	2.64	|	orig=0.104 in|Local time: 0000|QC flag: None|Image File: Michipocoton_USSI-202_M1958_1863-11-01_OBS-F.jpg
1863	11	12	05	00	0	0.05	|	orig=0.002 in|Local time: 0000|QC flag: None|Image File: Michipocoton_USSI-202_M1958_1863-11-01_OBS-F.jpg
1863	11	13	05	00	0	0.76	|	orig=0.030 in|Local time: 0000|QC flag: None|Image File: Michipocoton_USSI-202_M1958_1863-11-01_OBS-F.jpg
1863	11	18	05	00	0	0.23	|	orig=inap in|Local time: 0000|QC flag: trace|Image File: Michipocoton_USSI-202_M1958_1863-11-01_OBS-F.jpg
1863	11	20	05	00	0	8.08	|	orig=0.318 in|Local time: 0000|QC flag: None|Image File: Michipocoton_USSI-202_M1958_1863-11-01_OBS-F.jpg
1863	11	23	05	00	0	15.24	|	orig=0.600 in|Local time: 0000|QC flag: None|Image File: Michipocoton_USSI-202_M1958_1863-11-01_OBS-F.jpg
1863	11	24	05	00	0	1.83	|	orig=0.072 in|Local time: 0000|QC flag: None|Image File: Michipocoton_USSI-202_M1958_1863-11-01_OBS-F.jpg
1863	11	25	05	00	0	5.23	|	orig=0.206 in|Local time: 0000|QC flag: None|Image File: Michipocoton_USSI-202_M1958_1863-11-01_OBS-F.jpg
1863	11	26	05	00	0	8.69	|	orig=0.342 in|Local time: 0000|QC flag: None|Image File: Michipocoton_USSI-202_M1958_1863-11-01_OBS-F.jpg
1863	11	27	05	00	0	0.38	|	orig=0.015 in|Local time: 0000|QC flag: None|Image File: Michipocoton_USSI-202_M1958_1863-11-01_OBS-F.jpg
1863	11	28	05	00	0	11.35	|	orig=0.447 in|Local time: 0000|QC flag: None|Image File: Michipocoton_USSI-202_M1958_1863-11-01_OBS-F.jpg
1863	11	30	05	00	0	1.27	|	orig=0.050 in|Local time: 0000|QC flag: None|Image File: Michipocoton_USSI-202_M1958_1863-11-01_OBS-F.jpg
1863	12	01	05	00	0	12.22	|	orig=0.481 in|Local time: 0000|QC flag: None|Image File: Michipocoton_USSI-202_M1958_1863-12-01_OBS-F.jpg
1863	12	02	05	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Michipocoton_USSI-202_M1958_1863-12-01_OBS-F.jpg
1863	12	03	05	00	0	1.52	|	orig=0.060 in|Local time: 0000|QC flag: None|Image File: Michipocoton_USSI-202_M1958_1863-12-01_OBS-F.jpg
1863	12	04	05	00	0	0.23	|	orig=slight in|Local time: 0000|QC flag: trace|Image File: Michipocoton_USSI-202_M1958_1863-12-01_OBS-F.jpg
1863	12	05	05	00	0	0.23	|	orig=slight in|Local time: 0000|QC flag: trace|Image File: Michipocoton_USSI-202_M1958_1863-12-01_OBS-F.jpg
1863	12	06	05	00	0	0.23	|	orig=slight in|Local time: 0000|QC flag: trace|Image File: Michipocoton_USSI-202_M1958_1863-12-01_OBS-F.jpg
1863	12	07	05	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Michipocoton_USSI-202_M1958_1863-12-01_OBS-F.jpg
