SEF	1.0.0
ID	MichipocotonCanada
Name	Michipocoton
Lat	47.99
Lon	275.23
Alt	201
Source	ODR
Link	https://opendatarescue.org
Vbl	rrt
Stat	point
Unit	none
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1860	11	02	00	00	24	rain	|	orig=rain text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	24	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1862	01	01	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	07	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	08	00	00	24	snow	|	orig=Snow text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	10	00	00	24	snow	|	orig=Snow text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	13	00	00	24	snow	|	orig=Snow text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	15	00	00	24	snow	|	orig=Snow text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	16	00	00	24	snow	|	orig=Snow text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	17	00	00	24	snow	|	orig=Snow text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	28	00	00	24	s	|	orig=S text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	02	01	00	00	24	s	|	orig=S text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-02-01_OBS-F.jpg
1862	02	03	00	00	24	s	|	orig=S text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-02-01_OBS-F.jpg
1862	02	04	00	00	24	-999	|	orig=- text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-02-01_OBS-F.jpg
1862	02	06	00	00	24	s	|	orig=S text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-02-01_OBS-F.jpg
1862	02	10	00	00	24	-999	|	orig=- text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-02-01_OBS-F.jpg
1862	02	11	00	00	24	s	|	orig=S text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-02-01_OBS-F.jpg
1862	02	13	00	00	24	s	|	orig=S text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-02-01_OBS-F.jpg
1862	02	15	00	00	24	s	|	orig=S text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-02-01_OBS-F.jpg
1862	02	17	00	00	24	s	|	orig=S text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-02-01_OBS-F.jpg
1862	02	21	00	00	24	s	|	orig=S text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-02-01_OBS-F.jpg
1862	02	23	00	00	24	s	|	orig=S text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-02-01_OBS-F.jpg
1862	02	26	00	00	24	s	|	orig=S text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-02-01_OBS-F.jpg
1862	03	03	00	00	24	s	|	orig=S text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-03-01_OBS-F.jpg
1862	03	04	00	00	24	s	|	orig=s text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-03-01_OBS-F.jpg
1862	03	09	00	00	24	s & r	|	orig=S & R text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-03-01_OBS-F.jpg
1862	03	27	00	00	24	s	|	orig=S text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1862-03-01_OBS-F.jpg
1862	08	03	00	00	24	rain	|	orig=rain text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-401_M1958_1862-08-01_OBS-L.jpg
1862	08	07	00	00	24	rain	|	orig=rain text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-401_M1958_1862-08-01_OBS-L.jpg
1862	08	08	00	00	24	rain	|	orig=rain text|Local time: daily|QC flag: None|Image File: Michipocoton_USSI-401_M1958_1862-08-01_OBS-L.jpg
