SEF	1.0.0
ID	MontrealCanada
Name	Montreal
Lat	45.5
Lon	286.4
Alt	17.4
Source	ODR
Link	https://opendatarescue.org
Vbl	pr
Stat	point
Unit	mm
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1855	09	01	05	00	0	4.32	|	orig=0.17 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	02	05	00	0	0.51	|	orig=0.02 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	03	05	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	04	05	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	05	05	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	06	05	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	07	05	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	08	05	00	0	0.51	|	orig=0.02 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	09	05	00	0	2.54	|	orig=0.10 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	10	05	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	11	05	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	12	05	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	13	05	00	0	3.56	|	orig=0.14 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	14	05	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	15	05	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	16	05	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	17	05	00	0	5.33	|	orig=0.21 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	18	05	00	0	22.86	|	orig=0.90 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	19	05	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	20	05	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	21	05	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	22	05	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	23	05	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	24	05	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	25	05	00	0	3.81	|	orig=0.15 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	26	05	00	0	25.91	|	orig=1.02 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	27	05	00	0	26.42	|	orig=1.04 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	28	05	00	0	28.96	|	orig=1.14 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	29	05	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	30	05	00	0	24.13	|	orig=0.95 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	10	01	05	00	0	52.07	|	orig=2.05 in|Local time: 0000|QC flag: high value|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	02	05	00	0	11.68	|	orig=0.46 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	03	05	00	0	0.51	|	orig=0.02 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	04	05	00	0	6.10	|	orig=0.24 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	05	05	00	0	0.51	|	orig=0.02 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	06	05	00	0	3.56	|	orig=0.14 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	07	05	00	0	16.00	|	orig=0.63 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	08	05	00	0	0.23	|	orig=inap in|Local time: 0000|QC flag: trace|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	09	05	00	0	4.06	|	orig=0.16 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	10	05	00	0	0.23	|	orig=inap in|Local time: 0000|QC flag: trace|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	11	05	00	0	0.00	|	orig=0.00 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	12	05	00	0	4.83	|	orig=0.19 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	13	05	00	0	9.14	|	orig=0.36 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	14	05	00	0	6.60	|	orig=0.26 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	15	05	00	0	0.00	|	orig=0.00 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	16	05	00	0	0.23	|	orig=inap in|Local time: 0000|QC flag: trace|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	17	05	00	0	0.00	|	orig=0.00 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	18	05	00	0	1.02	|	orig=0.04 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	19	05	00	0	0.00	|	orig=0.00 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	20	05	00	0	0.00	|	orig=0.00 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	21	05	00	0	0.00	|	orig=0.00 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	22	05	00	0	0.00	|	orig=0.00 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	23	05	00	0	0.00	|	orig=0.00 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	24	05	00	0	0.23	|	orig=inap in|Local time: 0000|QC flag: trace|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	25	05	00	0	10.41	|	orig=0.41 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	26	05	00	0	5.59	|	orig=0.22 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	27	05	00	0	1.27	|	orig=0.05 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	28	05	00	0	0.23	|	orig=inap in|Local time: 0000|QC flag: trace|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	29	05	00	0	0.00	|	orig=0.00 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	30	05	00	0	3.05	|	orig=0.12 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	31	05	00	0	0.00	|	orig=0.00 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	11	01	05	00	0	1.02	|	orig=0.04 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-11-01_OBS-F.jpg
1855	11	02	05	00	0	1.27	|	orig=0.05 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-11-01_OBS-F.jpg
1855	11	03	05	00	0	0.00	|	orig=0.00 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-11-01_OBS-F.jpg
1855	11	04	05	00	0	0.00	|	orig=0.00 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-11-01_OBS-F.jpg
1855	11	05	05	00	0	0.00	|	orig=0.00 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-11-01_OBS-F.jpg
1855	11	06	05	00	0	0.00	|	orig=0.00 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-11-01_OBS-F.jpg
1855	11	07	05	00	0	0.00	|	orig=0.00 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-11-01_OBS-F.jpg
1855	11	08	05	00	0	4.06	|	orig=0.16 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-11-01_OBS-F.jpg
1855	11	09	05	00	0	1.78	|	orig=0.07 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-11-01_OBS-F.jpg
1855	11	10	05	00	0	0.00	|	orig=0.00 in|Local time: 0000|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-11-01_OBS-F.jpg
