SEF	1.0.0
ID	MontrealCanada
Name	Montreal
Lat	45.5
Lon	286.4
Alt	17.4
Source	ODR
Link	https://opendatarescue.org
Vbl	ww
Stat	point
Unit	manual observation
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1855	09	01	00	00	24	AU	|	orig=faint auroral arch mno|Local time: daily|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	02	00	00	24	HALO	|	orig=lunar halo 3:30am, 7am mno|Local time: daily|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	03	00	00	24	-999	|	orig=Empty mno|Local time: daily|QC flag: missing|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	04	00	00	24	HZ	|	orig=hazy until 8:30am mno|Local time: daily|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	05	00	00	24	-999	|	orig=Light thin clouds mno|Local time: daily|QC flag: missing|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	06	00	00	24	RA	|	orig=slight rain PM mno|Local time: daily|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	07	00	00	24	RA	|	orig=slight rain at intervals [illegible] mno|Local time: daily|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	08	00	00	24	-999	|	orig=Empty mno|Local time: daily|QC flag: missing|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	09	00	00	24	-999	|	orig=Empty mno|Local time: daily|QC flag: missing|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	10	00	00	24	-999	|	orig=Retracted mno|Local time: daily|QC flag: missing|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	11	00	00	24	AU	|	orig=faint auroral light mno|Local time: daily|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	12	00	00	24	AU	|	orig=faint auroral light mno|Local time: daily|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	13	00	00	24	AU	|	orig=faint auroral light mno|Local time: daily|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	14	00	00	24	HZ	|	orig=Haz[e] AM, Auroral [illegible] mno|Local time: daily|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	15	00	00	24	-999	|	orig=Empty mno|Local time: daily|QC flag: missing|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	16	00	00	24	RA	|	orig=rain [illegible] 45 pm mno|Local time: daily|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
