SEF	1.0.0
ID	MooseFactoryCanada
Name	MooseFactory
Lat	51.24
Lon	279.24
Alt	276
Source	ODR
Link	https://opendatarescue.org
Vbl	Tn
Stat	point
Unit	C
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1861	01	01	05	00	0	-35.00	|	orig=-31 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	02	05	00	0	-999	|	orig=-24.1/2 F|Local time: 0000|QC flag: missing|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	03	05	00	0	-999	|	orig=-27.1/2 F|Local time: 0000|QC flag: missing|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	04	05	00	0	-34.44	|	orig=-30 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	05	05	00	0	-24.44	|	orig=-12 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	06	05	00	0	-35.56	|	orig=-32 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	07	05	00	0	-41.11	|	orig=-42 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	08	05	00	0	-42.78	|	orig=-45 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	09	05	00	0	-28.89	|	orig=-20 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	10	05	00	0	-42.22	|	orig=-44 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	11	05	00	0	-39.44	|	orig=-39 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	12	05	00	0	-32.22	|	orig=-26 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	13	05	00	0	-10.00	|	orig=14 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	14	05	00	0	-23.89	|	orig=-11 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	15	05	00	0	-32.22	|	orig=-26 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	16	05	00	0	-25.00	|	orig=-13 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	17	05	00	0	-28.89	|	orig=-20 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	18	05	00	0	-24.44	|	orig=-12 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	20	05	00	0	-24.44	|	orig=-12 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	21	05	00	0	-24.44	|	orig=-12 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	22	05	00	0	-22.22	|	orig=-8 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	23	05	00	0	-23.89	|	orig=-11 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	24	05	00	0	-14.44	|	orig=6 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	25	05	00	0	-9.44	|	orig=15 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	26	05	00	0	-35.00	|	orig=-31 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	27	05	00	0	-27.78	|	orig=-18 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	28	05	00	0	-30.56	|	orig=-23 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	29	05	00	0	-25.56	|	orig=-14 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	30	05	00	0	-22.22	|	orig=-8 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	31	05	00	0	-21.67	|	orig=-7 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	02	01	05	00	0	-38.33	|	orig=-37 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	02	05	00	0	-32.78	|	orig=-27 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	03	05	00	0	-40.56	|	orig=-41 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	04	05	00	0	-17.78	|	orig=0 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	05	05	00	0	-31.11	|	orig=-24 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	06	05	00	0	-33.61	|	orig=-28.5 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	07	05	00	0	-43.89	|	orig=-47 F|Local time: 0000|QC flag: low value|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	08	05	00	0	-45.56	|	orig=-50 F|Local time: 0000|QC flag: low value|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	09	05	00	0	-37.22	|	orig=-35 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	10	05	00	0	-17.22	|	orig=1 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	11	05	00	0	-11.67	|	orig=11 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	12	05	00	0	-1.11	|	orig=30 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	13	05	00	0	-16.11	|	orig=3 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	14	05	00	0	-28.89	|	orig=-20 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	15	05	00	0	-23.89	|	orig=-11 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	16	05	00	0	-12.78	|	orig=9 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	17	05	00	0	-12.22	|	orig=10 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	18	05	00	0	-23.06	|	orig=-9.5 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	19	05	00	0	-21.67	|	orig=-7 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	20	05	00	0	-11.11	|	orig=12 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	21	05	00	0	-21.67	|	orig=-7 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	22	05	00	0	-32.22	|	orig=-26 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	23	05	00	0	-33.33	|	orig=-28 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	24	05	00	0	-35.00	|	orig=-31 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	25	05	00	0	-16.94	|	orig=1.5 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	26	05	00	0	-11.67	|	orig=11 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	27	05	00	0	-12.78	|	orig=9 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	28	05	00	0	-6.67	|	orig=20 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	03	01	05	00	0	-16.67	|	orig=2 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	02	05	00	0	0.00	|	orig=32 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	03	05	00	0	-1.67	|	orig=29 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	04	05	00	0	-17.50	|	orig=0.5 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	05	05	00	0	-27.22	|	orig=-17 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	06	05	00	0	-25.56	|	orig=-14 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	07	05	00	0	-36.67	|	orig=-34 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	08	05	00	0	-16.67	|	orig=2 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	09	05	00	0	-16.39	|	orig=2.5 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	10	05	00	0	-32.22	|	orig=-26 F|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-03-01_OBS-L.jpg
