SEF	1.0.0
ID	MooseFactoryCanada
Name	MooseFactory
Lat	51.24
Lon	279.24
Alt	276
Source	ODR
Link	https://opendatarescue.org
Vbl	pr
Stat	point
Unit	none
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1861	01	01	05	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	02	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	03	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	04	05	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	05	05	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	06	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	07	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	08	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	09	05	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	10	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	11	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	12	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	13	05	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	14	05	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	15	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	16	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	17	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	18	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	19	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	20	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	21	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	22	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	23	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	24	05	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	25	05	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	26	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	27	05	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	28	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	29	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	30	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	31	05	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	02	03	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	04	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	05	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	11	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	12	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	13	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	20	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	23	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	25	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	02	26	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	03	03	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	04	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	05	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	08	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	09	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	11	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	16	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	23	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	24	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	25	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	27	05	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	04	01	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-04-01_OBS-L.jpg
1861	04	02	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-04-01_OBS-L.jpg
1861	04	03	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-04-01_OBS-L.jpg
1861	04	04	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-04-01_OBS-L.jpg
1861	04	05	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-04-01_OBS-L.jpg
1861	04	06	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-04-01_OBS-L.jpg
1861	04	07	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-04-01_OBS-L.jpg
1861	04	08	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-04-01_OBS-L.jpg
1861	04	09	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-04-01_OBS-L.jpg
1861	04	10	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-04-01_OBS-L.jpg
1861	04	11	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-04-01_OBS-L.jpg
