SEF	1.0.0
ID	MountForestCanada
Name	MountForest
Lat	44.01
Lon	279.11
Alt	137.16
Source	ODR
Link	https://opendatarescue.org
Vbl	au
Stat	point
Unit	none
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1872	05	01	00	00	24	0	|	orig=0 text|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	01	00	00	24	1	|	orig=1 text|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	01	00	00	24	12 point. north east to west = 135 degrees north north west = 30 degrees.	|	orig=12 point. North East to West = 135 degrees North North West = 30 degrees. text|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	02	00	00	24	-999	|	orig=- text|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	02	00	00	24	0	|	orig=0 text|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	02	00	00	24	0	|	orig=0 text|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	02	00	00	24	0	|	orig=0 text|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	03	00	00	24	-999	|	orig=- text|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	03	00	00	24	0	|	orig=0 text|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	03	00	00	24	0	|	orig=0 text|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	03	00	00	24	0	|	orig=0 text|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	04	00	00	24	-999	|	orig=- text|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
