SEF	1.0.0
ID	MountForestCanada
Name	MountForest
Lat	44.01
Lon	279.11
Alt	137.16
Source	ODR
Link	https://opendatarescue.org
Vbl	pr
Stat	point
Unit	none
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1872	05	01	05	00	0	rain	|	orig=Rain text|Local time: 0000|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	02	05	00	0	r	|	orig=R text|Local time: 0000|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	03	05	00	0	r	|	orig=R text|Local time: 0000|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	04	05	00	0	r	|	orig=R text|Local time: 0000|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	05	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	06	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	07	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	08	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	09	05	00	0	r	|	orig=R text|Local time: 0000|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	10	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	11	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	12	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	13	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	14	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	15	05	00	0	r	|	orig=R text|Local time: 0000|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	16	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	17	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	18	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	19	05	00	0	rain	|	orig=Rain text|Local time: 0000|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	20	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	21	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	22	05	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
