SEF	1.0.0
ID	MountForestCanada
Name	MountForest
Lat	44.01
Lon	279.11
Alt	137.16
Source	ODR
Link	https://opendatarescue.org
Vbl	ww
Stat	point
Unit	manual observation
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1872	05	01	00	00	24	RA	|	orig=Stormy and boisterous with rain mno|Local time: daily|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	02	00	00	24	-999	|	orig=Cold stormy and unsettled mno|Local time: daily|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	03	00	00	24	RN +SN +IP	|	orig=Stormy and cold with sleet mno|Local time: daily|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	04	00	00	24	-999	|	orig=Very stormy and boisterous through the night mno|Local time: daily|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	05	00	00	24	SKC	|	orig=Clear and more mild mno|Local time: daily|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	06	00	00	24	-999	|	orig=Warm and sultry with much vapor mno|Local time: daily|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	07	00	00	24	HZ	|	orig=Hazy and vaporish mno|Local time: daily|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	08	00	00	24	RA	|	orig=Mild and [illegible] to rain mno|Local time: daily|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	09	00	00	24	-999	|	orig=Sky electrical and changeable mno|Local time: daily|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	10	00	00	24	-999	|	orig=Very changeable with variable winds and much vapor mno|Local time: daily|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	11	00	00	24	-999	|	orig=Much electricity with damp wet weather mno|Local time: daily|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	12	00	00	24	SH	|	orig=Sky overcast with some light [illegible] with Nocturnal showers mno|Local time: daily|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	13	00	00	24	-999	|	orig=Changeable and cold latter part more settled and fair mno|Local time: daily|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	14	00	00	24	RA	|	orig=Vaporish with slight rain showers mno|Local time: daily|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	15	00	00	24	-999	|	orig=Sultry and electrical and very unsettled mno|Local time: daily|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	16	00	00	24	-999	|	orig=More mild and moderate mno|Local time: daily|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	17	00	00	24	-999	|	orig=Cold chilly atmosphere mno|Local time: daily|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	18	00	00	24	-999	|	orig=Vaporish with more warmth mno|Local time: daily|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	19	00	00	24	-999	|	orig=Sky o'ercast with Aqueous vapor & with Nocturnal storms mno|Local time: daily|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	20	00	00	24	BKN	|	orig=First part cloudy & cold latter part more clear & [illegible] mno|Local time: daily|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	21	00	00	24	-999	|	orig=Saturated mno|Local time: daily|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	23	00	00	24	FG	|	orig=Foggy and vaporish mno|Local time: daily|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	24	00	00	24	-999	|	orig=Stormy and boisterous mno|Local time: daily|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
1872	05	25	00	00	24	-999	|	orig=A slight North West wind chilly and cold mno|Local time: daily|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_EXT.jpg
